symbol,date,open,high,low,close,volume
TREL,2025-07-22,34.95,35.19,33.96,34.25,190081
TREL,2025-07-23,34.42,35.0,33.82,34.82,110459
TREL,2025-07-24,34.82,35.03,34.06,34.45,59976
TREL,2025-07-25,34.25,34.79,33.6,33.77,93269
TREL,2025-07-28,33.4,34.1,32.71,33.03,125493
TREL,2025-07-29,33.33,34.08,33.28,33.55,66464
TREL,2025-07-30,33.55,34.08,32.69,32.88,139440
TREL,2025-07-31,32.9,33.8,32.6,33.14,69415
TREL,2025-08-01,33.31,34.0,33.21,33.65,88276
TREL,2025-08-04,33.65,34.23,33.65,33.83,52688
TREL,2025-08-05,34.18,34.26,33.2,33.56,51490
TREL,2025-08-06,33.6,34.9,32.95,33.32,110845
TREL,2025-08-07,33.32,36.15,32.71,33.67,151975
TREL,2025-08-08,34.88,35.5,33.3,33.57,197544
TREL,2025-08-11,33.57,33.79,32.58,33.48,82666
TREL,2025-08-12,33.48,33.94,33.01,33.08,71053
TREL,2025-08-13,33.4,33.49,33.1,33.1,41243
TREL,2025-08-14,33.61,33.75,33.05,33.28,29798
TREL,2025-08-18,33.14,33.89,32.51,33.1,148678
TREL,2025-08-19,33.25,33.4,32.76,33.23,45709
TREL,2025-08-20,33.47,33.53,32.9,33.13,92361
TREL,2025-08-21,33.38,33.97,33.05,33.22,88248
TREL,2025-08-22,33.36,33.66,32.89,33.2,94234
TREL,2025-08-25,33.54,33.71,32.32,32.77,181777
TREL,2025-08-26,33.0,33.1,31.82,32.45,143175
TREL,2025-08-28,32.45,34.37,31.6,31.8,842538
TREL,2025-08-29,31.9,32.7,31.71,31.86,132326
TREL,2025-09-01,31.55,32.79,31.55,32.55,89909
TREL,2025-09-02,32.55,32.9,32.51,32.65,64456
TREL,2025-09-03,32.5,33.49,32.5,33.1,96446
TREL,2025-09-04,33.1,33.48,31.99,32.22,199126
TREL,2025-09-05,32.22,33.35,32.05,32.83,133917
TREL,2025-09-08,32.84,34.05,32.6,32.88,180940
TREL,2025-09-09,33.42,33.49,32.5,32.8,190816
TREL,2025-09-10,33.45,33.77,32.42,32.54,134807
TREL,2025-09-11,32.52,33.03,32.12,32.37,93899
TREL,2025-09-12,32.62,32.9,32.0,32.26,88244
TREL,2025-09-15,32.42,32.79,32.11,32.28,108782
TREL,2025-09-16,32.49,33.08,32.32,32.87,377665
TREL,2025-09-17,33.15,33.5,32.35,32.46,150633
TREL,2025-09-18,32.5,32.96,32.15,32.2,103667
TREL,2025-09-19,32.35,32.48,32.2,32.29,72602
TREL,2025-09-22,32.42,32.75,32.1,32.31,97940
TREL,2025-09-23,32.31,33.51,32.17,32.5,204442
TREL,2025-09-24,32.22,32.49,32.0,32.12,80380
TREL,2025-09-25,32.12,32.54,31.69,31.96,139377
TREL,2025-09-26,32.45,32.45,31.6,31.95,82702
TREL,2025-09-29,32.1,32.11,30.1,30.58,99940
TREL,2025-09-30,31.3,31.3,30.6,30.78,81699
TREL,2025-10-01,30.62,31.57,30.6,30.95,83411
