symbol,date,open,high,low,close,volume
TTKPRESTIG,2002-07-01,1.4583,1.5,1.4167,1.4625,97428
TTKPRESTIG,2002-07-02,1.4667,1.7583,1.4083,1.75,2166312
TTKPRESTIG,2002-07-03,1.8333,1.8333,1.5833,1.625,943068
TTKPRESTIG,2002-07-04,1.625,1.6583,1.5792,1.6208,385860
TTKPRESTIG,2002-07-05,1.6,1.6625,1.5833,1.6458,179736
TTKPRESTIG,2002-07-08,1.625,1.8833,1.625,1.8,1056504
TTKPRESTIG,2002-07-09,1.9,1.9792,1.85,1.8875,1476096
TTKPRESTIG,2002-07-10,1.975,2.0667,1.8833,1.9042,1647408
TTKPRESTIG,2002-07-11,1.9375,1.9583,1.8167,1.8458,186744
TTKPRESTIG,2002-07-12,1.875,2.2167,1.8333,2.1958,4679256
TTKPRESTIG,2002-07-15,2.25,2.25,2.0125,2.0917,1288536
TTKPRESTIG,2002-07-16,2.0958,2.1167,2.0,2.0292,465288
TTKPRESTIG,2002-07-17,2.0,2.0333,1.875,1.9125,289404
TTKPRESTIG,2002-07-18,1.9583,1.9792,1.9333,1.9583,211440
TTKPRESTIG,2002-07-19,2.0833,2.1167,1.9792,1.9917,488004
TTKPRESTIG,2002-07-22,2.0167,2.0333,1.875,1.9167,203412
TTKPRESTIG,2002-07-23,1.8333,1.9583,1.8333,1.9292,76020
TTKPRESTIG,2002-07-24,1.9,1.9542,1.8792,1.8958,105852
TTKPRESTIG,2002-07-25,1.9083,1.9083,1.8542,1.8583,117708
TTKPRESTIG,2002-07-26,1.875,2.1667,1.7625,1.7958,145800
TTKPRESTIG,2002-07-29,1.75,1.8042,1.4458,1.6083,203136
TTKPRESTIG,2002-07-30,1.7333,1.7333,1.575,1.6083,110280
TTKPRESTIG,2002-07-31,1.5833,1.5833,1.4375,1.575,69588
TTKPRESTIG,2002-08-01,1.6417,1.6417,1.5417,1.5625,51348
TTKPRESTIG,2002-08-02,1.5125,1.5417,1.3917,1.4125,192432
TTKPRESTIG,2002-08-05,1.2958,1.4125,1.2958,1.3708,144024
TTKPRESTIG,2002-08-06,1.3375,1.5,1.3375,1.4583,87000
TTKPRESTIG,2002-08-07,1.5,1.5,1.4083,1.4292,126012
TTKPRESTIG,2002-08-08,1.4,1.425,1.3875,1.3875,28200
TTKPRESTIG,2002-08-09,1.425,1.425,1.3792,1.4083,42720
TTKPRESTIG,2002-08-12,1.4917,1.4917,1.3667,1.3875,30180
TTKPRESTIG,2002-08-13,1.375,1.4208,1.375,1.4042,13800
TTKPRESTIG,2002-08-14,1.375,1.4125,1.3458,1.3583,107436
TTKPRESTIG,2002-08-15,1.3583,1.3583,1.3583,1.3583,0
TTKPRESTIG,2002-08-16,1.3458,1.4167,1.3458,1.3542,20124
TTKPRESTIG,2002-08-19,1.3417,1.4,1.3417,1.3625,14484
TTKPRESTIG,2002-08-20,1.35,1.3625,1.3417,1.3583,31836
