symbol,date,open,high,low,close,volume
TVSHLTD,2002-08-12,83.525,87.5,83.525,87.0,4000
TVSHLTD,2002-08-13,88.5,88.5,87.5,87.5,100
TVSHLTD,2002-08-14,87.5,89.5,85.0,86.5,1600
TVSHLTD,2002-08-15,86.5,86.5,86.5,86.5,0
TVSHLTD,2002-08-16,87.0,87.5,84.95,84.95,4600
TVSHLTD,2002-08-19,84.5,85.0,82.625,85.0,1200
TVSHLTD,2002-08-20,85.0,86.0,85.0,86.0,400
TVSHLTD,2002-08-21,85.0,89.0,85.0,87.05,1400
TVSHLTD,2002-08-22,87.5,87.5,85.15,87.325,3600
TVSHLTD,2002-08-23,83.8,87.0,83.8,85.575,1200
TVSHLTD,2002-08-26,87.0,87.0,87.0,87.0,200
TVSHLTD,2002-08-27,84.5,86.5,82.6,84.325,3800
TVSHLTD,2002-08-28,84.975,85.0,82.05,85.0,800
TVSHLTD,2002-08-29,85.0,85.0,82.5,82.525,200
TVSHLTD,2002-08-30,82.5,86.25,82.5,86.1,800
TVSHLTD,2002-09-02,86.25,88.875,86.15,87.75,600
TVSHLTD,2002-09-03,87.5,87.5,85.5,87.5,400
TVSHLTD,2002-09-04,83.8,88.875,83.8,86.75,1000
TVSHLTD,2002-09-05,86.25,88.5,86.25,88.0,2200
TVSHLTD,2002-09-06,87.625,87.75,86.5,86.5,200
TVSHLTD,2002-09-09,85.0,86.25,85.0,86.1,2400
TVSHLTD,2002-09-10,86.1,86.1,86.1,86.1,0
TVSHLTD,2002-09-11,85.5,86.0,83.7,84.8,4200
TVSHLTD,2002-09-12,84.0,85.0,83.75,84.3,400
TVSHLTD,2002-09-13,84.5,85.85,84.0,84.4,800
TVSHLTD,2002-09-16,82.55,85.45,82.5,82.5,2800
TVSHLTD,2002-09-17,82.5,82.75,81.75,81.775,6200
TVSHLTD,2002-09-18,82.025,82.5,81.5,82.25,1400
TVSHLTD,2002-09-19,77.825,80.975,77.625,79.025,1000
TVSHLTD,2002-09-20,78.125,81.65,78.125,78.6,400
TVSHLTD,2002-09-23,81.0,81.0,81.0,81.0,40
TVSHLTD,2002-09-24,80.5,82.0,79.15,81.975,400
TVSHLTD,2002-09-25,76.15,81.5,76.15,78.5,150
TVSHLTD,2002-09-26,80.0,80.0,79.0,79.45,1000
TVSHLTD,2002-09-27,80.075,81.475,80.075,81.475,4000
TVSHLTD,2002-09-30,82.475,82.475,78.325,79.75,800
TVSHLTD,2002-10-01,80.25,81.5,79.525,79.725,1000
TVSHLTD,2002-10-02,79.725,79.725,79.725,79.725,0
TVSHLTD,2002-10-03,80.0,80.0,79.0,79.675,800
TVSHLTD,2002-10-04,79.0,79.0,76.35,76.7,600
TVSHLTD,2002-10-07,76.775,76.775,76.75,76.75,200
TVSHLTD,2002-10-08,77.0,80.475,76.125,78.25,600
TVSHLTD,2002-10-09,77.5,79.45,77.5,78.825,600
TVSHLTD,2002-10-10,79.0,79.0,79.0,79.0,200
TVSHLTD,2002-10-11,79.0,79.975,79.0,79.975,600
TVSHLTD,2002-10-14,77.0,78.95,77.0,78.95,150
TVSHLTD,2002-10-15,78.95,78.95,78.95,78.95,0
TVSHLTD,2002-10-16,80.0,80.0,77.6,80.0,1400
TVSHLTD,2002-10-17,79.0,80.0,79.0,79.825,1200
TVSHLTD,2002-10-18,79.825,79.825,79.825,79.825,0
TVSHLTD,2002-10-21,78.0,79.25,77.5,77.5,2200
TVSHLTD,2002-10-22,79.225,79.975,79.225,79.625,3800
TVSHLTD,2002-10-23,75.5,78.0,75.5,77.5,400
TVSHLTD,2002-10-24,77.075,79.475,77.0,77.15,2200
TVSHLTD,2002-10-25,78.9,78.95,76.65,78.475,200
TVSHLTD,2002-10-28,78.95,80.475,77.05,79.5,4800
TVSHLTD,2002-10-29,77.25,78.0,74.825,75.25,4800
TVSHLTD,2002-10-30,76.75,76.75,76.75,76.75,20
TVSHLTD,2002-10-31,75.05,77.975,75.05,77.975,184
TVSHLTD,2002-11-01,76.5,77.975,76.5,77.875,400
TVSHLTD,2002-11-04,78.475,78.475,76.0,76.0,400
TVSHLTD,2002-11-05,75.025,75.75,74.125,75.65,4800
TVSHLTD,2002-11-06,75.65,75.65,75.65,75.65,0
