symbol,date,open,high,low,close,volume
UNOMINDA,2007-02-02,6.4343,6.567,5.8041,5.9998,1426138
UNOMINDA,2007-02-05,6.169,6.169,5.8074,5.9202,114995
UNOMINDA,2007-02-06,5.3978,5.6383,5.3978,5.5322,105528
UNOMINDA,2007-02-07,5.6383,6.1358,5.6383,5.6599,30452
UNOMINDA,2007-02-08,5.5222,5.6383,5.4095,5.5438,25025
UNOMINDA,2007-02-09,5.4476,5.6383,5.4476,5.4874,24090
UNOMINDA,2007-02-12,5.4725,5.4725,5.1408,5.2055,21105
UNOMINDA,2007-02-13,5.2403,5.4393,5.0081,5.0927,19145
UNOMINDA,2007-02-14,5.0446,5.1408,5.0446,5.1408,8502
UNOMINDA,2007-02-15,5.4376,5.4376,5.174,5.2702,2020
UNOMINDA,2007-02-19,5.1441,5.4061,5.1441,5.174,11035
UNOMINDA,2007-02-20,5.159,5.159,5.1408,5.1508,4763
UNOMINDA,2007-02-21,4.975,5.2735,4.9418,5.1474,38050
UNOMINDA,2007-02-22,5.1159,5.2403,5.111,5.1242,4522
UNOMINDA,2007-02-23,5.1408,5.2884,5.1408,5.2884,4221
UNOMINDA,2007-02-26,4.9584,5.1408,4.6781,4.975,29849
UNOMINDA,2007-02-27,4.975,4.975,4.975,4.975,0
UNOMINDA,2007-02-28,4.7113,4.7113,4.7113,4.7113,603
UNOMINDA,2007-03-01,4.5438,4.975,4.5438,4.9252,15859
UNOMINDA,2007-03-02,5.4393,5.4393,4.7179,4.9501,45135
UNOMINDA,2007-03-05,4.7295,4.8755,4.5936,4.5936,30150
UNOMINDA,2007-03-06,4.6433,4.6433,4.5438,4.5571,11909
UNOMINDA,2007-03-07,5.3066,5.3066,4.5438,4.8572,54000
UNOMINDA,2007-03-08,5.0413,5.0413,4.5836,4.8688,42211
UNOMINDA,2007-03-09,4.6499,4.6499,4.5936,4.5936,301
UNOMINDA,2007-03-12,4.9418,4.975,4.9086,4.9733,60452
UNOMINDA,2007-03-13,4.9683,4.9683,4.6798,4.6798,42211
UNOMINDA,2007-03-14,4.5786,4.907,4.5786,4.771,57286
UNOMINDA,2007-03-15,4.8091,4.9584,4.8091,4.8489,20020
UNOMINDA,2007-03-16,4.8091,4.9717,4.776,4.9534,2653
UNOMINDA,2007-03-19,4.8423,4.8456,4.6765,4.6765,7567
UNOMINDA,2007-03-20,5.0065,5.0413,4.761,4.8755,41909
UNOMINDA,2007-03-21,4.6931,4.975,4.6931,4.975,16884
UNOMINDA,2007-03-22,4.975,5.0745,4.975,4.9799,21105
UNOMINDA,2007-03-23,5.0081,5.572,5.0081,5.0297,18090
UNOMINDA,2007-03-26,5.0413,5.1358,4.8788,5.0065,4673
UNOMINDA,2007-03-28,4.645,5.0745,4.645,4.975,126633
UNOMINDA,2007-03-29,4.7428,5.1076,4.7428,5.1076,3859
UNOMINDA,2007-03-30,4.7179,5.1027,4.7179,5.1027,3919
UNOMINDA,2007-04-02,4.5554,5.1027,4.5538,5.0745,15678
UNOMINDA,2007-04-03,5.0745,5.0745,5.0745,5.0745,0
UNOMINDA,2007-04-04,4.9418,5.1076,4.8589,4.9799,40884
UNOMINDA,2007-04-05,4.8058,4.8091,4.8058,4.8091,30150
UNOMINDA,2007-04-09,5.1076,5.2718,4.776,4.8838,27135
UNOMINDA,2007-04-10,5.4725,5.4725,5.1375,5.1491,14140
UNOMINDA,2007-04-11,5.2668,5.3066,5.0413,5.227,15979
UNOMINDA,2007-04-12,5.3066,5.4725,5.2071,5.2071,23849
UNOMINDA,2007-04-13,5.2071,5.4725,5.174,5.3066,4402
UNOMINDA,2007-04-16,4.8091,5.4376,4.8091,5.1358,4432
UNOMINDA,2007-04-17,5.8373,5.8373,5.0513,5.3879,2110
UNOMINDA,2007-04-18,5.1209,5.4343,5.0413,5.0844,6814
UNOMINDA,2007-04-19,4.9086,5.5686,4.897,5.3066,11487
UNOMINDA,2007-04-20,5.1441,5.373,5.1408,5.1939,12814
UNOMINDA,2007-04-23,5.174,5.373,5.1408,5.1408,9045
UNOMINDA,2007-04-24,4.9916,5.373,4.9916,5.373,6030
UNOMINDA,2007-04-25,5.174,5.174,5.1408,5.1574,3015
UNOMINDA,2007-04-26,5.0446,5.2337,5.0446,5.2337,783
UNOMINDA,2007-04-27,5.0131,5.2055,5.0081,5.2055,4854
UNOMINDA,2007-04-30,4.8125,5.2967,4.6765,5.2337,3316
UNOMINDA,2007-05-03,5.3066,5.3066,5.3066,5.3066,301
UNOMINDA,2007-05-04,5.3066,5.3066,5.3066,5.3066,0
UNOMINDA,2007-05-07,4.8788,5.2386,4.7461,5.0015,45105
UNOMINDA,2007-05-08,5.0015,5.1076,4.7229,4.8622,42211
UNOMINDA,2007-05-09,5.0612,5.0745,4.6433,4.7212,150754
UNOMINDA,2007-05-10,4.8705,4.902,4.776,4.9003,63316
UNOMINDA,2007-05-11,4.9418,4.9418,4.8091,4.8091,1929
UNOMINDA,2007-05-14,4.7776,4.9766,4.7776,4.975,21105
UNOMINDA,2007-05-15,5.1209,5.3929,4.9916,5.106,16462
UNOMINDA,2007-05-16,4.9766,5.1209,4.8423,4.975,36181
UNOMINDA,2007-05-17,4.7859,4.8091,4.7859,4.8091,1809
UNOMINDA,2007-05-18,4.975,4.975,4.7428,4.7992,27135
UNOMINDA,2007-05-21,4.9783,4.9783,4.9783,4.9783,5397
UNOMINDA,2007-05-22,4.9783,4.9783,4.9783,4.9783,0
UNOMINDA,2007-05-23,4.975,5.0413,4.7279,4.9717,5819
UNOMINDA,2007-05-24,4.7809,4.975,4.7793,4.9302,542
UNOMINDA,2007-05-25,4.8091,5.0081,4.8091,5.0081,1356
UNOMINDA,2007-05-28,5.1408,5.1408,4.975,5.0115,12060
UNOMINDA,2007-05-29,5.043,5.0745,4.8589,4.9086,3768
UNOMINDA,2007-05-30,4.7179,4.9418,4.7096,4.8423,30150
UNOMINDA,2007-05-31,4.975,5.0413,4.8788,4.8788,36181
UNOMINDA,2007-06-01,4.975,4.9783,4.7776,4.8755,33980
UNOMINDA,2007-06-04,4.8755,4.8755,4.7793,4.8008,13417
UNOMINDA,2007-06-05,5.2254,5.2254,4.8423,4.8572,45226
UNOMINDA,2007-06-06,4.9086,4.9086,4.776,4.776,9648
UNOMINDA,2007-06-07,4.4244,4.8523,4.4244,4.6931,2653
UNOMINDA,2007-06-08,4.6765,4.8523,4.3647,4.6516,11306
UNOMINDA,2007-06-11,4.4675,4.9053,4.4642,4.6632,3829
UNOMINDA,2007-06-12,4.6632,4.8406,4.6632,4.8042,29095
UNOMINDA,2007-06-13,4.8091,4.8423,4.7428,4.8423,14924
UNOMINDA,2007-06-14,4.912,4.912,4.8125,4.8141,18090
UNOMINDA,2007-06-15,4.8423,4.8423,4.6964,4.7113,3346
UNOMINDA,2007-06-18,4.6599,4.6632,4.6599,4.6615,5125
UNOMINDA,2007-06-19,4.5438,4.7096,4.5438,4.6632,1809
UNOMINDA,2007-06-20,4.6632,4.6632,4.6632,4.6632,0
UNOMINDA,2007-06-21,4.6632,4.6632,4.6632,4.6632,0
UNOMINDA,2007-06-22,4.5803,4.9053,4.5786,4.6632,2080
UNOMINDA,2007-06-25,4.6632,4.6632,4.6632,4.6632,0
UNOMINDA,2007-06-26,4.5455,4.5455,4.5438,4.5438,753
UNOMINDA,2007-06-27,5.1076,5.1076,4.8091,4.8506,81407
UNOMINDA,2007-06-28,4.9053,4.9053,4.9053,4.9053,60
UNOMINDA,2007-06-29,4.9053,4.9053,4.9053,4.9053,0
UNOMINDA,2007-07-02,4.6814,4.7727,4.6814,4.7113,8442
UNOMINDA,2007-07-03,4.3465,4.8042,4.3465,4.6118,6030
UNOMINDA,2007-07-04,4.6101,4.8042,4.4808,4.698,1959
UNOMINDA,2007-07-05,4.6433,4.7063,4.577,4.6416,18090
UNOMINDA,2007-07-06,4.4211,4.766,4.4211,4.7644,23457
UNOMINDA,2007-07-09,4.7262,4.8921,4.5471,4.5969,7537
UNOMINDA,2007-07-10,4.5819,4.5819,4.577,4.577,12723
UNOMINDA,2007-07-11,4.577,4.5803,4.5438,4.5737,5005
UNOMINDA,2007-07-12,4.6765,5.2254,4.5438,4.5803,26532
UNOMINDA,2007-07-13,4.5803,4.5803,4.5438,4.5438,7537
