symbol,date,open,high,low,close,volume
UPL,2025-07-24,726.0,730.5,718.7,726.55,2189801
UPL,2025-07-25,726.55,729.0,718.45,722.2,1507020
UPL,2025-07-28,725.0,735.85,720.15,729.85,4881892
UPL,2025-07-29,727.0,734.55,721.05,726.05,3504831
UPL,2025-07-30,727.0,728.5,716.9,721.9,1589570
UPL,2025-07-31,715.0,723.65,701.3,703.8,2497511
UPL,2025-08-01,703.95,713.9,658.0,665.15,6828070
UPL,2025-08-04,673.5,719.45,672.05,711.7,12572025
UPL,2025-08-05,708.3,723.8,702.0,720.45,3136768
UPL,2025-08-06,720.0,721.85,704.2,705.3,1691312
UPL,2025-08-07,700.0,710.8,688.2,705.45,1933447
UPL,2025-08-08,704.05,704.95,685.9,688.75,1164817
UPL,2025-08-11,688.95,696.6,678.15,693.7,1129449
UPL,2025-08-12,693.7,696.0,686.05,688.65,1449415
UPL,2025-08-13,686.1,693.15,680.9,686.15,1062727
UPL,2025-08-14,684.2,693.9,681.0,683.75,1066750
UPL,2025-08-18,690.15,700.7,686.45,690.95,1319724
UPL,2025-08-19,697.5,709.45,693.0,707.3,2030825
UPL,2025-08-20,708.5,730.3,702.0,713.45,3114706
UPL,2025-08-21,717.05,718.55,710.2,712.45,2041917
UPL,2025-08-22,712.9,722.9,707.95,716.45,1635644
UPL,2025-08-25,717.2,741.0,713.5,722.8,4678348
UPL,2025-08-26,725.25,729.8,712.4,723.1,3299511
UPL,2025-08-28,736.5,736.5,713.45,716.7,3935173
UPL,2025-08-29,713.05,722.2,702.6,715.75,2472182
UPL,2025-09-01,715.7,730.65,711.8,727.95,1785815
UPL,2025-09-02,731.55,732.0,709.65,710.65,3003994
UPL,2025-09-03,718.0,730.0,712.8,715.6,2196910
UPL,2025-09-04,720.0,723.15,692.0,695.4,2075117
UPL,2025-09-05,697.5,700.9,684.2,688.85,1054221
UPL,2025-09-08,691.0,708.0,691.0,705.8,1677209
UPL,2025-09-09,709.95,715.95,698.0,704.0,2826300
UPL,2025-09-10,705.4,708.25,690.65,696.95,1965357
UPL,2025-09-11,696.95,703.8,693.05,701.65,1913878
UPL,2025-09-12,704.3,705.9,688.0,693.1,1539148
UPL,2025-09-15,695.5,699.4,687.9,693.6,1791929
UPL,2025-09-16,692.9,705.0,686.35,702.7,3099583
UPL,2025-09-17,706.0,710.0,698.15,704.65,2209645
UPL,2025-09-18,704.6,713.4,693.3,698.95,3106450
UPL,2025-09-19,697.1,704.85,688.7,691.1,7803326
UPL,2025-09-22,693.7,693.7,679.35,682.8,2102153
UPL,2025-09-23,680.0,684.85,670.0,677.2,2559504
UPL,2025-09-24,675.75,680.0,669.6,676.15,2138799
UPL,2025-09-25,676.0,678.55,667.45,669.1,1246931
UPL,2025-09-26,667.0,668.2,645.0,648.0,1970948
UPL,2025-09-29,648.0,654.9,643.25,654.2,2520967
UPL,2025-09-30,660.2,661.0,650.15,655.8,2037016
UPL,2025-10-01,655.8,662.3,651.3,661.45,1196873
UPL,2025-10-03,667.7,680.0,664.65,674.0,3592605
UPL,2025-10-06,676.0,682.0,668.75,681.35,881397
UPL,2025-10-07,682.0,685.4,679.05,679.85,994752
UPL,2025-10-08,679.85,686.65,671.55,674.8,1714962
UPL,2025-10-09,673.0,677.5,666.9,675.05,1011011
UPL,2025-10-10,676.9,683.6,671.2,681.3,960905
UPL,2025-10-13,667.0,680.95,667.0,673.8,1031190
UPL,2025-10-14,673.8,681.45,666.0,669.95,1458278
UPL,2025-10-15,672.9,678.7,668.4,677.65,1722151
UPL,2025-10-16,678.0,686.0,674.7,680.4,1284794
UPL,2025-10-17,680.95,683.7,671.9,674.15,882467
UPL,2025-10-20,677.1,685.0,677.0,680.8,1330873
UPL,2025-10-21,681.0,684.05,678.0,680.95,86005
UPL,2025-10-23,684.25,689.8,674.1,675.65,1551907
UPL,2025-10-24,678.0,678.55,669.85,672.05,587809
UPL,2025-10-27,673.0,681.7,672.7,679.85,1365682
UPL,2025-10-28,682.0,709.0,675.5,702.6,4557745
UPL,2025-10-29,708.2,721.8,708.2,720.05,3405916
UPL,2025-10-30,721.85,726.5,712.3,721.35,3573819
UPL,2025-10-31,720.0,729.4,713.75,720.1,3852202
UPL,2025-11-03,720.1,735.0,719.3,730.6,2805423
UPL,2025-11-04,728.0,736.6,726.65,731.35,1916707
UPL,2025-11-06,730.0,747.4,713.4,733.35,9280167
UPL,2025-11-07,725.0,753.8,720.75,747.95,5598140
UPL,2025-11-10,750.05,759.0,746.7,750.65,2547152
UPL,2025-11-11,750.65,755.45,742.4,752.35,1645749
UPL,2025-11-12,754.35,767.8,752.45,760.6,4193619
UPL,2025-11-13,760.6,765.5,753.0,758.15,1752051
UPL,2025-11-14,755.0,766.35,754.1,758.6,2148563
UPL,2025-11-17,758.6,774.95,758.0,773.2,3590666
UPL,2025-11-18,774.0,776.0,757.1,759.65,1862425
UPL,2025-11-19,760.0,762.0,750.6,752.65,2359649
UPL,2025-11-20,758.0,760.3,750.95,753.5,2794809
UPL,2025-11-21,755.0,755.25,747.0,750.85,2033481
UPL,2025-11-24,752.0,755.55,731.0,742.7,5530635
UPL,2025-11-25,741.05,754.0,735.8,749.7,1677991
UPL,2025-11-26,750.15,763.35,746.6,760.6,1482487
UPL,2025-11-27,764.0,769.2,756.55,758.65,1201547
UPL,2025-11-28,757.0,766.15,755.25,758.65,1546792
UPL,2025-12-01,761.0,762.9,748.05,750.85,1611007
