symbol,date,open,high,low,close,volume
VARROC,2025-07-23,549.0,556.05,544.1,554.35,80708
VARROC,2025-07-24,554.0,558.4,545.1,548.0,92488
VARROC,2025-07-25,551.0,553.25,535.0,538.4,70250
VARROC,2025-07-28,538.0,544.0,523.05,524.9,77237
VARROC,2025-07-29,524.0,537.9,522.05,534.85,71550
VARROC,2025-07-30,535.9,538.9,526.6,536.25,223677
VARROC,2025-07-31,536.0,548.1,529.25,536.95,105688
VARROC,2025-08-01,535.0,545.65,521.2,523.4,98743
VARROC,2025-08-04,526.1,527.6,514.05,516.0,110113
VARROC,2025-08-05,516.5,545.0,516.5,540.55,230380
VARROC,2025-08-06,540.0,542.0,525.25,528.3,176590
VARROC,2025-08-07,527.8,579.9,513.45,554.05,1124676
VARROC,2025-08-08,558.5,568.95,505.8,510.95,452036
VARROC,2025-08-11,510.55,525.0,501.45,522.35,197541
VARROC,2025-08-12,520.2,521.95,515.9,519.65,87399
VARROC,2025-08-13,525.0,525.0,508.0,510.5,82738
VARROC,2025-08-14,511.5,523.0,511.3,519.85,113287
VARROC,2025-08-18,524.8,544.45,520.05,540.25,161750
VARROC,2025-08-19,540.0,552.35,535.7,544.15,109006
VARROC,2025-08-20,545.8,555.55,544.55,553.2,84711
VARROC,2025-08-21,553.2,558.2,549.2,551.0,58625
VARROC,2025-08-22,550.9,557.05,543.85,551.7,91344
VARROC,2025-08-25,558.0,558.6,547.0,549.4,38723
VARROC,2025-08-26,546.5,547.05,535.0,538.8,50493
VARROC,2025-08-28,535.0,548.35,533.4,540.65,53850
VARROC,2025-08-29,535.25,546.55,530.0,534.35,39956
VARROC,2025-09-01,531.0,562.0,531.0,558.8,197083
VARROC,2025-09-02,559.4,570.05,555.05,564.9,135996
VARROC,2025-09-03,564.8,576.95,563.0,572.45,137478
VARROC,2025-09-04,575.0,576.7,558.2,561.1,102346
VARROC,2025-09-05,560.0,611.4,556.05,602.1,826640
VARROC,2025-09-08,610.0,624.65,601.25,603.75,809721
VARROC,2025-09-09,606.0,617.5,604.0,612.85,233316
VARROC,2025-09-10,612.0,613.4,601.15,609.35,239946
VARROC,2025-09-11,608.8,621.9,604.3,610.05,212440
VARROC,2025-09-12,607.0,612.95,596.0,601.55,144056
VARROC,2025-09-15,600.0,630.0,592.6,622.25,643386
VARROC,2025-09-16,628.4,645.0,622.1,631.15,755893
VARROC,2025-09-17,640.0,647.3,630.3,642.45,343995
VARROC,2025-09-18,645.0,646.8,620.15,628.95,760265
VARROC,2025-09-19,626.0,641.5,625.0,633.0,921375
VARROC,2025-09-22,631.0,647.4,627.05,640.15,258444
VARROC,2025-09-23,645.0,664.15,632.15,638.2,533232
VARROC,2025-09-24,638.8,654.25,630.0,646.05,232721
VARROC,2025-09-25,646.45,646.45,630.0,632.8,152677
VARROC,2025-09-26,632.9,635.65,615.3,617.85,205875
VARROC,2025-09-29,620.0,629.6,597.3,602.1,224022
VARROC,2025-09-30,602.0,607.85,588.2,590.4,164716
VARROC,2025-10-01,592.0,615.0,588.1,610.15,111598
VARROC,2025-10-03,618.1,624.4,603.8,619.4,106046
VARROC,2025-10-06,618.95,618.95,606.15,612.0,90456
VARROC,2025-10-07,614.9,630.0,607.4,620.4,220862
VARROC,2025-10-08,615.0,623.95,608.9,611.3,80128
VARROC,2025-10-09,611.95,618.7,593.35,598.3,140603
VARROC,2025-10-10,594.25,610.95,594.0,606.15,107994
VARROC,2025-10-13,604.95,611.95,592.6,607.45,147333
VARROC,2025-10-14,607.45,607.45,580.6,592.75,167073
VARROC,2025-10-15,589.7,603.0,583.7,598.65,144267
VARROC,2025-10-16,593.0,618.7,593.0,616.2,138261
VARROC,2025-10-17,616.9,618.5,608.05,614.55,119450
VARROC,2025-10-20,614.55,625.8,611.5,622.5,152054
VARROC,2025-10-21,630.0,633.8,623.0,624.75,49682
VARROC,2025-10-23,625.0,625.95,616.75,618.3,67432
VARROC,2025-10-24,616.0,618.25,606.75,607.45,57694
VARROC,2025-10-27,604.2,609.4,596.3,605.7,101932
VARROC,2025-10-28,609.0,617.0,602.0,607.45,79779
VARROC,2025-10-29,608.0,619.2,603.1,615.55,63486
VARROC,2025-10-30,615.0,623.75,609.75,612.75,95920
VARROC,2025-10-31,616.9,617.2,599.0,611.6,143246
VARROC,2025-11-03,613.0,624.9,607.55,623.05,114695
VARROC,2025-11-04,623.0,629.9,616.35,625.25,105437
VARROC,2025-11-06,623.45,631.95,611.85,625.05,204306
VARROC,2025-11-07,632.0,649.7,612.0,640.85,280864
VARROC,2025-11-10,646.0,656.0,633.0,647.3,376374
VARROC,2025-11-11,647.0,650.05,638.0,645.0,146501
VARROC,2025-11-12,647.8,659.0,622.6,648.25,401046
VARROC,2025-11-13,647.0,669.8,623.25,645.0,875880
VARROC,2025-11-14,644.85,674.5,644.0,652.8,928874
VARROC,2025-11-17,655.6,655.6,636.8,647.25,300339
VARROC,2025-11-18,648.9,648.9,634.0,638.0,139659
VARROC,2025-11-19,636.7,655.0,633.0,641.2,294823
VARROC,2025-11-20,641.2,671.0,638.7,668.85,797614
VARROC,2025-11-21,668.9,670.0,645.8,657.15,1126348
VARROC,2025-11-24,654.85,673.0,649.7,657.75,427364
VARROC,2025-11-25,659.75,664.3,643.2,659.85,329965
VARROC,2025-11-26,665.9,674.0,657.25,660.05,289181
VARROC,2025-11-27,659.9,664.5,653.1,657.8,137844
VARROC,2025-11-28,657.35,665.0,652.55,659.4,586077
VARROC,2025-12-01,664.9,694.7,660.0,669.95,1387481
VARROC,2025-12-02,670.95,678.0,659.2,664.7,268622
VARROC,2025-12-03,666.0,666.9,641.3,648.0,294755
VARROC,2025-12-04,649.0,650.1,639.0,641.85,197854
VARROC,2025-12-05,638.05,644.95,601.2,638.1,247418
VARROC,2025-12-08,638.1,640.55,615.0,621.65,141241
VARROC,2025-12-09,618.0,643.35,610.4,637.7,204437
VARROC,2025-12-10,641.0,648.15,626.3,632.25,105082
VARROC,2025-12-11,630.9,649.6,625.3,647.45,82910
VARROC,2025-12-12,645.85,652.4,639.0,650.15,99151
VARROC,2025-12-15,652.0,657.7,642.0,644.1,79268
VARROC,2025-12-16,649.0,649.0,624.5,632.0,127169
VARROC,2025-12-17,637.9,640.9,630.5,633.55,126344
VARROC,2025-12-18,625.0,631.35,620.1,629.05,173396
VARROC,2025-12-19,628.0,641.0,628.0,635.0,146871
VARROC,2025-12-22,634.6,641.0,632.5,635.35,96520
VARROC,2025-12-23,635.05,638.0,627.2,630.75,120468
VARROC,2025-12-24,629.0,632.45,614.25,616.95,152993
VARROC,2025-12-26,614.8,614.8,599.2,606.1,153247
VARROC,2025-12-29,605.0,610.3,588.85,594.6,139658
VARROC,2025-12-30,592.05,596.8,586.5,588.7,70057
VARROC,2025-12-31,588.0,594.55,583.2,590.6,129475
VARROC,2026-01-01,590.6,610.0,589.65,607.35,132748
VARROC,2026-01-02,607.35,621.5,602.15,610.8,183018
VARROC,2026-01-05,605.05,632.1,605.05,626.9,180160
