symbol,date,open,high,low,close,volume
VASUPRADA,2026-08-18,99.0,99.0,96.06,96.06,522
VASUPRADA,2026-08-19,96.06,96.06,96.06,96.06,0
VASUPRADA,2026-08-20,96.07,96.07,96.07,96.07,15
VASUPRADA,2026-08-21,97.03,97.03,96.07,96.08,14
VASUPRADA,2026-08-24,96.08,96.08,96.08,96.08,0
VASUPRADA,2026-08-25,96.08,96.08,96.08,96.08,0
VASUPRADA,2026-08-26,96.08,96.08,96.08,96.08,0
VASUPRADA,2026-08-27,96.08,96.08,96.08,96.08,0
VASUPRADA,2026-08-28,94.0,95.0,94.0,94.5,50
VASUPRADA,2026-08-31,97.0,97.0,97.0,97.0,2005
VASUPRADA,2026-09-01,97.0,97.0,97.0,97.0,0
VASUPRADA,2026-09-02,97.2,97.2,97.2,97.2,3
