symbol,date,open,high,low,close,volume
VEEDOL,2007-01-16,104.4975,104.4975,96.3525,96.7675,17180
VEEDOL,2007-01-17,102.45,102.45,97.85,97.95,1440
VEEDOL,2007-01-18,99.865,99.995,98.0,98.3825,1700
VEEDOL,2007-01-19,96.2525,99.25,95.15,95.9175,300
VEEDOL,2007-01-22,98.7,100.0,98.7,100.0,540
VEEDOL,2007-01-23,91.3,99.65,91.3,99.65,120
VEEDOL,2007-01-24,102.0,102.0,98.95,98.95,360
VEEDOL,2007-01-25,102.0,102.0,98.95,98.95,360
VEEDOL,2007-01-29,95.4275,99.8,91.3,92.4525,9020
VEEDOL,2007-01-31,90.55,98.9,90.5,93.7625,4800
VEEDOL,2007-02-01,96.25,97.5,92.5525,92.5525,420
VEEDOL,2007-02-02,95.0,97.5,94.95,97.325,2640
VEEDOL,2007-02-05,97.5,112.0,97.5,105.5925,38000
VEEDOL,2007-02-06,99.95,114.9,99.95,110.65,25840
VEEDOL,2007-02-07,115.0,115.0,112.5,113.3575,5640
VEEDOL,2007-02-08,114.745,114.745,110.0,112.5675,1380
VEEDOL,2007-02-09,101.75,113.45,101.75,105.75,980
VEEDOL,2007-02-12,102.5,103.75,100.95,101.01,960
VEEDOL,2007-02-13,100.0,102.0,99.95,100.395,940
VEEDOL,2007-02-14,98.0,102.45,97.5,101.0,440
VEEDOL,2007-02-15,101.5,102.5,100.5,101.5,560
VEEDOL,2007-02-19,97.5,103.5,97.5,100.0525,120
VEEDOL,2007-02-20,98.5,99.0025,98.5,99.0025,120
VEEDOL,2007-02-21,98.8,98.8,90.6,95.7825,6000
VEEDOL,2007-02-22,99.45,99.45,96.025,96.1525,240
VEEDOL,2007-02-23,105.0,109.6975,97.3025,97.505,7020
VEEDOL,2007-02-26,99.5,99.55,97.5,97.5,1840
VEEDOL,2007-02-27,85.5,101.245,85.5,99.5,2520
VEEDOL,2007-02-28,94.5,98.75,93.0025,97.2,780
VEEDOL,2007-03-01,104.95,104.95,92.5,93.91,11280
VEEDOL,2007-03-02,93.05,95.5,93.0,93.44,1080
VEEDOL,2007-03-05,77.9275,93.0,77.9275,88.8,1120
VEEDOL,2007-03-06,96.0,97.0,94.95,94.95,140
VEEDOL,2007-03-07,85.55,99.5,85.55,87.5975,4920
VEEDOL,2007-03-08,91.15,91.25,87.65,91.125,48120
VEEDOL,2007-03-09,88.05,91.75,88.0,91.25,240
VEEDOL,2007-03-12,87.65,93.5,87.65,93.5,420
VEEDOL,2007-03-13,94.95,94.95,89.0125,89.0125,6000
VEEDOL,2007-03-14,89.5,93.15,88.75,92.205,14000
VEEDOL,2007-03-15,82.5,94.75,77.0,90.1675,5800
VEEDOL,2007-03-16,90.05,90.05,90.05,90.05,40
VEEDOL,2007-03-19,94.5,94.5,90.1,90.1,100
VEEDOL,2007-03-20,92.5,92.5,90.0,90.3,5960
VEEDOL,2007-03-21,85.05,93.95,85.05,89.185,4900
VEEDOL,2007-03-22,87.0,93.0,87.0,93.0,4000
VEEDOL,2007-03-23,89.0,91.5,88.0,90.065,5000
VEEDOL,2007-03-26,88.25,91.65,88.25,88.5025,7680
VEEDOL,2007-03-28,85.5,93.9,85.5,91.825,6000
VEEDOL,2007-03-29,91.825,91.825,91.825,91.825,0
VEEDOL,2007-03-30,88.25,90.0,88.25,88.5025,560
VEEDOL,2007-04-02,100.0,100.0,89.5,90.4,500
VEEDOL,2007-04-03,90.75,91.2475,90.5,91.2475,480
VEEDOL,2007-04-04,88.75,88.75,88.75,88.75,20
VEEDOL,2007-04-05,89.0,89.0,89.0,89.0,100
VEEDOL,2007-04-09,91.0,95.0,91.0,94.925,140
VEEDOL,2007-04-10,95.0,95.0,94.5,94.5,100
VEEDOL,2007-04-11,94.6,94.6,92.25,93.8,80
VEEDOL,2007-04-12,93.8,93.8,93.8,93.8,0
VEEDOL,2007-04-13,92.35,94.495,92.35,93.5,320
VEEDOL,2007-04-16,95.0,96.25,90.6,95.59,380
VEEDOL,2007-04-17,94.995,94.995,91.55,91.755,80
VEEDOL,2007-04-18,96.25,100.0,95.0,95.215,980
VEEDOL,2007-04-19,91.6,97.5,91.55,92.25,380
VEEDOL,2007-04-20,95.0,101.0,88.1,93.65,1280
VEEDOL,2007-04-23,92.5,92.5,92.5,92.5,380
VEEDOL,2007-04-24,92.5725,92.5725,92.365,92.365,500
VEEDOL,2007-04-25,95.0,95.9475,92.0125,93.25,320
VEEDOL,2007-04-26,95.995,95.995,94.5,95.0,260
VEEDOL,2007-04-27,95.0,95.0,95.0,95.0,0
VEEDOL,2007-04-30,95.995,95.995,94.5,95.0,260
VEEDOL,2007-05-03,97.5,97.5,92.5,92.6425,680
VEEDOL,2007-05-04,92.6425,92.6425,92.6425,92.6425,0
VEEDOL,2007-05-07,88.5,96.5,88.5,90.75,160
VEEDOL,2007-05-08,92.0,92.0,91.25,91.25,240
VEEDOL,2007-05-09,90.25,93.0,90.0,93.0,600
VEEDOL,2007-05-10,93.0,93.0,93.0,93.0,0
VEEDOL,2007-05-11,93.0,93.0,93.0,93.0,0
VEEDOL,2007-05-14,88.55,91.9475,88.55,90.2,360
VEEDOL,2007-05-15,91.0,91.0,91.0,91.0,100
VEEDOL,2007-05-16,91.0,91.0,91.0,91.0,0
VEEDOL,2007-05-17,90.0,90.0,90.0,90.0,400
VEEDOL,2007-05-18,90.0,90.0,88.8,88.8,720
VEEDOL,2007-05-21,88.5,88.5,88.0,88.0,500
VEEDOL,2007-05-22,87.6,87.6,87.5025,87.5025,120
VEEDOL,2007-05-23,88.85,88.85,88.75,88.75,700
VEEDOL,2007-05-24,90.0,90.0,90.0,90.0,200
VEEDOL,2007-05-25,90.0,90.0,88.75,88.75,220
VEEDOL,2007-05-28,88.75,88.75,88.5,88.5,60
VEEDOL,2007-05-29,87.0,87.0,85.8,85.8,700
VEEDOL,2007-05-30,87.0,87.5,85.765,85.765,640
VEEDOL,2007-05-31,88.75,88.75,87.5,87.5,800
VEEDOL,2007-06-01,89.5,90.0,88.0,89.02,560
VEEDOL,2007-06-04,93.5,94.9975,90.0,94.525,1640
VEEDOL,2007-06-05,93.75,93.75,90.0,90.69,480
VEEDOL,2007-06-06,92.5,92.5,90.5,92.5,260
VEEDOL,2007-06-07,92.0,92.5,90.5,92.14,3000
VEEDOL,2007-06-08,92.5,92.5,92.5,92.5,400
VEEDOL,2007-06-11,90.0,90.0,85.25,87.55,800
VEEDOL,2007-06-12,87.55,87.55,87.55,87.55,0
VEEDOL,2007-06-13,91.25,91.25,91.25,91.25,20
VEEDOL,2007-06-14,88.0,91.0,87.5,91.0,140
VEEDOL,2007-06-15,89.0,89.0,87.7,87.7,40
VEEDOL,2007-06-18,86.75,89.25,84.95,86.2875,1240
VEEDOL,2007-06-19,89.5,89.75,87.5,87.5,380
VEEDOL,2007-06-20,87.5,89.1,86.5,89.0,540
VEEDOL,2007-06-21,89.75,89.75,89.75,89.75,100
VEEDOL,2007-06-22,89.75,93.0,89.75,93.0,1560
VEEDOL,2007-06-25,90.0,95.0,90.0,93.615,1080
VEEDOL,2007-06-26,99.0,99.0,90.55,93.115,2140
VEEDOL,2007-06-27,94.95,94.95,92.5,93.85,1160
VEEDOL,2007-06-28,94.95,95.0,92.0,92.605,5840
VEEDOL,2007-06-29,94.8,95.0,92.505,92.72,680
VEEDOL,2007-07-02,96.0,96.25,90.75,94.95,480
VEEDOL,2007-07-03,93.0,95.0,93.0,93.0,420
VEEDOL,2007-07-04,93.0,93.0,93.0,93.0,40
VEEDOL,2007-07-05,92.0,92.5,90.15,92.5,340
VEEDOL,2007-07-06,91.15,93.5,91.15,93.5,340
VEEDOL,2007-07-09,92.5,96.25,92.5,95.5175,2000
VEEDOL,2007-07-10,95.0,95.0,93.6175,94.5,3360
VEEDOL,2007-07-11,101.25,101.25,92.8,95.0,4820
VEEDOL,2007-07-12,95.6,98.5,94.0,94.0,1420
VEEDOL,2007-07-13,95.75,95.75,94.5,94.9275,560
VEEDOL,2007-07-16,94.5,94.5,92.5,92.5,280
VEEDOL,2007-07-17,92.55,95.5,92.55,92.56,580
VEEDOL,2007-07-18,92.55,94.9,92.55,94.9,720
VEEDOL,2007-07-19,92.3,92.55,92.3,92.55,40
VEEDOL,2007-07-20,92.75,94.0,92.55,92.6625,160
VEEDOL,2007-07-23,92.6,95.0,91.25,91.25,180
VEEDOL,2007-07-24,91.25,95.5,90.0,90.05,720
VEEDOL,2007-07-25,87.5,91.25,87.5,91.0825,200
VEEDOL,2007-07-26,96.0,96.25,92.55,92.55,220
