symbol,date,open,high,low,close,volume
VEEKAYEM,2025-07-22,236.5,250.0,236.5,243.95,2000
VEEKAYEM,2025-07-23,252.2,252.2,252.2,252.2,500
VEEKAYEM,2025-07-24,251.9,251.9,239.75,251.4,2500
VEEKAYEM,2025-07-25,251.4,251.4,251.4,251.4,0
VEEKAYEM,2025-07-28,240.2,243.85,238.85,240.8,5000
VEEKAYEM,2025-07-29,229.0,239.85,228.9,238.75,8000
VEEKAYEM,2025-07-30,239.95,240.1,239.95,240.05,6000
VEEKAYEM,2025-07-31,240.4,240.4,228.8,239.8,6000
VEEKAYEM,2025-08-01,239.8,239.8,239.8,239.8,0
VEEKAYEM,2025-08-04,244.0,244.0,244.0,244.0,500
VEEKAYEM,2025-08-05,244.0,244.0,244.0,244.0,0
VEEKAYEM,2025-08-06,232.5,232.5,232.5,232.5,500
VEEKAYEM,2025-08-07,221.05,237.0,220.9,237.0,2500
VEEKAYEM,2025-08-08,246.0,246.0,226.0,241.95,11000
VEEKAYEM,2025-08-11,240.0,246.85,240.0,246.85,1000
VEEKAYEM,2025-08-12,246.8,259.0,246.8,254.8,12000
VEEKAYEM,2025-08-13,254.95,267.5,253.4,267.5,10500
VEEKAYEM,2025-08-14,271.95,273.95,257.3,268.0,4000
VEEKAYEM,2025-08-18,268.0,280.0,268.0,275.65,6500
VEEKAYEM,2025-08-19,275.0,281.0,275.0,278.85,2000
VEEKAYEM,2025-08-20,280.0,280.0,280.0,280.0,500
VEEKAYEM,2025-08-21,266.0,287.5,266.0,287.5,3500
VEEKAYEM,2025-08-22,287.5,287.5,287.5,287.5,0
VEEKAYEM,2025-08-25,287.5,290.0,287.5,290.0,1000
VEEKAYEM,2025-08-26,290.0,290.0,290.0,290.0,0
VEEKAYEM,2025-08-28,290.0,290.0,290.0,290.0,0
VEEKAYEM,2025-08-29,275.5,302.0,275.5,302.0,10500
VEEKAYEM,2025-09-01,303.5,310.0,286.9,310.0,10000
VEEKAYEM,2025-09-02,309.5,318.0,309.5,318.0,7500
VEEKAYEM,2025-09-03,307.0,311.0,307.0,310.0,2000
VEEKAYEM,2025-09-04,311.0,312.0,307.0,307.0,5000
VEEKAYEM,2025-09-05,305.0,313.0,305.0,312.45,8500
VEEKAYEM,2025-09-08,312.45,312.45,312.45,312.45,0
VEEKAYEM,2025-09-09,312.4,312.4,310.0,311.9,16000
VEEKAYEM,2025-09-10,296.35,310.5,296.3,301.0,3500
VEEKAYEM,2025-09-11,286.0,300.95,285.95,300.7,3000
VEEKAYEM,2025-09-12,295.2,314.0,285.7,309.1,35000
VEEKAYEM,2025-09-15,306.95,315.0,294.8,308.5,14500
VEEKAYEM,2025-09-16,311.95,311.95,311.95,311.95,500
VEEKAYEM,2025-09-17,297.0,315.0,296.35,308.3,10500
VEEKAYEM,2025-09-18,297.0,308.0,296.05,296.05,1500
VEEKAYEM,2025-09-19,284.2,288.9,281.25,288.9,7000
