symbol,date,open,high,low,close,volume
VERTOZ,2025-07-23,99.88,100.07,95.01,95.31,166094
VERTOZ,2025-07-24,97.78,97.78,90.54,90.9,195346
VERTOZ,2025-07-25,90.54,95.4,86.55,90.29,279947
VERTOZ,2025-07-28,88.1,92.77,86.1,87.65,132133
VERTOZ,2025-07-29,88.99,89.26,86.0,88.66,78097
VERTOZ,2025-07-30,89.0,91.0,87.55,89.76,134820
VERTOZ,2025-07-31,89.75,89.75,85.9,86.18,153770
VERTOZ,2025-08-01,86.0,87.79,83.06,83.68,116309
VERTOZ,2025-08-04,83.5,85.81,83.5,84.29,55606
VERTOZ,2025-08-05,84.3,84.99,83.01,83.52,56083
VERTOZ,2025-08-06,83.01,87.69,81.11,87.69,214591
VERTOZ,2025-08-07,89.9,97.8,87.99,95.1,898576
VERTOZ,2025-08-08,97.39,97.4,90.09,90.88,208073
VERTOZ,2025-08-11,90.88,92.01,87.1,90.42,103858
VERTOZ,2025-08-12,91.8,92.52,84.31,86.63,128627
VERTOZ,2025-08-13,86.38,91.75,86.38,88.91,156778
VERTOZ,2025-08-14,89.65,89.65,85.5,87.13,140150
VERTOZ,2025-08-18,88.8,88.8,84.7,85.32,135327
VERTOZ,2025-08-19,85.32,88.0,83.5,84.13,279802
VERTOZ,2025-08-20,84.77,85.64,83.14,83.79,86340
VERTOZ,2025-08-21,84.1,86.5,81.0,81.72,316606
VERTOZ,2025-08-22,82.0,83.48,80.16,80.91,104978
VERTOZ,2025-08-25,81.0,82.99,80.0,80.4,118324
VERTOZ,2025-08-26,80.5,81.76,78.5,78.9,107008
VERTOZ,2025-08-28,78.1,79.69,76.9,77.68,87217
VERTOZ,2025-08-29,77.68,78.79,76.56,76.94,66011
VERTOZ,2025-09-01,76.7,78.44,76.56,78.04,63301
VERTOZ,2025-09-02,79.0,82.4,78.11,80.1,140174
VERTOZ,2025-09-03,80.5,80.66,78.2,78.97,80898
VERTOZ,2025-09-04,78.6,80.85,77.51,77.93,66875
VERTOZ,2025-09-05,78.25,78.37,75.87,76.75,95718
VERTOZ,2025-09-08,77.2,77.99,76.45,76.93,70062
VERTOZ,2025-09-09,77.5,77.5,76.25,76.33,53937
VERTOZ,2025-09-10,76.33,77.43,75.1,75.73,76525
VERTOZ,2025-09-11,75.73,77.46,75.4,75.64,62745
VERTOZ,2025-09-12,79.0,79.0,75.35,75.78,91726
VERTOZ,2025-09-15,77.0,77.0,75.0,75.47,174405
VERTOZ,2025-09-16,76.0,76.08,73.9,74.06,144957
VERTOZ,2025-09-17,74.2,86.75,73.6,81.63,973610
VERTOZ,2025-09-18,84.8,84.8,79.0,79.47,250921
VERTOZ,2025-09-19,79.47,80.49,77.1,77.61,139149
VERTOZ,2025-09-22,76.1,79.54,76.1,78.94,89208
VERTOZ,2025-09-23,79.25,79.74,77.73,77.99,52008
VERTOZ,2025-09-24,77.99,78.48,76.5,76.74,52729
VERTOZ,2025-09-25,76.74,77.99,74.5,74.68,104557
VERTOZ,2025-09-26,74.5,77.0,73.05,73.85,170825
VERTOZ,2025-09-29,73.85,75.59,73.01,73.57,127004
VERTOZ,2025-09-30,73.3,77.3,73.05,73.89,192366
VERTOZ,2025-10-01,74.06,76.24,74.0,74.18,66873
VERTOZ,2025-10-03,74.16,75.5,74.01,75.07,74610
VERTOZ,2025-10-06,75.07,75.7,73.5,73.67,82213
VERTOZ,2025-10-07,72.75,75.3,71.15,71.85,72968
VERTOZ,2025-10-08,72.8,72.95,70.61,70.74,77729
VERTOZ,2025-10-09,71.0,71.49,68.45,68.8,210262
VERTOZ,2025-10-10,69.0,71.99,69.0,70.74,83518
VERTOZ,2025-10-13,70.74,71.5,69.06,69.54,52459
VERTOZ,2025-10-14,69.54,70.5,67.5,68.86,99684
VERTOZ,2025-10-15,68.86,70.13,68.0,68.81,41738
VERTOZ,2025-10-16,70.0,70.0,67.51,68.29,70695
VERTOZ,2025-10-17,68.29,69.5,66.61,68.6,269398
VERTOZ,2025-10-20,68.6,69.09,67.5,68.09,78562
VERTOZ,2025-10-21,68.53,71.0,66.97,69.35,71670
VERTOZ,2025-10-23,68.11,71.75,68.11,69.6,170536
VERTOZ,2025-10-24,69.6,70.0,68.25,68.64,110090
VERTOZ,2025-10-27,68.64,69.6,68.5,68.85,267122
VERTOZ,2025-10-28,69.37,70.4,68.65,69.01,143747
