symbol,date,open,high,low,close,volume
VESUVIUS,2025-07-23,550.0,559.0,545.9,549.8,229079
VESUVIUS,2025-07-24,551.0,553.25,521.5,526.25,194493
VESUVIUS,2025-07-25,526.25,540.75,520.0,521.8,68296
VESUVIUS,2025-07-28,525.95,528.0,511.6,515.85,74132
VESUVIUS,2025-07-29,515.3,527.4,511.15,523.55,57371
VESUVIUS,2025-07-30,523.55,526.8,513.5,518.25,52571
VESUVIUS,2025-07-31,513.0,525.55,505.05,515.7,67636
VESUVIUS,2025-08-01,515.7,523.05,510.0,513.2,37697
VESUVIUS,2025-08-04,513.2,535.0,505.6,528.85,157748
VESUVIUS,2025-08-05,534.0,534.0,523.8,526.9,59580
VESUVIUS,2025-08-06,529.9,559.9,524.35,537.8,541640
VESUVIUS,2025-08-07,534.0,558.0,528.9,536.85,173133
VESUVIUS,2025-08-08,536.85,545.15,525.2,528.85,108784
VESUVIUS,2025-08-11,528.85,528.85,515.2,522.65,45284
VESUVIUS,2025-08-12,518.3,530.0,515.0,517.4,51622
VESUVIUS,2025-08-13,518.0,532.4,516.9,521.8,60795
VESUVIUS,2025-08-14,518.55,523.7,506.35,508.7,77318
VESUVIUS,2025-08-18,510.05,524.8,508.2,510.5,84809
VESUVIUS,2025-08-19,514.35,527.65,509.1,523.15,94783
VESUVIUS,2025-08-20,528.4,532.15,518.0,524.5,318097
VESUVIUS,2025-08-21,527.05,539.0,523.35,537.25,100224
VESUVIUS,2025-08-22,540.95,540.95,529.0,531.1,211816
VESUVIUS,2025-08-25,536.0,538.0,520.85,526.45,73787
VESUVIUS,2025-08-26,523.05,530.0,505.1,508.85,150443
VESUVIUS,2025-08-28,508.85,516.15,494.6,495.85,101594
VESUVIUS,2025-08-29,499.9,506.8,494.1,502.65,117868
VESUVIUS,2025-09-01,503.95,510.05,496.3,508.6,73019
VESUVIUS,2025-09-02,512.4,518.0,505.4,515.6,62497
VESUVIUS,2025-09-03,515.0,526.4,512.1,520.05,185528
VESUVIUS,2025-09-04,520.1,523.1,513.0,519.05,63398
VESUVIUS,2025-09-05,520.9,525.0,510.0,511.9,256992
VESUVIUS,2025-09-08,512.9,525.15,511.9,515.85,42877
VESUVIUS,2025-09-09,516.1,519.25,510.2,514.55,520086
VESUVIUS,2025-09-10,519.2,534.2,517.3,524.65,147383
VESUVIUS,2025-09-11,524.65,527.7,520.1,522.8,47041
VESUVIUS,2025-09-12,525.0,525.4,518.55,522.8,28326
VESUVIUS,2025-09-15,522.0,525.75,517.6,520.05,34383
VESUVIUS,2025-09-16,523.7,530.4,519.95,529.2,48620
VESUVIUS,2025-09-17,529.8,538.7,528.95,533.85,82778
VESUVIUS,2025-09-18,537.0,540.35,523.6,526.25,146252
VESUVIUS,2025-09-19,526.0,545.0,522.55,530.5,430443
VESUVIUS,2025-09-22,529.95,533.55,505.25,511.2,239876
VESUVIUS,2025-09-23,515.3,519.8,509.05,517.0,331924
VESUVIUS,2025-09-24,518.0,518.5,510.0,512.95,42668
VESUVIUS,2025-09-25,513.05,522.5,509.2,513.65,131455
VESUVIUS,2025-09-26,516.0,516.95,506.0,509.3,95559
VESUVIUS,2025-09-29,510.0,516.65,506.85,508.5,70740
VESUVIUS,2025-09-30,511.1,516.95,505.2,512.65,55221
VESUVIUS,2025-10-01,516.0,516.0,506.0,508.1,77883
VESUVIUS,2025-10-03,511.9,513.95,496.85,504.55,181265
VESUVIUS,2025-10-06,502.05,516.8,502.05,514.05,100337
VESUVIUS,2025-10-07,509.25,521.75,509.25,513.6,164358
VESUVIUS,2025-10-08,519.0,519.0,507.4,511.4,49808
VESUVIUS,2025-10-09,509.0,512.4,501.95,503.55,87916
VESUVIUS,2025-10-10,503.6,508.0,500.65,505.2,48837
VESUVIUS,2025-10-13,500.1,505.5,499.95,502.1,41845
VESUVIUS,2025-10-14,498.0,504.9,483.25,485.4,91685
VESUVIUS,2025-10-15,484.65,501.0,477.05,491.15,125732
VESUVIUS,2025-10-16,492.0,496.0,490.0,493.8,24328
VESUVIUS,2025-10-17,494.0,496.95,476.55,478.85,83708
