symbol,date,open,high,low,close,volume
VIJIFIN,2025-07-22,4.59,4.6,4.54,4.6,2003326
VIJIFIN,2025-07-23,4.4,4.49,4.37,4.37,484654
VIJIFIN,2025-07-24,4.15,4.15,4.15,4.15,206745
VIJIFIN,2025-07-25,3.94,3.94,3.94,3.94,81962
VIJIFIN,2025-07-28,3.74,3.74,3.74,3.74,137464
VIJIFIN,2025-07-29,3.55,3.55,3.55,3.55,245694
VIJIFIN,2025-07-30,3.48,3.72,3.48,3.72,837567
VIJIFIN,2025-07-31,3.71,3.9,3.71,3.9,527783
VIJIFIN,2025-08-01,4.09,4.09,4.09,4.09,476732
VIJIFIN,2025-08-04,4.29,4.29,4.29,4.29,277112
VIJIFIN,2025-08-05,4.5,4.5,4.07,4.5,1882026
VIJIFIN,2025-08-06,4.41,4.41,4.41,4.41,164076
VIJIFIN,2025-08-07,4.32,4.32,4.32,4.32,36854
VIJIFIN,2025-08-08,4.23,4.23,4.23,4.23,37470
VIJIFIN,2025-08-11,4.14,4.14,4.14,4.14,23756
VIJIFIN,2025-08-12,4.05,4.05,4.05,4.05,69833
VIJIFIN,2025-08-13,3.96,3.96,3.96,3.96,163253
VIJIFIN,2025-08-14,3.88,3.88,3.88,3.88,25822
VIJIFIN,2025-08-18,3.8,3.8,3.8,3.8,19624
VIJIFIN,2025-08-19,3.87,3.87,3.72,3.87,521107
VIJIFIN,2025-08-20,3.79,3.79,3.79,3.79,76002
VIJIFIN,2025-08-21,3.71,3.71,3.71,3.71,51697
VIJIFIN,2025-08-22,3.63,3.63,3.63,3.63,13966
VIJIFIN,2025-08-25,3.55,3.55,3.55,3.55,29093
VIJIFIN,2025-08-26,3.47,3.47,3.47,3.47,22895
VIJIFIN,2025-08-28,3.4,3.41,3.4,3.4,88516
VIJIFIN,2025-08-29,3.33,3.33,3.33,3.33,38565
VIJIFIN,2025-09-01,3.39,3.39,3.39,3.39,101105
VIJIFIN,2025-09-02,3.45,3.45,3.45,3.45,50322
VIJIFIN,2025-09-03,3.51,3.51,3.48,3.51,104644
VIJIFIN,2025-09-04,3.45,3.45,3.43,3.45,63038
VIJIFIN,2025-09-05,3.42,3.5,3.42,3.42,31123
