symbol,date,open,high,low,close,volume
VISHWARAJ,2025-07-22,9.68,9.82,9.54,9.57,130294
VISHWARAJ,2025-07-23,9.72,9.73,9.45,9.51,209465
VISHWARAJ,2025-07-24,9.5,9.6,9.4,9.45,286154
VISHWARAJ,2025-07-25,9.57,9.57,9.33,9.37,208489
VISHWARAJ,2025-07-28,9.4,9.42,9.2,9.27,141943
VISHWARAJ,2025-07-29,9.27,9.85,8.99,9.2,339239
VISHWARAJ,2025-07-30,9.16,9.39,9.16,9.3,218304
VISHWARAJ,2025-07-31,9.19,9.36,9.12,9.25,97801
VISHWARAJ,2025-08-01,9.24,9.35,9.16,9.21,146341
VISHWARAJ,2025-08-04,9.25,9.79,9.1,9.12,204475
VISHWARAJ,2025-08-05,9.12,9.33,9.1,9.18,89143
VISHWARAJ,2025-08-06,9.38,9.4,8.93,8.98,146501
VISHWARAJ,2025-08-07,9.18,9.18,8.95,8.99,244100
VISHWARAJ,2025-08-08,9.0,9.06,8.9,8.99,151455
VISHWARAJ,2025-08-11,8.89,8.99,8.73,8.86,221428
VISHWARAJ,2025-08-12,8.86,9.02,8.81,8.9,104244
VISHWARAJ,2025-08-13,9.0,9.12,8.81,8.9,209974
VISHWARAJ,2025-08-14,8.9,8.98,8.83,8.87,82537
VISHWARAJ,2025-08-18,8.88,9.03,8.61,8.73,374281
VISHWARAJ,2025-08-19,8.86,8.93,8.7,8.79,224655
VISHWARAJ,2025-08-20,8.86,9.05,8.83,8.96,165151
VISHWARAJ,2025-08-21,9.07,9.08,8.92,8.94,167866
VISHWARAJ,2025-08-22,8.94,8.99,8.84,8.92,128205
VISHWARAJ,2025-08-25,8.9,8.98,8.78,8.83,186066
VISHWARAJ,2025-08-26,8.77,8.85,8.69,8.79,115777
VISHWARAJ,2025-08-28,8.81,8.89,8.53,8.61,191352
VISHWARAJ,2025-08-29,8.55,8.79,8.55,8.63,92117
VISHWARAJ,2025-09-01,8.75,9.41,8.6,9.32,568543
VISHWARAJ,2025-09-02,9.5,10.2,9.49,9.72,1521807
VISHWARAJ,2025-09-03,9.74,10.0,8.76,9.3,922113
VISHWARAJ,2025-09-04,9.29,9.47,9.29,9.36,205989
VISHWARAJ,2025-09-05,9.35,9.44,9.21,9.28,214555
VISHWARAJ,2025-09-08,9.28,9.42,9.26,9.32,121161
VISHWARAJ,2025-09-09,9.42,9.45,9.29,9.41,155004
VISHWARAJ,2025-09-10,9.5,9.5,9.31,9.33,120940
VISHWARAJ,2025-09-11,9.26,9.46,9.24,9.28,318160
VISHWARAJ,2025-09-12,9.39,9.4,9.25,9.31,136295
VISHWARAJ,2025-09-15,9.4,9.42,8.9,8.97,1115583
VISHWARAJ,2025-09-16,9.08,9.12,8.91,9.04,270368
VISHWARAJ,2025-09-17,9.07,9.27,8.98,9.05,347669
VISHWARAJ,2025-09-18,9.06,9.32,8.81,8.9,933889
VISHWARAJ,2025-09-19,9.1,9.1,8.48,8.5,2225424
VISHWARAJ,2025-09-22,8.51,8.62,8.44,8.46,626369
VISHWARAJ,2025-09-23,8.46,8.47,8.25,8.28,670789
VISHWARAJ,2025-09-24,8.3,8.35,8.25,8.29,398985
VISHWARAJ,2025-09-25,8.36,8.38,7.91,7.97,1224175
VISHWARAJ,2025-09-26,7.99,8.16,7.88,7.97,358979
VISHWARAJ,2025-09-29,7.97,8.11,7.9,7.98,452933
VISHWARAJ,2025-09-30,8.08,8.08,7.9,7.94,184293
VISHWARAJ,2025-10-01,7.99,8.1,7.93,8.07,216730
