symbol,date,open,high,low,close,volume
VMART,2025-07-23,756.4,767.6,754.55,763.75,43959
VMART,2025-07-24,773.25,856.0,763.0,807.35,1344680
VMART,2025-07-25,817.0,817.7,777.85,804.05,328304
VMART,2025-07-28,806.35,810.0,790.0,795.6,239231
VMART,2025-07-29,795.6,801.95,783.3,797.0,115979
VMART,2025-07-30,804.05,818.0,794.65,805.15,214548
VMART,2025-07-31,800.0,800.45,783.1,790.5,100814
VMART,2025-08-01,790.0,790.0,769.65,780.35,139496
VMART,2025-08-04,784.0,799.45,773.05,782.7,140067
VMART,2025-08-05,782.5,795.0,772.7,791.45,93279
VMART,2025-08-06,784.5,796.85,774.2,782.9,99212
VMART,2025-08-07,776.0,781.9,764.35,770.3,61704
VMART,2025-08-08,774.4,781.0,755.0,760.5,36261
VMART,2025-08-11,756.0,762.65,748.55,756.7,32821
VMART,2025-08-12,760.7,761.15,733.15,749.15,71776
VMART,2025-08-13,751.0,752.85,735.0,740.0,24471
VMART,2025-08-14,743.9,746.0,733.05,741.2,26398
VMART,2025-08-18,754.0,776.95,751.0,767.1,176531
VMART,2025-08-19,771.0,782.0,761.35,775.35,99393
VMART,2025-08-20,772.05,775.25,758.05,759.95,114579
VMART,2025-08-21,760.0,761.0,751.3,752.9,70618
VMART,2025-08-22,756.85,756.85,744.05,747.0,30635
VMART,2025-08-25,746.1,760.0,744.65,748.15,59081
VMART,2025-08-26,745.0,750.0,734.25,739.15,42888
VMART,2025-08-28,738.0,747.9,731.0,733.45,105040
VMART,2025-08-29,737.3,748.0,735.0,742.6,97312
VMART,2025-09-01,746.3,750.7,738.75,748.35,132255
VMART,2025-09-02,748.0,759.45,737.2,744.0,465945
VMART,2025-09-03,744.0,750.05,739.0,748.15,101015
VMART,2025-09-04,755.0,756.2,746.3,749.55,671863
VMART,2025-09-05,745.5,749.4,733.6,746.35,204460
VMART,2025-09-08,746.35,749.5,737.55,743.65,205186
VMART,2025-09-09,749.45,750.2,740.0,748.6,68823
VMART,2025-09-10,745.0,751.2,740.6,748.15,285108
VMART,2025-09-11,747.15,750.0,743.15,745.75,41099
VMART,2025-09-12,749.75,750.1,735.95,737.05,70265
VMART,2025-09-15,738.0,745.5,718.8,729.2,170351
VMART,2025-09-16,736.5,749.65,733.0,739.0,287926
VMART,2025-09-17,742.7,743.1,737.0,739.95,242065
VMART,2025-09-18,743.7,743.7,737.05,739.85,84971
VMART,2025-09-19,740.0,755.45,727.0,738.1,97120
VMART,2025-09-22,730.5,740.1,730.5,736.4,83688
VMART,2025-09-23,742.0,742.0,715.5,722.6,168122
VMART,2025-09-24,725.0,725.0,712.0,717.0,332539
VMART,2025-09-25,719.8,726.9,714.55,722.35,37365
VMART,2025-09-26,727.0,727.0,711.8,723.4,58909
VMART,2025-09-29,717.2,725.2,702.65,707.05,64865
VMART,2025-09-30,700.0,721.0,700.0,709.8,51299
VMART,2025-10-01,712.6,729.05,709.3,726.7,88232
VMART,2025-10-03,779.0,867.4,756.7,842.7,9994038
VMART,2025-10-06,842.9,859.7,810.3,825.9,851177
VMART,2025-10-07,824.9,837.95,805.3,820.0,387470
VMART,2025-10-08,819.95,839.9,813.1,836.1,206181
VMART,2025-10-09,840.9,856.2,832.1,851.25,246509
VMART,2025-10-10,855.4,859.7,839.95,853.25,139916
VMART,2025-10-13,850.0,886.0,841.1,881.35,451943
VMART,2025-10-14,883.5,888.0,862.0,873.45,187200
VMART,2025-10-15,869.0,878.5,858.0,874.9,113361
VMART,2025-10-16,877.0,882.65,867.15,877.55,110968
VMART,2025-10-17,881.0,881.0,848.95,857.35,127327
VMART,2025-10-20,861.6,873.0,857.3,864.3,121417
VMART,2025-10-21,872.8,876.0,868.4,871.45,16003
VMART,2025-10-23,874.95,877.55,859.2,870.7,123532
VMART,2025-10-24,870.0,870.0,849.2,861.5,82315
VMART,2025-10-27,858.0,858.0,836.0,840.65,91735
VMART,2025-10-28,840.0,848.15,825.8,828.2,43206
VMART,2025-10-29,825.0,836.85,820.7,826.4,46665
VMART,2025-10-30,825.0,839.9,820.55,837.45,44500
VMART,2025-10-31,841.0,841.45,826.3,829.45,96674
VMART,2025-11-03,826.0,840.65,824.1,833.05,35197
VMART,2025-11-04,834.95,846.7,828.8,832.1,46527
VMART,2025-11-06,863.15,863.15,816.9,819.9,214228
VMART,2025-11-07,812.4,830.0,802.3,817.65,45973
VMART,2025-11-10,817.65,821.2,738.65,777.75,909190
VMART,2025-11-11,785.55,790.0,757.0,775.05,233058
VMART,2025-11-12,776.55,850.0,776.55,832.25,535096
VMART,2025-11-13,830.0,882.0,827.0,847.1,236263
VMART,2025-11-14,844.2,845.95,830.4,834.95,50668
VMART,2025-11-17,834.95,852.45,829.25,849.0,219617
VMART,2025-11-18,847.7,851.25,827.4,832.25,136976
VMART,2025-11-19,831.0,843.45,811.7,822.8,105388
VMART,2025-11-20,827.1,827.1,806.5,814.3,64421
VMART,2025-11-21,814.0,814.0,793.0,797.5,43033
VMART,2025-11-24,800.0,812.55,786.0,794.7,117045
VMART,2025-11-25,797.0,798.75,766.1,783.5,407701
VMART,2025-11-26,783.5,796.8,783.05,791.8,92066
VMART,2025-11-27,791.8,795.55,781.05,786.55,44677
VMART,2025-11-28,786.55,789.2,777.65,782.65,54513
VMART,2025-12-01,785.4,803.3,778.3,793.25,103228
VMART,2025-12-02,793.0,793.0,781.5,785.35,36171
VMART,2025-12-03,785.35,786.2,770.3,773.75,41329
VMART,2025-12-04,773.75,791.95,771.55,788.7,32441
VMART,2025-12-05,788.0,788.0,758.0,760.3,106071
VMART,2025-12-08,760.3,764.1,733.45,745.0,56691
VMART,2025-12-09,740.0,749.9,732.95,744.9,83589
VMART,2025-12-10,744.0,749.45,735.5,741.05,45426
VMART,2025-12-11,741.05,750.4,727.0,747.7,98388
VMART,2025-12-12,747.7,772.0,746.95,760.9,110169
VMART,2025-12-15,755.8,759.45,748.05,753.0,69014
VMART,2025-12-16,750.0,762.0,746.2,754.9,29501
VMART,2025-12-17,757.0,767.95,749.55,757.9,78020
VMART,2025-12-18,757.9,763.5,749.0,754.4,70955
VMART,2025-12-19,753.0,757.15,731.25,737.9,74321
VMART,2025-12-22,737.9,747.4,733.35,742.75,117007
VMART,2025-12-23,735.75,743.65,734.7,737.45,90687
VMART,2025-12-24,738.0,751.95,732.0,746.3,107901
VMART,2025-12-26,746.0,746.0,735.0,738.65,27190
VMART,2025-12-29,737.5,741.0,720.25,725.45,68307
VMART,2025-12-30,725.45,726.0,712.05,714.3,26631
VMART,2025-12-31,710.35,720.0,705.0,715.3,285143
VMART,2026-01-01,715.95,716.0,693.05,697.85,141044
VMART,2026-01-02,697.85,709.0,689.45,703.2,217249
VMART,2026-01-05,715.0,741.8,699.95,735.8,412931
VMART,2026-01-06,741.15,741.15,678.0,695.45,575538
VMART,2026-01-07,694.0,699.25,679.6,683.15,133803
VMART,2026-01-08,686.1,689.0,666.0,670.65,102601
VMART,2026-01-09,674.2,674.2,643.05,649.6,87720
VMART,2026-01-12,650.0,650.05,622.8,624.45,112190
VMART,2026-01-13,624.2,630.95,610.65,617.75,235640
VMART,2026-01-14,619.0,619.25,608.05,613.95,181321
VMART,2026-01-15,613.95,613.95,613.95,613.95,0
VMART,2026-01-16,621.0,623.7,602.5,609.6,67905
VMART,2026-01-19,609.6,609.65,600.0,601.25,46192
VMART,2026-01-20,600.5,603.5,590.0,598.2,113493
VMART,2026-01-21,590.0,595.45,561.2,574.15,124948
VMART,2026-01-22,574.15,598.0,550.5,577.75,1129373
VMART,2026-01-23,588.0,615.0,568.1,573.8,452035
VMART,2026-01-27,574.1,580.0,558.1,571.65,301922
VMART,2026-01-28,575.0,610.0,575.0,607.5,148225
VMART,2026-01-29,610.0,612.9,596.25,609.55,153543
VMART,2026-01-30,612.15,639.25,607.85,632.25,199083
VMART,2026-02-02,609.95,609.95,588.0,598.75,65299
VMART,2026-02-03,608.8,635.4,603.75,622.85,128075
VMART,2026-02-04,622.85,622.85,607.7,609.95,61360
VMART,2026-02-05,613.2,613.2,595.0,597.8,55284
VMART,2026-02-06,595.65,600.5,584.05,589.55,141664
VMART,2026-02-09,591.45,634.95,591.45,632.05,127842
VMART,2026-02-10,630.0,660.0,626.3,656.55,158080
VMART,2026-02-11,659.95,661.05,633.7,645.9,78695
VMART,2026-02-12,645.9,645.9,628.2,634.6,65655
VMART,2026-02-13,629.0,629.0,607.05,616.85,235340
VMART,2026-02-16,616.05,616.4,604.95,608.4,120006
VMART,2026-02-17,608.4,625.0,604.85,612.9,115727
VMART,2026-02-18,616.95,616.95,599.0,603.25,140565
VMART,2026-02-19,603.25,606.1,578.0,584.45,136623
VMART,2026-02-20,580.85,580.95,570.05,573.9,95633
VMART,2026-02-23,580.55,582.8,569.95,573.9,90498
VMART,2026-02-24,573.9,579.85,563.6,569.05,130652
VMART,2026-02-25,573.05,580.4,566.25,571.1,68207
VMART,2026-02-26,571.0,579.9,570.5,575.0,45225
VMART,2026-02-27,577.95,577.95,550.05,553.8,121656
VMART,2026-03-02,541.4,559.45,534.05,554.1,64034
VMART,2026-03-04,553.9,553.9,527.05,537.8,96066
VMART,2026-03-05,535.0,536.9,517.1,526.0,219033
VMART,2026-03-06,530.15,563.55,513.15,516.95,196110
VMART,2026-03-09,515.0,515.0,497.3,510.75,62293
VMART,2026-03-10,518.4,526.35,506.15,519.65,123750
VMART,2026-03-11,525.0,545.0,520.15,535.95,142295
VMART,2026-03-12,536.0,536.0,517.65,526.85,128629
VMART,2026-03-13,529.0,532.05,518.1,520.35,146185
VMART,2026-03-16,520.0,524.55,501.25,520.65,101785
VMART,2026-03-17,526.95,526.95,505.45,510.15,70905
VMART,2026-03-18,511.0,532.35,507.3,527.2,38078
VMART,2026-03-19,522.4,522.4,502.0,509.1,97717
VMART,2026-03-20,511.8,521.65,506.0,510.2,121990
VMART,2026-03-23,510.2,510.2,493.3,499.2,112400
VMART,2026-03-24,505.6,514.55,491.75,497.7,92842
VMART,2026-03-25,503.0,514.95,494.9,504.95,201739
VMART,2026-03-27,502.85,506.4,488.75,492.6,115090
VMART,2026-03-30,496.0,496.0,457.9,477.2,151346
VMART,2026-04-01,475.05,502.8,475.05,483.2,132535
VMART,2026-04-02,505.0,568.6,500.0,544.9,18304855
VMART,2026-04-06,539.7,638.1,532.35,612.45,45275280
VMART,2026-04-07,616.7,651.6,606.15,626.95,27847489
VMART,2026-04-08,645.0,650.0,602.6,621.15,6597709
VMART,2026-04-09,623.45,635.0,605.3,628.75,2501970
VMART,2026-04-10,630.0,630.1,617.7,622.1,672788
VMART,2026-04-13,609.1,616.8,600.0,612.8,451503
VMART,2026-04-15,624.0,626.0,606.5,613.5,326133
VMART,2026-04-16,616.0,617.45,596.0,611.15,604159
VMART,2026-04-17,615.9,624.95,604.9,614.25,302932
VMART,2026-04-20,617.0,655.1,608.6,640.0,2238707
VMART,2026-04-21,645.1,656.5,625.75,645.3,1056028
VMART,2026-04-22,643.0,661.0,636.05,645.85,650758
VMART,2026-04-23,649.1,658.8,625.0,627.75,330229
VMART,2026-04-24,631.4,639.0,612.45,617.35,224766
VMART,2026-04-27,621.0,642.0,617.5,637.7,322523
VMART,2026-04-28,633.0,636.7,626.0,629.25,180726
VMART,2026-04-29,632.35,658.45,631.5,637.65,472767
VMART,2026-04-30,637.5,639.0,611.2,616.45,363852
VMART,2026-05-04,620.25,639.3,620.25,635.7,262056
VMART,2026-05-05,635.7,635.7,613.0,623.75,380836
VMART,2026-05-06,626.9,655.0,626.0,650.5,377528
VMART,2026-05-07,653.3,674.45,646.35,665.6,709737
VMART,2026-05-08,670.0,689.9,643.05,677.8,1723813
VMART,2026-05-11,670.0,670.0,638.0,656.4,630615
VMART,2026-05-12,656.4,656.4,636.2,641.8,297952
VMART,2026-05-13,647.0,656.3,633.85,650.55,277327
VMART,2026-05-14,659.95,663.0,644.55,651.0,311645
VMART,2026-05-15,647.35,652.85,638.55,641.2,109096
VMART,2026-05-18,636.0,645.95,617.15,639.25,163342
VMART,2026-05-19,638.95,650.75,634.0,637.15,114233
VMART,2026-05-20,618.0,636.15,612.0,633.65,134168
VMART,2026-05-21,636.0,645.95,631.0,636.7,81827
VMART,2026-05-22,636.75,644.6,629.85,641.25,153947
VMART,2026-05-25,642.95,662.0,642.95,658.8,157282
VMART,2026-05-26,663.0,670.0,654.25,664.15,222719
VMART,2026-05-27,667.1,670.1,655.1,664.75,99818
VMART,2026-05-28,664.75,664.75,664.75,664.75,0
VMART,2026-05-29,666.05,681.1,658.55,666.75,191939
VMART,2026-06-01,676.0,695.0,666.8,679.85,373505
VMART,2026-06-02,672.05,694.0,667.15,690.25,214275
VMART,2026-06-03,693.75,693.85,680.1,684.95,288991
VMART,2026-06-04,683.9,689.05,666.5,672.35,168538
VMART,2026-06-05,672.95,683.45,662.25,665.55,96278
VMART,2026-06-08,663.95,665.85,641.05,652.9,156022
VMART,2026-06-09,655.0,697.0,655.0,690.95,181978
VMART,2026-06-10,690.95,708.65,682.1,690.85,222765
VMART,2026-06-11,690.0,704.0,675.3,697.8,103363
VMART,2026-06-12,705.9,720.8,696.8,719.75,138280
VMART,2026-06-15,724.95,753.0,723.15,731.95,233103
VMART,2026-06-16,733.7,734.0,709.0,731.9,250395
VMART,2026-06-17,731.95,770.3,728.2,763.95,610230
VMART,2026-06-18,767.0,797.0,761.25,789.2,374651
VMART,2026-06-19,789.2,803.0,773.05,797.8,168516
VMART,2026-06-22,804.85,804.85,767.05,778.55,221999
VMART,2026-06-23,773.7,780.75,760.2,766.2,125249
VMART,2026-06-24,767.0,793.0,761.0,778.05,159076
VMART,2026-06-25,778.1,782.15,750.95,762.1,96632
VMART,2026-06-26,762.1,762.1,762.1,762.1,0
VMART,2026-06-29,752.0,772.0,752.0,755.4,123734
VMART,2026-06-30,762.9,784.2,762.0,779.05,130122
VMART,2026-07-01,771.0,801.9,770.95,796.55,256732
VMART,2026-07-02,804.95,824.45,782.8,790.05,503626
VMART,2026-07-03,793.2,800.8,792.1,797.9,79705
VMART,2026-07-06,804.9,804.9,787.6,799.35,97857
VMART,2026-07-07,799.35,799.35,775.85,782.4,81927
VMART,2026-07-08,776.0,802.0,767.35,784.95,174151
VMART,2026-07-09,781.55,791.7,777.0,779.6,93665
VMART,2026-07-10,778.45,792.45,772.8,777.85,82404
VMART,2026-07-13,778.0,780.0,765.0,767.9,35828
VMART,2026-07-14,765.0,767.65,742.05,749.9,191957
VMART,2026-07-15,754.0,763.7,741.5,747.7,67566
VMART,2026-07-16,748.0,758.0,742.55,748.0,61103
VMART,2026-07-17,748.0,753.95,733.8,746.2,79114
VMART,2026-07-20,743.1,798.0,737.4,785.1,185874
VMART,2026-07-21,781.2,782.5,771.6,774.2,110176
VMART,2026-07-22,774.25,778.85,765.1,768.85,42239
VMART,2026-07-23,765.1,770.0,752.1,759.7,53932
VMART,2026-07-24,758.0,792.3,715.0,724.65,1110278
