symbol,date,open,high,low,close,volume
VR,2024-03-12,90.0,91.0,85.5,87.4,1585600
VR,2024-03-13,89.0,90.0,89.0,89.15,339200
VR,2024-03-14,84.75,86.1,84.7,84.75,140800
VR,2024-03-18,88.95,92.0,88.95,90.4,46400
VR,2024-03-19,92.7,94.0,92.4,92.7,41600
VR,2024-03-20,94.35,95.5,93.1,95.0,48000
VR,2024-03-21,93.7,99.75,93.7,98.15,65600
VR,2024-03-22,99.7,103.05,99.7,103.0,49600
VR,2024-03-26,108.15,108.15,108.15,108.15,12800
VR,2024-03-27,118.1,129.75,112.0,129.75,116800
VR,2024-03-28,137.0,155.7,137.0,143.65,121600
VR,2024-04-01,144.0,144.0,114.95,114.95,144000
VR,2024-04-02,107.5,117.95,102.0,116.75,112000
VR,2024-04-03,115.0,117.9,115.0,117.0,6400
VR,2024-04-04,116.2,116.2,107.0,109.25,40000
VR,2024-04-05,112.0,116.35,107.5,110.0,19200
VR,2024-04-08,110.0,112.95,110.0,111.0,8000
VR,2024-04-09,110.1,113.05,106.9,108.6,36800
VR,2024-04-10,110.0,111.0,106.05,110.45,22400
VR,2024-04-12,110.4,110.4,106.5,106.6,4800
VR,2024-04-15,106.0,106.7,100.0,100.95,51200
VR,2024-04-16,100.0,105.7,100.0,102.0,33600
VR,2024-04-18,104.0,106.25,103.0,104.9,30400
VR,2024-04-19,109.0,112.0,109.0,111.3,22400
VR,2024-04-22,117.6,121.0,116.95,117.85,17600
VR,2024-04-23,123.0,141.4,123.0,140.7,115200
VR,2024-04-24,137.75,139.0,130.0,131.55,30400
VR,2024-04-25,139.0,142.75,135.0,135.0,41600
VR,2024-04-26,135.0,141.0,135.0,141.0,25600
VR,2024-04-29,141.0,141.0,136.55,138.8,8000
VR,2024-04-30,140.55,141.4,138.0,138.1,22400
VR,2024-05-02,138.5,140.0,138.0,140.0,9600
VR,2024-05-03,138.0,138.9,137.5,138.0,9600
VR,2024-05-06,139.0,146.0,139.0,144.6,27200
VR,2024-05-07,140.0,140.0,138.45,140.0,6400
VR,2024-05-08,136.05,137.1,136.05,137.1,3200
VR,2024-05-09,139.85,139.85,137.0,139.85,11200
VR,2024-05-10,137.65,137.65,137.65,137.65,1600
VR,2024-05-13,137.65,137.65,137.0,137.0,11200
VR,2024-05-14,139.8,139.8,132.8,133.0,8000
VR,2024-05-15,133.75,133.75,133.75,133.75,1600
VR,2024-05-16,139.95,139.95,134.05,138.4,8000
VR,2024-05-17,138.0,138.0,137.0,137.0,11200
VR,2024-05-21,139.0,139.0,138.0,138.3,12800
VR,2024-05-22,138.5,139.0,138.5,138.6,4800
VR,2024-05-23,138.0,141.0,138.0,139.0,9600
VR,2024-05-24,141.0,141.55,139.75,139.75,4800
VR,2024-05-27,139.7,142.0,139.7,142.0,4800
VR,2024-05-28,140.0,140.0,140.0,140.0,3200
