symbol,date,open,high,low,close,volume
VSSL,2012-05-17,14.5666,14.5666,13.8382,13.8382,5233
VSSL,2012-05-18,13.1463,13.1463,13.1463,13.1463,686
VSSL,2012-05-21,12.4908,12.4908,12.4908,12.4908,8279
VSSL,2012-05-22,11.8718,11.8718,11.8718,11.8718,829
VSSL,2012-05-23,11.2891,12.4362,11.2891,11.2891,1994322
VSSL,2012-05-24,11.3073,11.8535,11.3073,11.5804,341477
VSSL,2012-05-25,11.6168,11.6533,11.0888,11.1252,381185
VSSL,2012-05-28,11.5622,11.6715,11.2709,11.6715,192893
VSSL,2012-05-29,12.2541,12.2541,12.2541,12.2541,587
VSSL,2012-05-30,12.4544,12.855,12.0903,12.8004,148617
VSSL,2012-05-31,12.9642,13.4377,12.5637,12.8368,226348
VSSL,2012-06-01,12.9278,14.3845,12.9278,13.3102,59129
VSSL,2012-06-04,12.6001,13.3648,12.6001,13.1281,17264
VSSL,2012-06-05,13.0371,13.1463,13.0371,13.1281,3210
VSSL,2012-06-06,13.1281,13.6197,13.1281,13.3466,5648
VSSL,2012-06-07,13.82,13.8382,13.201,13.6015,14279
VSSL,2012-06-08,13.1099,14.1296,13.1099,13.8382,7427
VSSL,2012-06-11,13.8382,14.7486,13.8018,14.1114,15320
VSSL,2012-06-12,13.5651,14.1114,13.5651,14.0567,3976
VSSL,2012-06-13,13.5833,14.1842,13.2192,13.7108,69715
VSSL,2012-06-14,13.4741,14.1114,13.3102,13.7108,18280
VSSL,2012-06-15,13.5651,14.166,13.3648,14.0203,15127
VSSL,2012-06-18,13.9293,13.9293,13.5287,13.8929,25477
VSSL,2012-06-19,13.1463,13.9293,13.1099,13.8564,17019
VSSL,2012-06-20,13.7472,13.7472,13.6379,13.6562,274
VSSL,2012-06-21,13.4923,14.1478,13.1099,14.0385,172817
VSSL,2012-06-22,13.383,14.5666,13.383,14.1114,58322
VSSL,2012-06-25,13.4741,14.5666,13.4741,14.5302,10868
VSSL,2012-06-26,14.7486,14.9125,14.2934,14.5119,33056
VSSL,2012-06-27,14.5666,15.2221,14.4209,14.5484,5450
VSSL,2012-06-28,14.0203,14.5666,14.0203,14.3117,25892
VSSL,2012-06-29,14.2024,16.3874,13.9657,14.1114,270235
VSSL,2012-07-02,14.9125,14.9125,13.4923,13.7108,156044
VSSL,2012-07-03,13.82,14.0203,13.5651,13.7654,10684
VSSL,2012-07-04,13.8382,13.8382,13.1827,13.2556,39729
VSSL,2012-07-05,14.5302,14.5302,13.3102,13.7836,3943
VSSL,2012-07-06,13.4559,14.0021,13.4559,13.8382,11225
VSSL,2012-07-09,13.8382,13.8382,13.6744,13.82,67650
VSSL,2012-07-10,13.1827,13.8382,13.1827,13.8382,20183
VSSL,2012-07-11,13.9293,14.2024,13.4194,13.7836,90882
VSSL,2012-07-12,13.8382,14.2024,13.6744,13.82,1043
VSSL,2012-07-13,13.4923,14.166,13.4923,14.0567,3858
VSSL,2012-07-16,14.1478,14.1478,13.2374,13.8564,9039
VSSL,2012-07-17,13.6562,13.8382,13.3284,13.3466,64794
VSSL,2012-07-18,13.3466,13.6562,12.9642,13.0189,43348
VSSL,2012-07-19,13.8018,13.8018,13.201,13.2738,2229
VSSL,2012-07-20,13.5469,13.5469,13.292,13.4741,3297
VSSL,2012-07-23,13.2738,13.6197,13.1463,13.6197,10701
VSSL,2012-07-24,13.3102,13.3102,12.8004,12.8914,9229
VSSL,2012-07-25,12.4726,13.383,12.4726,12.6547,17448
VSSL,2012-07-26,12.4726,13.2738,12.2359,12.2359,22726
VSSL,2012-07-27,11.5622,13.8382,11.5622,12.3998,46956
VSSL,2012-07-30,11.4712,12.0903,11.4712,12.0903,24041
VSSL,2012-07-31,12.0174,12.0356,11.6897,12.0174,34901
VSSL,2012-08-01,12.0174,12.7093,11.981,12.0174,19219
VSSL,2012-08-02,12.0174,12.0174,11.4712,11.9992,4975
VSSL,2012-08-03,11.8718,11.8718,11.6715,11.6715,832
VSSL,2012-08-06,11.7807,11.7807,11.5258,11.5258,24244
VSSL,2012-08-07,11.5986,12.0174,11.5986,11.6715,14976
VSSL,2012-08-08,11.7625,11.7625,11.6533,11.6533,4920
VSSL,2012-08-09,11.6168,11.6533,11.3437,11.3437,3168
VSSL,2012-08-10,10.9249,12.3816,10.9249,11.4712,22561
VSSL,2012-08-13,11.2891,11.7807,11.1434,11.2709,28613
VSSL,2012-08-14,11.7443,11.7443,11.1252,11.1616,17568
VSSL,2012-08-16,11.1434,11.4712,11.107,11.453,123441
VSSL,2012-08-17,11.2527,11.5258,11.2527,11.3255,5170
VSSL,2012-08-21,11.3073,11.3619,11.2527,11.2891,9416
VSSL,2012-08-22,11.3255,11.3437,11.3073,11.3437,6192
VSSL,2012-08-23,11.3619,11.7807,11.3619,11.6897,11467
VSSL,2012-08-24,11.3619,11.635,11.3255,11.4712,9402
VSSL,2012-08-27,12.4362,12.5637,11.4165,11.4712,4151
VSSL,2012-08-28,11.3073,11.6533,11.2891,11.2891,11497
VSSL,2012-08-29,11.1434,11.544,10.9978,11.2345,2213
VSSL,2012-08-30,10.9978,11.6533,10.9978,11.4894,6944
VSSL,2012-08-31,11.6533,11.6533,11.2891,11.3255,2281
VSSL,2012-09-03,11.7625,11.7625,11.1798,11.6533,436
VSSL,2012-09-04,11.6533,11.6533,11.0342,11.3801,8658
VSSL,2012-09-05,11.3255,11.3255,11.107,11.107,4064
VSSL,2012-09-06,10.9613,11.3801,10.9249,11.3801,1658
