symbol,date,open,high,low,close,volume
VSTL,2025-07-23,175.0,175.74,173.0,174.15,11780
VSTL,2025-07-24,172.71,174.17,172.0,172.89,14160
VSTL,2025-07-25,175.0,175.0,165.79,166.78,23198
VSTL,2025-07-28,166.78,169.72,156.2,159.11,44986
VSTL,2025-07-29,159.7,163.78,158.11,162.09,15614
VSTL,2025-07-30,164.03,165.18,160.15,160.73,11161
VSTL,2025-07-31,159.0,166.0,155.0,162.54,16473
VSTL,2025-08-01,162.55,164.04,158.01,158.61,19672
VSTL,2025-08-04,158.61,161.29,155.0,156.94,17043
VSTL,2025-08-05,157.21,163.89,156.99,160.31,15081
VSTL,2025-08-06,158.59,161.77,153.01,156.59,14563
VSTL,2025-08-07,158.9,161.0,154.25,156.28,15228
VSTL,2025-08-08,156.35,158.85,155.56,156.45,10317
VSTL,2025-08-11,159.5,159.5,155.7,156.69,6958
VSTL,2025-08-12,156.45,161.6,154.0,156.79,7844
VSTL,2025-08-13,153.66,156.79,153.66,155.18,7332
VSTL,2025-08-14,155.47,155.5,151.0,151.49,8006
VSTL,2025-08-18,154.0,155.45,151.41,153.83,10192
VSTL,2025-08-19,154.15,158.0,154.0,157.08,7262
VSTL,2025-08-20,158.22,159.91,156.58,157.02,6717
VSTL,2025-08-21,157.05,160.68,156.25,157.26,16477
VSTL,2025-08-22,157.43,157.67,153.6,154.38,9981
VSTL,2025-08-25,154.64,159.0,154.55,156.04,20094
VSTL,2025-08-26,156.04,187.24,155.98,164.25,808426
VSTL,2025-08-28,162.11,162.99,157.05,158.22,37856
VSTL,2025-08-29,156.45,159.93,154.62,156.15,37547
VSTL,2025-09-01,156.25,163.97,156.25,161.14,45988
VSTL,2025-09-02,161.18,162.19,158.0,158.81,21827
VSTL,2025-09-03,160.0,165.13,160.0,162.41,38166
VSTL,2025-09-04,164.9,164.9,160.02,161.16,19191
VSTL,2025-09-05,160.15,164.49,159.08,160.9,24740
VSTL,2025-09-08,168.0,168.0,160.21,161.87,45503
VSTL,2025-09-09,164.69,164.69,159.03,159.7,12377
VSTL,2025-09-10,162.5,164.0,160.0,160.81,19013
VSTL,2025-09-11,162.5,163.8,159.2,160.31,21688
VSTL,2025-09-12,161.5,163.0,158.0,159.95,27697
VSTL,2025-09-15,159.95,162.39,159.62,160.33,18630
VSTL,2025-09-16,162.89,163.8,160.0,162.99,17435
VSTL,2025-09-17,161.65,163.38,159.1,161.23,17672
VSTL,2025-09-18,163.79,163.79,160.0,160.98,16347
VSTL,2025-09-19,160.99,164.0,160.01,162.63,22516
VSTL,2025-09-22,163.7,164.58,160.26,161.04,20444
VSTL,2025-09-23,161.99,163.79,161.14,161.94,11346
VSTL,2025-09-24,162.9,162.9,158.0,159.24,10530
VSTL,2025-09-25,159.24,161.2,156.01,157.07,17306
VSTL,2025-09-26,157.84,157.84,155.0,155.29,15521
VSTL,2025-09-29,158.4,158.4,154.7,156.17,9940
VSTL,2025-09-30,157.99,157.99,153.23,154.89,10559
VSTL,2025-10-01,154.89,156.25,149.41,153.34,39460
VSTL,2025-10-03,152.65,158.25,152.65,156.72,12155
VSTL,2025-10-06,156.73,158.8,152.5,152.94,14339
VSTL,2025-10-07,152.94,154.7,148.24,148.94,21766
VSTL,2025-10-08,149.24,152.0,149.24,150.31,14273
VSTL,2025-10-09,149.25,150.78,148.43,149.1,13928
VSTL,2025-10-10,149.8,151.75,149.76,151.19,5439
VSTL,2025-10-13,151.0,151.41,148.11,149.19,11000
VSTL,2025-10-14,149.19,151.4,148.0,149.76,12826
VSTL,2025-10-15,150.21,151.49,146.0,148.36,18003
VSTL,2025-10-16,150.5,151.8,148.1,149.52,10865
VSTL,2025-10-17,149.52,150.69,145.16,146.89,8257
VSTL,2025-10-20,149.79,149.79,142.06,146.38,14887
VSTL,2025-10-21,145.15,151.69,145.15,148.18,4006
VSTL,2025-10-23,147.35,151.01,146.21,146.96,12383
VSTL,2025-10-24,146.65,153.0,146.5,147.23,23148
VSTL,2025-10-27,149.7,149.7,142.01,144.72,23467
