symbol,date,open,high,low,close,volume
WAAREEINDO,2021-07-26,310.0,310.0,285.0,285.0,2421
WAAREEINDO,2021-07-27,275.0,295.0,275.0,290.0,1572
WAAREEINDO,2021-07-28,290.0,300.0,280.0,290.0,1715
WAAREEINDO,2021-07-29,280.0,300.0,280.0,300.0,2588
WAAREEINDO,2021-07-30,310.0,310.0,285.0,295.0,1160
WAAREEINDO,2021-08-02,295.0,305.0,290.0,300.0,1883
WAAREEINDO,2021-08-03,300.0,300.0,285.0,290.0,2233
WAAREEINDO,2021-08-04,280.0,295.0,280.0,280.0,1848
WAAREEINDO,2021-08-05,280.0,280.0,270.0,270.0,1045
WAAREEINDO,2021-08-06,270.0,280.0,260.0,270.0,2354
WAAREEINDO,2021-08-09,280.0,280.0,265.0,270.0,913
WAAREEINDO,2021-08-10,275.0,275.0,260.0,265.0,2147
WAAREEINDO,2021-08-11,255.0,270.0,255.0,255.0,1036
WAAREEINDO,2021-08-12,260.0,260.0,245.0,255.0,1387
WAAREEINDO,2021-08-13,260.0,265.0,245.0,265.0,1264
WAAREEINDO,2021-08-16,275.0,275.0,265.0,275.0,1019
WAAREEINDO,2021-08-17,285.0,285.0,275.0,275.0,1869
WAAREEINDO,2021-08-18,275.0,275.0,265.0,265.0,884
WAAREEINDO,2021-08-20,255.0,255.0,255.0,255.0,1231
WAAREEINDO,2021-08-23,250.0,250.0,245.0,245.0,755
WAAREEINDO,2021-08-24,240.0,240.0,235.0,235.0,599
WAAREEINDO,2021-08-25,225.0,245.0,225.0,245.0,1122
WAAREEINDO,2021-08-26,250.0,250.0,235.0,245.0,1530
WAAREEINDO,2021-08-27,255.0,255.0,235.0,245.0,850
WAAREEINDO,2021-08-30,250.0,250.0,235.0,245.0,791
WAAREEINDO,2021-08-31,250.0,250.0,235.0,235.0,1491
WAAREEINDO,2021-09-01,240.0,240.0,225.0,230.0,2227
WAAREEINDO,2021-09-02,225.0,240.0,225.0,235.0,1094
WAAREEINDO,2021-09-03,240.0,240.0,225.0,240.0,537
WAAREEINDO,2021-09-06,240.0,240.0,230.0,230.0,1678
WAAREEINDO,2021-09-07,235.0,235.0,225.0,225.0,453
WAAREEINDO,2021-09-08,230.0,235.0,225.0,225.0,1324
WAAREEINDO,2021-09-09,235.0,235.0,230.0,235.0,571
WAAREEINDO,2021-09-13,245.0,245.0,235.0,245.0,809
WAAREEINDO,2021-09-14,255.0,255.0,245.0,255.0,916
WAAREEINDO,2021-09-15,265.0,265.0,260.0,265.0,474
WAAREEINDO,2021-09-16,275.0,275.0,275.0,275.0,935
WAAREEINDO,2021-09-17,285.0,285.0,265.0,265.0,1441
WAAREEINDO,2021-09-20,265.0,265.0,255.0,255.0,814
WAAREEINDO,2021-09-21,260.0,260.0,245.0,250.0,658
WAAREEINDO,2021-09-22,250.0,255.0,245.0,250.0,1233
WAAREEINDO,2021-09-23,260.0,260.0,240.0,250.0,1509
WAAREEINDO,2021-09-24,255.0,260.0,245.0,250.0,1456
WAAREEINDO,2021-09-27,255.0,255.0,240.0,240.0,1066
WAAREEINDO,2021-09-28,245.0,250.0,235.0,235.0,726
WAAREEINDO,2021-09-29,240.0,245.0,225.0,245.0,1359
WAAREEINDO,2021-09-30,250.0,250.0,235.0,240.0,1172
WAAREEINDO,2021-10-01,230.0,250.0,230.0,240.0,2413
WAAREEINDO,2021-10-04,245.0,250.0,230.0,235.0,2384
WAAREEINDO,2021-10-05,230.0,245.0,230.0,245.0,1679
WAAREEINDO,2021-10-06,250.0,255.0,240.0,245.0,3489
WAAREEINDO,2021-10-07,255.0,255.0,245.0,250.0,1379
WAAREEINDO,2021-10-08,260.0,260.0,245.0,255.0,2196
WAAREEINDO,2021-10-11,265.0,265.0,260.0,265.0,1810
WAAREEINDO,2021-10-12,275.0,275.0,275.0,275.0,434
WAAREEINDO,2021-10-13,285.0,285.0,285.0,285.0,421
WAAREEINDO,2021-10-14,295.0,295.0,295.0,295.0,1352
WAAREEINDO,2021-10-18,305.0,305.0,305.0,305.0,880
WAAREEINDO,2021-10-19,320.0,320.0,320.0,320.0,2239
WAAREEINDO,2021-10-20,335.0,335.0,305.0,310.0,9677
WAAREEINDO,2021-10-21,320.0,325.0,295.0,320.0,5006
WAAREEINDO,2021-10-22,330.0,335.0,315.0,335.0,2127
WAAREEINDO,2021-10-25,350.0,350.0,320.0,350.0,3953
WAAREEINDO,2021-10-26,365.0,365.0,365.0,365.0,1529
WAAREEINDO,2021-10-27,380.0,380.0,380.0,380.0,2043
WAAREEINDO,2021-10-28,395.0,395.0,390.0,395.0,3028
WAAREEINDO,2021-10-29,410.0,410.0,380.0,380.0,5891
WAAREEINDO,2021-11-01,375.0,375.0,365.0,365.0,967
WAAREEINDO,2021-11-02,350.0,350.0,350.0,350.0,1111
WAAREEINDO,2021-11-03,335.0,335.0,335.0,335.0,1920
WAAREEINDO,2021-11-04,340.0,350.0,320.0,345.0,2020
WAAREEINDO,2021-11-08,360.0,360.0,350.0,360.0,1857
WAAREEINDO,2021-11-09,375.0,375.0,375.0,375.0,3952
WAAREEINDO,2021-11-10,390.0,390.0,380.0,390.0,4013
WAAREEINDO,2021-11-11,405.0,405.0,375.0,375.0,7059
WAAREEINDO,2021-11-12,360.0,360.0,360.0,360.0,2494
WAAREEINDO,2021-11-15,360.0,375.0,360.0,375.0,5850
WAAREEINDO,2021-11-16,390.0,390.0,360.0,380.0,4293
WAAREEINDO,2021-11-17,395.0,395.0,375.0,390.0,3751
WAAREEINDO,2021-11-18,405.0,405.0,375.0,380.0,4173
WAAREEINDO,2021-11-22,395.0,395.0,365.0,365.0,4101
WAAREEINDO,2021-11-23,365.0,380.0,350.0,380.0,3610
WAAREEINDO,2021-11-24,395.0,395.0,380.0,395.0,4604
WAAREEINDO,2021-11-25,395.0,395.0,380.0,385.0,5253
WAAREEINDO,2021-11-26,400.0,400.0,370.0,370.0,3398
WAAREEINDO,2021-11-29,370.0,375.0,355.0,355.0,2365
WAAREEINDO,2021-11-30,355.0,355.0,340.0,340.0,3293
WAAREEINDO,2021-12-01,330.0,340.0,325.0,325.0,1708
WAAREEINDO,2021-12-02,310.0,310.0,310.0,310.0,1593
WAAREEINDO,2021-12-03,300.0,325.0,295.0,325.0,6123
WAAREEINDO,2021-12-06,340.0,340.0,335.0,340.0,6323
WAAREEINDO,2021-12-07,355.0,355.0,340.0,355.0,6779
WAAREEINDO,2021-12-08,370.0,370.0,355.0,370.0,6062
WAAREEINDO,2021-12-09,385.0,385.0,380.0,385.0,2868
WAAREEINDO,2021-12-10,400.0,400.0,385.0,400.0,4913
WAAREEINDO,2021-12-13,420.0,420.0,420.0,420.0,1575
WAAREEINDO,2021-12-14,440.0,440.0,440.0,440.0,3606
