symbol,date,open,high,low,close,volume
WELENT,2004-11-04,44.0,45.5,36.05,38.25,1593499
WELENT,2004-11-05,39.2,39.2,35.5,36.0,335266
WELENT,2004-11-08,36.35,42.15,34.55,40.65,1904424
WELENT,2004-11-09,41.0,41.15,38.4,38.9,450355
WELENT,2004-11-10,39.0,41.15,38.15,39.35,559339
WELENT,2004-11-11,40.0,40.9,39.3,39.85,319009
WELENT,2004-11-12,40.5,40.5,39.65,39.95,77053
WELENT,2004-11-15,39.95,39.95,39.95,39.95,0
WELENT,2004-11-16,40.5,43.15,39.5,42.75,1015157
WELENT,2004-11-17,41.5,43.4,40.65,40.95,472456
WELENT,2004-11-18,41.4,42.3,40.3,40.55,278859
WELENT,2004-11-19,41.3,41.6,39.0,39.15,374830
WELENT,2004-11-22,39.4,39.8,38.6,39.15,141379
WELENT,2004-11-23,39.85,41.5,39.45,39.9,299141
WELENT,2004-11-24,40.0,41.0,39.35,39.6,212353
WELENT,2004-11-25,39.9,40.35,38.8,39.15,155181
WELENT,2004-11-26,39.15,39.15,39.15,39.15,0
WELENT,2004-11-29,39.1,39.9,38.6,38.75,62988
WELENT,2004-11-30,39.9,39.9,36.75,37.15,134228
WELENT,2004-12-01,37.8,37.8,36.55,36.9,63531
WELENT,2004-12-02,37.7,39.8,36.75,38.1,189386
WELENT,2004-12-03,38.55,38.6,37.0,37.2,62432
WELENT,2004-12-06,37.8,38.55,37.5,37.6,58472
WELENT,2004-12-07,37.5,38.25,37.15,37.35,51133
WELENT,2004-12-08,37.5,38.05,36.7,36.9,40919
WELENT,2004-12-09,36.75,39.9,36.75,38.65,305987
WELENT,2004-12-10,38.25,39.35,37.55,38.1,128188
WELENT,2004-12-13,38.05,42.0,38.05,41.05,741060
WELENT,2004-12-14,41.8,44.5,41.7,44.0,1240051
WELENT,2004-12-15,45.0,45.8,42.75,43.35,1075495
WELENT,2004-12-16,44.0,44.2,42.2,42.6,320132
WELENT,2004-12-17,42.9,43.2,40.45,40.75,254252
WELENT,2004-12-20,41.3,43.9,41.0,41.25,256509
WELENT,2004-12-21,41.8,41.9,41.1,41.3,160497
WELENT,2004-12-22,41.75,41.75,39.2,39.6,150938
WELENT,2004-12-23,39.7,41.95,39.7,40.95,219557
WELENT,2004-12-24,41.4,44.0,41.05,42.35,453565
WELENT,2004-12-27,43.0,44.95,42.0,43.05,577515
WELENT,2004-12-28,43.5,44.65,42.8,43.2,272293
WELENT,2004-12-29,43.7,43.7,41.0,42.15,154248
WELENT,2004-12-30,42.0,42.75,40.3,41.1,107427
WELENT,2004-12-31,41.6,42.55,40.9,41.4,108587
WELENT,2005-01-03,42.4,44.6,42.0,43.3,343685
WELENT,2005-01-04,44.0,46.85,42.75,45.95,956458
WELENT,2005-01-05,46.4,48.0,40.8,42.95,827919
WELENT,2005-01-06,43.3,44.5,41.25,42.45,236007
WELENT,2005-01-07,43.5,44.9,42.2,44.25,292387
WELENT,2005-01-10,44.5,45.75,42.7,43.2,270099
WELENT,2005-01-11,43.45,43.85,41.1,41.55,186842
WELENT,2005-01-12,42.4,43.0,37.6,38.25,196591
WELENT,2005-01-13,38.9,40.7,38.9,40.2,100561
WELENT,2005-01-14,40.9,41.4,38.75,39.05,93835
WELENT,2005-01-17,40.0,40.0,36.5,37.4,117571
WELENT,2005-01-18,38.2,39.5,38.0,38.7,124740
WELENT,2005-01-19,38.0,40.7,38.0,38.5,73724
WELENT,2005-01-20,38.6,38.6,37.3,37.6,48957
WELENT,2005-01-24,38.3,38.5,37.25,37.8,40077
WELENT,2005-01-25,37.5,38.65,37.5,38.2,42707
WELENT,2005-01-27,39.2,40.25,38.2,39.65,78935
WELENT,2005-01-28,40.0,40.0,38.6,38.8,56317
WELENT,2005-01-31,39.7,41.5,38.95,40.2,134916
WELENT,2005-02-01,40.9,40.95,39.05,39.5,56887
WELENT,2005-02-02,39.15,40.6,39.15,39.7,64049
WELENT,2005-02-03,42.5,43.0,39.3,40.0,125778
WELENT,2005-02-04,40.4,40.7,39.45,39.75,59527
WELENT,2005-02-07,40.1,40.45,38.8,39.0,86843
WELENT,2005-02-08,39.25,40.3,38.55,38.95,155509
WELENT,2005-02-09,39.4,42.6,39.05,41.85,479139
WELENT,2005-02-10,43.0,44.65,41.85,42.45,383670
WELENT,2005-02-11,43.4,43.4,41.25,41.6,127079
WELENT,2005-02-14,41.5,42.9,40.1,40.4,80539
WELENT,2005-02-15,41.3,41.3,39.0,39.15,86811
WELENT,2005-02-16,39.55,40.5,38.9,39.35,76260
WELENT,2005-02-17,39.7,41.0,39.15,39.55,125223
WELENT,2005-02-18,40.45,47.5,40.2,46.5,3039269
WELENT,2005-02-21,49.4,49.4,45.05,45.9,2978298
WELENT,2005-02-22,45.95,46.25,44.4,45.15,1052006
WELENT,2005-02-23,45.5,46.6,44.2,44.45,620234
WELENT,2005-02-24,45.15,52.7,44.75,51.7,6463266
WELENT,2005-02-25,54.05,54.05,48.0,48.35,4136643
WELENT,2005-02-28,48.5,52.4,48.4,49.6,2164378
WELENT,2005-03-01,50.2,50.2,48.05,48.35,987871
WELENT,2005-03-02,48.65,50.65,48.5,49.1,958512
WELENT,2005-03-03,49.65,53.25,49.1,52.55,2156095
WELENT,2005-03-04,52.8,55.9,52.7,53.05,2281712
WELENT,2005-03-07,53.6,56.3,53.6,54.4,2122758
WELENT,2005-03-08,54.7,56.8,53.6,55.5,1431255
WELENT,2005-03-09,55.8,56.1,51.5,52.45,903304
WELENT,2005-03-10,52.4,54.0,51.5,52.95,499164
WELENT,2005-03-11,53.4,53.6,51.05,51.55,296094
WELENT,2005-03-14,52.25,59.4,52.0,56.3,2309639
WELENT,2005-03-15,57.0,61.65,56.45,59.4,4119735
WELENT,2005-03-16,60.25,62.7,59.5,60.35,2150063
WELENT,2005-03-17,60.45,60.9,55.95,56.55,683537
WELENT,2005-03-18,57.0,57.0,53.0,55.05,780307
WELENT,2005-03-21,55.75,58.6,55.6,56.85,961376
WELENT,2005-03-22,57.25,57.4,53.0,53.55,448343
WELENT,2005-03-23,51.8,54.75,51.1,51.8,374835
WELENT,2005-03-24,52.25,53.4,50.1,50.85,390817
WELENT,2005-03-28,51.6,55.0,50.75,52.85,790990
WELENT,2005-03-29,53.4,53.7,50.8,51.35,474266
WELENT,2005-03-30,51.0,56.15,51.0,55.0,652587
WELENT,2005-03-31,56.5,58.7,56.0,57.95,899593
WELENT,2005-04-01,58.05,61.5,57.7,60.85,1358103
WELENT,2005-04-04,61.5,63.8,58.65,61.35,1964297
WELENT,2005-04-05,61.95,66.35,61.85,65.55,2439728
WELENT,2005-04-06,66.6,68.8,66.25,67.2,2257423
WELENT,2005-04-07,67.8,68.1,64.5,65.1,1082860
WELENT,2005-04-08,65.25,65.75,63.0,63.25,809010
WELENT,2005-04-11,63.8,63.8,60.3,61.4,449959
WELENT,2005-04-12,61.5,63.5,61.4,62.65,467670
WELENT,2005-04-13,63.2,64.25,61.95,62.35,510570
WELENT,2005-04-15,62.0,62.0,58.1,58.8,483239
WELENT,2005-04-18,58.05,58.45,55.85,57.15,778505
WELENT,2005-04-19,58.0,60.85,57.05,57.65,583601
WELENT,2005-04-20,57.6,60.3,57.4,59.75,851750
WELENT,2005-04-21,59.1,62.65,58.7,62.1,924871
WELENT,2005-04-22,62.9,64.25,61.35,62.7,757510
WELENT,2005-04-25,62.1,62.8,61.05,61.35,286015
WELENT,2005-04-26,61.8,63.3,58.0,61.55,465604
WELENT,2005-04-27,61.45,61.95,58.6,59.25,267167
WELENT,2005-04-28,59.6,61.35,58.7,59.75,337522
WELENT,2005-04-29,59.9,59.9,57.2,57.6,235232
WELENT,2005-05-02,58.8,58.8,57.25,58.3,232324
WELENT,2005-05-03,58.7,60.35,58.1,58.55,240403
WELENT,2005-05-04,59.15,60.35,58.25,59.95,274609
WELENT,2005-05-05,60.7,61.0,59.5,59.85,192864
WELENT,2005-05-06,60.05,63.35,58.25,62.55,772177
WELENT,2005-05-09,63.9,64.1,61.25,62.25,430064
WELENT,2005-05-10,62.5,63.2,60.8,61.3,310405
WELENT,2005-05-11,61.95,61.95,59.7,60.15,187347
WELENT,2005-05-12,60.5,61.35,60.2,60.35,117422
WELENT,2005-05-13,60.25,65.95,60.05,65.3,993220
WELENT,2005-05-16,66.5,75.95,65.8,72.55,5307304
WELENT,2005-05-17,73.0,75.6,70.6,71.3,2695084
WELENT,2005-05-18,71.8,75.4,71.0,73.25,1885681
WELENT,2005-05-19,74.25,77.8,73.9,75.45,2484239
WELENT,2005-05-20,75.8,76.9,73.25,73.75,1021266
WELENT,2005-05-23,74.4,76.45,73.55,75.4,631323
WELENT,2005-05-24,76.25,78.8,73.85,76.35,1902984
WELENT,2005-05-25,76.65,79.3,76.35,77.05,1131174
WELENT,2005-05-26,77.0,77.9,74.25,74.8,418857
WELENT,2005-05-27,75.3,76.2,71.3,72.25,437113
WELENT,2005-05-30,72.8,73.25,69.55,70.05,349626
WELENT,2005-05-31,70.3,72.95,69.8,72.2,391097
WELENT,2005-06-01,72.7,73.1,71.1,71.7,226683
WELENT,2005-06-02,72.45,73.3,71.0,71.2,295579
WELENT,2005-06-03,71.7,74.85,71.4,73.75,586896
WELENT,2005-06-06,73.1,74.7,72.25,72.6,176436
WELENT,2005-06-07,73.1,73.1,71.4,71.7,147076
WELENT,2005-06-08,71.9,73.0,70.65,71.25,198705
WELENT,2005-06-09,72.0,72.0,69.25,70.05,166447
WELENT,2005-06-10,70.85,71.4,68.25,69.1,189741
WELENT,2005-06-13,69.7,71.4,68.5,70.2,136940
WELENT,2005-06-14,70.5,73.55,69.15,71.5,370003
WELENT,2005-06-15,72.2,72.2,70.1,70.5,146264
WELENT,2005-06-16,71.2,71.2,67.0,67.3,194577
WELENT,2005-06-17,67.75,67.95,65.0,65.65,161301
WELENT,2005-06-20,66.2,66.25,62.25,62.55,109347
WELENT,2005-06-21,62.95,65.25,61.55,64.75,216613
WELENT,2005-06-22,65.5,67.4,64.1,64.75,216974
WELENT,2005-06-23,64.6,65.35,63.5,64.35,103885
WELENT,2005-06-24,64.8,68.9,63.1,67.0,369795
WELENT,2005-06-27,67.0,67.0,64.5,64.9,100900
WELENT,2005-06-28,65.25,68.65,64.6,65.8,594784
WELENT,2005-06-29,66.5,66.65,65.0,65.35,131776
WELENT,2005-06-30,65.95,66.35,64.15,64.55,73757
WELENT,2005-07-01,64.5,66.5,63.7,65.65,130441
WELENT,2005-07-04,66.4,69.75,66.0,69.1,469030
WELENT,2005-07-05,70.0,72.4,67.5,69.85,741047
WELENT,2005-07-06,70.4,70.4,67.75,68.8,193868
WELENT,2005-07-07,69.5,72.4,68.55,69.25,493463
WELENT,2005-07-08,69.05,72.0,67.5,71.05,408782
WELENT,2005-07-11,72.45,74.7,71.9,72.7,336145
WELENT,2005-07-12,72.8,73.4,70.25,71.75,258874
WELENT,2005-07-13,72.0,72.45,69.75,70.15,165978
WELENT,2005-07-14,71.0,71.3,70.0,70.25,93221
WELENT,2005-07-15,70.75,74.5,70.1,72.2,388325
WELENT,2005-07-18,74.7,75.4,72.8,73.6,534059
WELENT,2005-07-19,74.0,74.2,71.5,71.95,154637
WELENT,2005-07-20,72.5,74.5,71.35,71.85,271867
WELENT,2005-07-21,72.55,73.7,69.8,70.7,159947
WELENT,2005-07-22,70.7,71.4,69.2,69.75,150015
WELENT,2005-07-25,70.65,72.0,69.2,69.65,157929
WELENT,2005-07-26,70.2,70.7,68.5,68.8,85968
WELENT,2005-07-27,69.0,69.5,68.2,68.7,52768
WELENT,2005-07-28,68.7,68.7,68.7,68.7,0
WELENT,2005-07-29,68.9,69.3,67.5,68.25,71924
WELENT,2005-08-01,68.8,68.8,66.0,67.1,51487
WELENT,2005-08-02,66.7,70.8,66.7,69.8,142115
WELENT,2005-08-03,71.45,71.5,69.0,69.3,150932
WELENT,2005-08-04,69.6,71.0,68.6,70.0,122185
WELENT,2005-08-05,72.0,72.75,68.0,71.7,328584
WELENT,2005-08-08,72.8,74.4,70.9,71.25,384715
WELENT,2005-08-09,71.2,72.5,69.7,70.05,104265
WELENT,2005-08-10,70.5,73.45,70.5,72.2,298288
WELENT,2005-08-11,74.0,74.0,71.95,72.65,183990
WELENT,2005-08-12,73.45,82.4,73.0,79.9,2402613
WELENT,2005-08-16,83.9,85.4,81.0,83.9,1606356
WELENT,2005-08-17,84.5,86.95,82.65,83.25,779894
