symbol,date,open,high,low,close,volume
WTICAB,2024-02-19,195.0,204.75,195.0,204.75,2561000
WTICAB,2024-02-20,206.0,206.0,194.55,194.55,386000
WTICAB,2024-02-21,184.85,204.25,184.85,201.0,1506000
WTICAB,2024-02-22,204.0,204.05,191.5,201.65,468000
WTICAB,2024-02-23,203.0,211.7,196.6,211.7,865000
WTICAB,2024-02-26,222.25,222.25,215.0,222.25,659000
WTICAB,2024-02-27,233.0,233.35,223.5,233.35,491000
WTICAB,2024-02-28,244.0,245.0,237.2,245.0,443000
WTICAB,2024-02-29,239.0,240.0,232.75,232.75,85000
WTICAB,2024-03-01,230.0,244.35,230.0,244.15,459000
WTICAB,2024-03-04,238.8,238.8,215.0,221.3,316000
WTICAB,2024-03-05,218.0,221.0,189.0,196.9,692000
WTICAB,2024-03-06,195.5,203.9,184.0,198.8,357000
WTICAB,2024-03-07,205.75,210.0,201.2,204.3,109000
WTICAB,2024-03-11,207.0,211.7,190.0,190.7,150000
WTICAB,2024-03-12,193.6,193.6,174.0,175.3,244000
WTICAB,2024-03-13,179.7,180.0,155.35,161.05,232000
WTICAB,2024-03-14,160.0,181.5,160.0,175.8,100000
WTICAB,2024-03-15,176.0,184.7,168.1,173.25,96000
WTICAB,2024-03-18,174.15,191.5,173.6,183.1,98000
WTICAB,2024-03-19,185.0,187.2,174.0,175.45,46000
WTICAB,2024-03-20,175.7,182.85,175.0,176.0,75000
WTICAB,2024-03-21,182.95,182.95,170.0,176.5,73000
WTICAB,2024-03-22,177.0,193.8,174.25,180.85,143000
WTICAB,2024-03-26,178.5,201.0,178.5,190.1,542000
WTICAB,2024-03-27,192.05,194.0,187.0,189.7,574000
WTICAB,2024-03-28,191.5,193.7,185.1,187.55,113000
WTICAB,2024-04-01,191.0,212.4,191.0,204.45,215000
WTICAB,2024-04-02,209.9,218.7,200.5,203.1,170000
WTICAB,2024-04-03,203.0,212.4,203.0,208.0,169000
WTICAB,2024-04-04,207.0,212.5,200.0,203.0,69000
WTICAB,2024-04-05,204.4,210.0,200.15,207.5,70000
WTICAB,2024-04-08,207.5,211.5,194.4,200.8,270000
