symbol,date,open,high,low,close,volume
XCHANGING,2025-07-23,93.96,94.0,92.54,93.0,91914
XCHANGING,2025-07-24,93.21,94.0,90.0,91.71,185351
XCHANGING,2025-07-25,91.6,92.2,90.25,90.8,92671
XCHANGING,2025-07-28,90.7,91.3,89.5,89.8,87859
XCHANGING,2025-07-29,90.5,91.95,89.02,90.59,73747
XCHANGING,2025-07-30,90.85,91.35,89.25,89.94,51367
XCHANGING,2025-07-31,89.45,89.9,88.35,89.15,87719
XCHANGING,2025-08-01,89.15,90.0,87.0,87.52,67484
XCHANGING,2025-08-04,88.0,88.19,86.0,87.16,74145
XCHANGING,2025-08-05,87.17,88.22,86.0,86.19,72514
XCHANGING,2025-08-06,86.0,86.69,83.27,84.17,155021
XCHANGING,2025-08-07,83.72,84.99,82.27,84.1,114506
XCHANGING,2025-08-08,84.5,92.0,83.06,86.35,406679
XCHANGING,2025-08-11,86.37,86.56,84.5,85.02,61089
XCHANGING,2025-08-12,85.4,88.19,85.17,86.85,97321
XCHANGING,2025-08-13,86.94,87.27,85.3,85.69,65829
XCHANGING,2025-08-14,85.69,86.99,85.25,85.68,45159
XCHANGING,2025-08-18,87.0,87.0,85.81,86.26,36960
XCHANGING,2025-08-19,86.17,87.04,85.81,86.36,83073
XCHANGING,2025-08-20,86.06,88.8,85.81,87.79,82190
XCHANGING,2025-08-21,87.87,91.94,87.75,89.35,188332
XCHANGING,2025-08-22,89.26,89.28,87.36,87.82,63765
XCHANGING,2025-08-25,87.41,88.38,87.0,87.23,62097
XCHANGING,2025-08-26,86.55,91.0,86.55,88.89,123324
XCHANGING,2025-08-28,89.1,89.1,86.5,86.83,75328
XCHANGING,2025-08-29,86.9,87.54,85.11,85.81,49562
XCHANGING,2025-09-01,85.81,87.29,85.6,85.87,51862
XCHANGING,2025-09-02,85.8,92.75,85.8,89.67,229078
XCHANGING,2025-09-03,90.0,90.92,89.4,89.66,83789
XCHANGING,2025-09-04,90.5,90.66,89.42,89.72,56238
XCHANGING,2025-09-05,89.95,90.16,88.55,89.32,43558
XCHANGING,2025-09-08,90.2,90.3,88.0,88.19,40653
XCHANGING,2025-09-09,88.19,89.25,87.76,88.21,58502
XCHANGING,2025-09-10,87.81,89.85,87.81,88.17,88235
XCHANGING,2025-09-11,87.83,91.8,87.83,89.02,167749
XCHANGING,2025-09-12,89.49,90.5,88.1,88.61,83215
XCHANGING,2025-09-15,88.11,90.2,88.1,89.01,69353
XCHANGING,2025-09-16,89.44,90.0,89.0,89.16,39807
XCHANGING,2025-09-17,89.5,90.1,88.7,89.49,77384
XCHANGING,2025-09-18,89.59,91.65,89.37,90.16,106964
XCHANGING,2025-09-19,90.7,90.8,89.01,89.35,80286
XCHANGING,2025-09-22,88.2,89.99,86.6,87.18,122462
XCHANGING,2025-09-23,87.54,89.08,86.83,87.0,80185
XCHANGING,2025-09-24,87.4,87.48,85.9,86.1,78727
XCHANGING,2025-09-25,86.1,86.95,85.25,85.55,47248
XCHANGING,2025-09-26,85.0,85.47,83.85,84.43,72665
XCHANGING,2025-09-29,83.52,86.5,83.52,85.02,55542
XCHANGING,2025-09-30,85.8,86.28,84.35,84.53,57171
XCHANGING,2025-10-01,84.0,86.5,84.0,85.7,42234
XCHANGING,2025-10-03,85.02,87.84,85.02,86.58,72284
XCHANGING,2025-10-06,87.0,87.43,85.45,85.72,56599
XCHANGING,2025-10-07,86.0,86.1,85.0,85.32,51269
XCHANGING,2025-10-08,85.32,85.97,85.0,85.12,35192
XCHANGING,2025-10-09,85.8,86.8,84.62,85.87,74949
XCHANGING,2025-10-10,85.5,86.86,85.09,86.07,83762
XCHANGING,2025-10-13,85.0,86.0,85.0,85.4,37045
XCHANGING,2025-10-14,85.4,86.09,83.7,84.42,61372
XCHANGING,2025-10-15,84.9,86.8,84.02,85.86,76402
XCHANGING,2025-10-16,86.1,86.5,85.25,85.32,32933
XCHANGING,2025-10-17,85.05,86.05,84.86,85.04,54017
XCHANGING,2025-10-20,84.6,86.24,84.6,85.4,42620
XCHANGING,2025-10-21,85.4,86.08,85.26,85.74,14616
XCHANGING,2025-10-23,86.1,87.11,85.51,85.96,89144
XCHANGING,2025-10-24,86.0,86.5,85.4,85.82,56888
XCHANGING,2025-10-27,85.82,86.75,85.66,85.93,45774
XCHANGING,2025-10-28,85.9,86.6,85.1,86.21,58433
XCHANGING,2025-10-29,86.5,86.7,85.76,86.36,52090
XCHANGING,2025-10-30,85.55,103.0,85.55,95.46,12409003
XCHANGING,2025-10-31,94.96,99.75,94.15,95.37,2152891
XCHANGING,2025-11-03,95.49,95.75,91.6,92.43,425714
XCHANGING,2025-11-04,92.7,94.8,92.0,92.52,349719
XCHANGING,2025-11-06,92.5,93.94,89.5,89.93,241592
XCHANGING,2025-11-07,90.2,90.2,86.92,88.37,286006
XCHANGING,2025-11-10,88.77,90.48,87.06,87.53,160507
XCHANGING,2025-11-11,87.89,90.22,87.06,87.74,213895
XCHANGING,2025-11-12,88.04,89.46,87.74,88.81,106111
XCHANGING,2025-11-13,87.9,89.19,87.9,88.11,75572
XCHANGING,2025-11-14,88.0,88.53,86.36,86.97,115259
XCHANGING,2025-11-17,87.03,87.95,86.0,86.46,70377
XCHANGING,2025-11-18,86.3,88.99,86.0,87.07,162217
XCHANGING,2025-11-19,86.98,87.49,86.51,87.05,71864
XCHANGING,2025-11-20,86.9,87.5,86.0,86.51,74432
XCHANGING,2025-11-21,86.45,87.65,85.17,86.15,114952
XCHANGING,2025-11-24,86.15,86.76,85.9,86.1,55058
XCHANGING,2025-11-25,86.1,86.5,85.8,86.18,36420
XCHANGING,2025-11-26,86.18,86.84,85.83,86.09,53184
XCHANGING,2025-11-27,86.26,87.95,86.26,86.72,87069
XCHANGING,2025-11-28,86.72,87.17,85.85,86.16,52723
XCHANGING,2025-12-01,86.16,86.64,84.72,85.31,79735
XCHANGING,2025-12-02,85.31,85.43,84.02,84.54,76200
XCHANGING,2025-12-03,84.96,85.95,84.5,85.34,66214
XCHANGING,2025-12-04,85.5,85.88,84.6,84.99,52347
XCHANGING,2025-12-05,84.11,85.39,84.1,84.66,59153
XCHANGING,2025-12-08,84.9,84.9,81.0,81.92,128863
XCHANGING,2025-12-09,80.4,84.3,80.4,82.18,102236
XCHANGING,2025-12-10,82.18,83.37,81.25,81.9,67165
XCHANGING,2025-12-11,81.35,82.43,80.75,82.16,65538
XCHANGING,2025-12-12,82.9,83.3,82.0,82.16,53496
XCHANGING,2025-12-15,82.03,83.15,81.75,82.59,31880
XCHANGING,2025-12-16,82.8,82.9,81.3,81.81,51222
XCHANGING,2025-12-17,81.5,82.0,80.52,81.22,56980
XCHANGING,2025-12-18,80.9,81.16,80.13,80.68,51510
XCHANGING,2025-12-19,81.25,81.6,80.16,81.19,54999
