symbol,date,open,high,low,close,volume
YCCL,2025-07-23,12.5,12.5,12.5,12.5,3000
YCCL,2025-07-24,12.5,12.5,12.5,12.5,0
YCCL,2025-07-25,12.3,12.3,12.1,12.2,12000
YCCL,2025-07-28,12.25,12.25,12.25,12.25,3000
YCCL,2025-07-29,12.5,12.7,12.5,12.7,15000
YCCL,2025-07-30,12.7,12.7,12.7,12.7,0
YCCL,2025-07-31,12.45,12.5,12.45,12.5,6000
YCCL,2025-08-01,12.5,12.5,12.5,12.5,3000
YCCL,2025-08-04,12.5,12.5,12.5,12.5,0
YCCL,2025-08-05,12.5,12.5,12.5,12.5,3000
YCCL,2025-08-06,12.5,12.5,12.5,12.5,0
YCCL,2025-08-07,11.8,12.5,11.8,12.1,24000
YCCL,2025-08-08,12.1,12.1,12.1,12.1,6000
YCCL,2025-08-11,12.5,12.5,12.2,12.2,9000
YCCL,2025-08-12,12.5,12.5,12.45,12.45,6000
YCCL,2025-08-13,12.65,12.65,12.65,12.65,3000
YCCL,2025-08-14,12.1,12.1,11.8,12.0,75000
YCCL,2025-08-18,12.2,12.2,12.2,12.2,3000
YCCL,2025-08-19,12.0,13.4,12.0,12.3,144000
YCCL,2025-08-20,12.25,12.5,12.25,12.4,9000
YCCL,2025-08-21,12.05,12.25,12.0,12.15,66000
YCCL,2025-08-22,12.05,12.3,12.05,12.3,9000
YCCL,2025-08-25,12.05,12.2,12.05,12.15,18000
YCCL,2025-08-26,12.15,12.15,12.15,12.15,0
YCCL,2025-08-28,12.85,12.85,12.0,12.05,87000
YCCL,2025-08-29,12.25,12.3,12.25,12.3,6000
YCCL,2025-09-01,12.3,12.3,12.3,12.3,0
YCCL,2025-09-02,12.1,12.2,12.0,12.0,9000
YCCL,2025-09-03,13.2,13.2,12.35,12.5,54000
YCCL,2025-09-04,12.9,13.25,12.9,13.0,78000
YCCL,2025-09-05,13.0,13.0,12.3,12.3,9000
YCCL,2025-09-08,12.5,12.5,12.05,12.25,30000
YCCL,2025-09-09,12.15,12.15,12.15,12.15,45000
YCCL,2025-09-10,12.65,13.25,12.55,12.55,48000
YCCL,2025-09-11,12.55,12.7,12.55,12.7,6000
YCCL,2025-09-12,12.7,13.4,12.0,12.9,159000
YCCL,2025-09-15,13.0,13.0,12.25,12.85,18000
YCCL,2025-09-16,12.75,12.8,12.75,12.8,6000
YCCL,2025-09-17,12.8,12.8,12.8,12.8,3000
YCCL,2025-09-18,12.8,12.85,12.35,12.85,15000
YCCL,2025-09-19,12.6,12.6,12.6,12.6,6000
YCCL,2025-09-22,12.9,12.9,12.0,12.2,93000
YCCL,2025-09-23,12.2,12.25,12.2,12.25,6000
YCCL,2025-09-24,12.25,12.25,12.25,12.25,3000
YCCL,2025-09-25,12.25,12.25,12.25,12.25,0
YCCL,2025-09-26,11.9,12.5,11.9,12.5,18000
YCCL,2025-09-29,12.5,12.5,12.5,12.5,0
YCCL,2025-09-30,12.0,12.0,12.0,12.0,9000
YCCL,2025-10-01,12.0,12.0,12.0,12.0,0
YCCL,2025-10-03,12.0,12.0,12.0,12.0,0
YCCL,2025-10-06,11.8,12.4,11.75,12.4,15000
YCCL,2025-10-07,12.4,12.4,12.4,12.4,0
YCCL,2025-10-08,12.9,12.9,12.0,12.0,9000
YCCL,2025-10-09,12.0,12.0,12.0,12.0,0
YCCL,2025-10-10,12.85,12.85,12.85,12.85,3000
YCCL,2025-10-13,12.85,13.2,12.85,13.0,6000
YCCL,2025-10-14,13.95,13.95,12.1,12.1,24000
YCCL,2025-10-15,13.0,13.0,13.0,13.0,3000
YCCL,2025-10-16,12.95,13.3,12.9,13.25,27000
YCCL,2025-10-17,13.25,13.25,13.0,13.0,9000
YCCL,2025-10-20,13.0,13.0,13.0,13.0,0
