symbol,date,open,high,low,close,volume
ZENSARTECH,2025-07-24,826.0,830.5,808.05,824.9,680763
ZENSARTECH,2025-07-25,824.75,824.75,790.0,796.65,384947
ZENSARTECH,2025-07-28,782.6,803.0,770.7,800.1,841520
ZENSARTECH,2025-07-29,796.75,815.0,786.6,808.45,313732
ZENSARTECH,2025-07-30,809.0,812.45,796.15,810.05,273881
ZENSARTECH,2025-07-31,795.0,810.0,790.0,806.15,433993
ZENSARTECH,2025-08-01,803.0,805.3,785.75,792.2,357788
ZENSARTECH,2025-08-04,789.0,804.8,775.2,800.65,409403
ZENSARTECH,2025-08-05,800.65,811.0,795.15,801.65,277357
ZENSARTECH,2025-08-06,801.65,805.0,776.2,785.35,375898
ZENSARTECH,2025-08-07,777.0,794.5,771.1,790.0,219263
ZENSARTECH,2025-08-08,790.0,791.95,779.0,785.65,168463
ZENSARTECH,2025-08-11,785.6,796.0,779.0,791.55,202620
ZENSARTECH,2025-08-12,791.55,823.8,788.0,808.8,640034
ZENSARTECH,2025-08-13,809.0,811.1,795.05,801.15,306980
ZENSARTECH,2025-08-14,801.2,806.7,797.5,803.15,225003
ZENSARTECH,2025-08-18,820.5,822.0,791.1,798.05,342619
ZENSARTECH,2025-08-19,798.05,806.0,794.8,802.6,196965
ZENSARTECH,2025-08-20,800.0,821.4,790.2,815.2,681187
ZENSARTECH,2025-08-21,816.0,823.4,804.0,809.35,353738
ZENSARTECH,2025-08-22,806.0,809.5,790.3,792.5,201920
ZENSARTECH,2025-08-25,805.0,829.8,803.55,810.75,936633
ZENSARTECH,2025-08-26,804.0,814.85,796.0,804.55,312950
ZENSARTECH,2025-08-28,804.55,804.55,775.0,778.2,255845
ZENSARTECH,2025-08-29,780.0,786.55,761.0,768.1,171070
ZENSARTECH,2025-09-01,769.75,794.8,769.0,787.35,173037
ZENSARTECH,2025-09-02,786.95,800.55,784.35,793.05,153261
ZENSARTECH,2025-09-03,788.95,788.95,770.0,778.65,784608
ZENSARTECH,2025-09-04,782.85,791.45,775.3,779.6,216297
ZENSARTECH,2025-09-05,775.0,791.0,763.0,776.35,386596
ZENSARTECH,2025-09-08,777.95,780.25,766.0,772.0,237942
ZENSARTECH,2025-09-09,775.0,781.8,772.5,777.85,220402
ZENSARTECH,2025-09-10,780.0,829.0,779.0,825.3,1752943
