symbol,date,open,high,low,close,volume
ZODIAC,2025-07-18,483.95,484.0,470.05,472.95,13690
ZODIAC,2025-07-21,472.95,473.0,463.0,468.05,13285
ZODIAC,2025-07-22,461.25,473.95,461.25,466.9,8506
ZODIAC,2025-07-23,472.95,472.95,462.0,466.55,7376
ZODIAC,2025-07-24,464.0,470.7,460.0,460.4,7346
ZODIAC,2025-07-25,455.1,465.0,449.6,451.55,8414
ZODIAC,2025-07-28,451.55,454.95,435.0,438.15,9040
ZODIAC,2025-07-29,449.0,450.0,433.1,446.65,7453
ZODIAC,2025-07-30,436.65,450.95,436.65,443.5,5336
ZODIAC,2025-07-31,432.0,465.65,430.05,449.35,11261
ZODIAC,2025-08-01,458.95,465.0,448.0,449.2,6250
ZODIAC,2025-08-04,442.0,458.0,428.0,442.8,9664
ZODIAC,2025-08-05,435.0,454.0,435.0,442.35,4390
ZODIAC,2025-08-06,438.5,462.35,435.0,441.5,6380
ZODIAC,2025-08-07,440.1,444.95,432.0,440.05,6830
ZODIAC,2025-08-08,446.0,446.0,430.0,432.1,6746
ZODIAC,2025-08-11,443.8,443.8,431.0,436.2,8876
ZODIAC,2025-08-12,442.9,449.95,435.0,442.85,8617
ZODIAC,2025-08-13,420.7,430.0,420.7,420.7,18914
ZODIAC,2025-08-14,399.7,430.0,399.7,405.45,18762
ZODIAC,2025-08-18,406.95,420.0,393.0,407.0,21763
ZODIAC,2025-08-19,396.1,405.85,395.0,398.95,16929
ZODIAC,2025-08-20,400.05,404.6,396.1,399.3,5723
ZODIAC,2025-08-21,400.0,403.0,390.95,396.45,12327
ZODIAC,2025-08-22,396.0,416.25,390.1,412.05,26431
ZODIAC,2025-08-25,411.0,411.0,396.0,402.5,10929
ZODIAC,2025-08-26,399.9,402.5,388.0,393.15,9401
ZODIAC,2025-08-28,395.0,396.55,385.0,388.7,5037
ZODIAC,2025-08-29,380.0,394.0,380.0,386.65,4545
ZODIAC,2025-09-01,384.75,394.9,379.0,388.45,5807
ZODIAC,2025-09-02,388.45,396.9,379.0,381.6,9386
ZODIAC,2025-09-03,389.9,400.65,381.0,399.35,8365
ZODIAC,2025-09-04,399.35,408.5,390.6,394.3,5013
ZODIAC,2025-09-05,399.95,399.95,377.0,388.2,8594
ZODIAC,2025-09-08,397.95,397.95,379.0,381.9,11410
ZODIAC,2025-09-09,384.5,384.95,378.0,380.0,10852
ZODIAC,2025-09-10,383.35,387.25,380.0,383.9,8822
ZODIAC,2025-09-11,380.9,403.05,380.0,398.35,24623
ZODIAC,2025-09-12,398.0,410.0,390.0,392.4,7505
ZODIAC,2025-09-15,389.95,394.9,385.05,388.3,8661
ZODIAC,2025-09-16,385.0,394.65,385.0,391.45,5947
ZODIAC,2025-09-17,386.0,408.3,386.0,398.45,13805
ZODIAC,2025-09-18,398.45,403.95,390.7,397.3,8216
ZODIAC,2025-09-19,392.2,401.95,377.45,391.65,12879
ZODIAC,2025-09-22,386.95,395.0,383.15,392.05,12984
ZODIAC,2025-09-23,392.05,402.9,387.0,398.0,11629
ZODIAC,2025-09-24,397.95,408.0,389.05,397.5,12580
ZODIAC,2025-09-25,398.0,411.0,393.0,398.25,13809
ZODIAC,2025-09-26,407.95,407.95,380.55,394.45,15965
ZODIAC,2025-09-29,387.0,405.9,387.0,390.25,15469
ZODIAC,2025-09-30,397.0,397.0,380.15,391.1,7310
ZODIAC,2025-10-01,390.95,394.9,385.75,391.2,9644
ZODIAC,2025-10-03,389.5,396.1,384.65,391.15,5701
ZODIAC,2025-10-06,389.9,393.4,385.0,388.85,6955
ZODIAC,2025-10-07,388.0,391.55,376.6,384.6,6326
ZODIAC,2025-10-08,381.0,388.75,381.0,382.85,6487
ZODIAC,2025-10-09,382.85,388.95,375.0,376.65,8924
ZODIAC,2025-10-10,386.5,386.5,371.65,378.9,6806
ZODIAC,2025-10-13,379.9,394.85,373.0,379.1,15220
ZODIAC,2025-10-14,380.95,388.9,375.0,376.95,7423
ZODIAC,2025-10-15,376.95,392.9,375.0,378.55,14894
ZODIAC,2025-10-16,372.0,380.85,372.0,376.65,12192
ZODIAC,2025-10-17,376.9,378.4,372.1,373.6,6621
ZODIAC,2025-10-20,380.0,380.0,371.0,372.55,5647
ZODIAC,2025-10-21,376.8,379.9,371.05,376.15,3781
ZODIAC,2025-10-23,377.0,379.9,370.05,371.7,10224
ZODIAC,2025-10-24,373.95,386.05,372.0,374.3,14403
ZODIAC,2025-10-27,371.1,375.7,371.1,371.5,9398
ZODIAC,2025-10-28,372.0,377.95,367.55,369.4,8559
ZODIAC,2025-10-29,370.0,374.7,368.5,370.95,12193
ZODIAC,2025-10-30,370.95,374.4,365.6,367.1,16514
ZODIAC,2025-10-31,367.1,370.55,365.55,366.5,7471
ZODIAC,2025-11-03,366.5,370.8,360.0,361.3,12679
ZODIAC,2025-11-04,365.0,379.35,360.05,379.35,47485
ZODIAC,2025-11-06,389.5,398.3,386.95,398.3,75336
ZODIAC,2025-11-07,397.9,414.0,378.4,397.9,45861
ZODIAC,2025-11-10,397.9,415.0,397.9,398.25,40108
ZODIAC,2025-11-11,399.0,399.0,378.35,383.75,18332
ZODIAC,2025-11-12,387.0,402.9,383.0,389.95,46021
ZODIAC,2025-11-13,389.95,389.95,372.75,374.35,73227
