symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
NIFTY,9014289,7526939,1487350,19.76,17616031,301641.86733,27609497938845,781194.24595,24210
DIXON,130364,111435,18929,16.99,148347,109624.76164,93898921124,22031.91124,13539
KALYANKJIL,87246,77589,9657,12.45,114844,72185.50021,66994826625,30258.86625,475
CDSL,41128,37561,3567,9.5,35265,19448.91091,21880575032,4577.23532,1395
DRREDDY,72383,68268,4115,6.03,38520,36334.6255,27203900531,5207.81781,1240
PAYTM,47636,45006,2630,5.84,27101,38381.08696,22242757371,5900.81371,1322
HAVELLS,36336,34340,1996,5.81,8570,12529.975,4029722945,842.82945,1202
OFSS,24077,22929,1148,5.01,13159,26551.56635,12769613034,3488.13034,11416
AUROPHARMA,34162,32645,1517,4.65,8100,12315.74377,5846195712,999.71712,1555
FORTIS,21420,20591,829,4.03,3711,3769.80731,2424047007,432.70257,956
DLF,80142,77282,2860,3.7,25958,56199.46872,11079930275,2290.11275,678
EXIDEIND,30706,29664,1042,3.51,7663,5809.185,5547638502,1227.80502,430
BSE,98639,95293,3346,3.51,28805,27713.36634,19557546858,4646.26858,3768
BANKNIFTY,1097419,1064129,33290,3.13,512998,150384.05431,880486769403,73938.71403,57891
PAGEIND,23410,22752,658,2.89,4360,10980.43683,2525663626,408.83626,40305
BHARTIARTL,180433,175978,4455,2.53,34693,21752.06915,29765372654,2825.31154,1910
VBL,71828,70061,1767,2.52,10699,10981.33593,5635814810,1117.8806,481
MAXHEALTH,36751,35897,854,2.38,5291,3321.60648,2789762372,435.18872,1092
FEDERALBNK,52142,50941,1201,2.36,6835,4042.2685,5388863125,1181.19375,330
KFINTECH,19308,18880,428,2.27,7516,5683.81451,3413274629,909.36129,898
TORNTPHARM,30589,29919,670,2.24,11397,13689.64772,5611430143,1175.23893,4856
TCS,470109,460068,10041,2.18,368065,131753.29245,164005725888,24939.26388,2083
TIINDIA,13367,13087,280,2.14,931,434.12654,541620370,42.5837,2919
NUVAMA,8156,7993,163,2.04,2475,3423.9625,2149635625,481.65625,1959
SOLARINDS,30217,29634,583,1.97,8475,9206.20355,6831824937,1226.99937,17607
MIDCPNIFTY,104884,102868,2016,1.96,38415,10775.91571,67173776755,5986.79755,14757
AMBER,29662,29120,542,1.86,15240,16040.26222,10454166074,2502.86074,7705
LAURUSLABS,34119,33505,614,1.83,4969,9148.38765,5620520764,1294.78264,1529
TITAN,85745,84240,1505,1.79,11221,6133.74713,8618737989,890.36739,4587
BDL,37982,37316,666,1.78,4189,4360.44925,2003312474,393.70474,1331
SONACOMS,21789,21412,377,1.76,2523,2787.02347,1880339548,443.15673,678
DIVISLAB,63139,62075,1064,1.71,5804,2897.39104,3735940236,441.30236,6826
GODREJPROP,41846,41148,698,1.7,8514,8066.21686,5020069171,1186.46671,2083
INDIANB,31090,30592,498,1.63,6562,6402.8877,4799807340,1136.2909,805
INOXWIND,28941,28487,454,1.59,3929,7340.35392,1429393216,309.64416,82
SBILIFE,33059,32549,510,1.57,4782,2696.53747,3108026786,438.26786,1851
OBEROIRLTY,27480,27069,411,1.52,5354,4210.59506,3234381353,584.67353,1906
SWIGGY,46961,46265,696,1.5,10297,10730.51838,4419282869,1148.10494,282
DELHIVERY,25802,25433,369,1.45,4023,7148.37624,3734329546,731.37296,517
