symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
JKCEMENT,2026-07-13,5398.5,5361.5,271625,259878,95.68,14661.92,5645
HATSUN,2026-07-13,903.2,901.9,100999,84164,83.33,911.42,4517
TVSHLTD,2026-07-13,14016.0,14210.0,10484,8554,81.59,1492.74,1346
KIMS,2026-07-13,814.9,800.95,873815,682531,78.11,7061.41,20357
TIMKEN,2026-07-13,3205.0,3175.4,85402,65154,76.29,2711.75,10597
STARHEALTH,2026-07-13,603.25,599.75,719531,521458,72.47,4357.84,16689
HAVELLS,2026-07-13,1188.4,1178.8,2184918,1554445,71.14,25729.86,53502
JBCHEPHARM,2026-07-13,2435.5,2460.0,455413,323953,71.13,11158.65,36556
360ONE,2026-07-13,1129.0,1118.0,2239860,1582703,70.66,24843.85,53481
NESTLEIND,2026-07-13,1455.2,1427.0,2167829,1518193,70.03,31041.18,47480
ITC,2026-07-13,281.75,279.65,12559492,8527371,67.9,35191.71,243354
FLUOROCHEM,2026-07-13,3941.5,3899.3,112109,76065,67.85,4375.38,11015
TENNIND,2026-07-13,589.55,584.1,495203,331731,66.99,2895.72,17386
POWERGRID,2026-07-13,283.1,286.0,8083023,5404947,66.87,23053.17,87542
BHARTIARTL,2026-07-13,1920.4,1901.8,7862506,5253147,66.81,149812.84,107576
KOTAKBANK,2026-07-13,377.6,384.65,14167721,9460143,66.77,53908.11,114076
SCHAEFFLER,2026-07-13,4085.0,4134.7,51065,33610,65.82,2111.89,9798
ICICIAMC,2026-07-13,3159.6,3205.6,1006232,660534,65.64,32212.87,70689
TORNTPOWER,2026-07-13,1419.4,1441.9,311359,204364,65.64,4495.65,18976
ASIANPAINT,2026-07-13,2677.8,2652.1,1107802,725554,65.49,29349.94,69795
SUPREMEIND,2026-07-13,3319.6,3334.6,209558,137194,65.47,6980.4,15932
GLAND,2026-07-13,2479.4,2461.2,611673,399786,65.36,15007.66,43725
CREDITACC,2026-07-13,1529.4,1540.2,294066,192158,65.35,4503.95,29411
CEMPRO,2026-07-13,1566.8,1583.7,496359,322963,65.07,7857.6,19164
INDUSTOWER,2026-07-13,406.15,409.55,5182694,3355039,64.74,21158.59,46226
BRITANNIA,2026-07-13,5353.0,5348.5,132632,85611,64.55,7091.51,19249
ABSLAMC,2026-07-13,1146.6,1173.7,511637,329597,64.42,5911.98,34533
CESC,2026-07-13,163.93,161.92,2049903,1318202,64.31,3322.1,21626
TORNTPHARM,2026-07-13,4901.5,4951.1,763977,490620,64.22,37731.01,48601
EICHERMOT,2026-07-13,7365.5,7296.5,787762,505090,64.12,57489.09,61620
GODREJCP,2026-07-13,1088.4,1068.7,468745,300166,64.04,5022.99,24390
FORTIS,2026-07-13,968.0,963.5,1224946,783335,63.95,11758.47,33330
SUNDARMFIN,2026-07-13,4574.9,4529.1,48117,30656,63.71,2182.21,7978
MARICO,2026-07-13,852.5,846.75,1169864,742540,63.47,9904.22,35028
JSL,2026-07-13,716.4,703.35,571627,362481,63.41,4036.34,36716
HONAUT,2026-07-13,38175.0,38215.0,6739,4270,63.36,2563.75,2502
PGHH,2026-07-13,8940.0,8906.0,7396,4663,63.05,660.71,2005
ANTHEM,2026-07-13,754.7,747.65,299433,188652,63.0,2244.36,23669
LICHSGFIN,2026-07-13,549.15,551.9,1885782,1179726,62.56,10398.61,38520
PIDILITIND,2026-07-13,1598.5,1580.7,617150,385594,62.48,9729.31,37228
CIPLA,2026-07-13,1439.4,1426.7,844670,526490,62.33,12059.59,47906
CUMMINSIND,2026-07-13,5621.5,5555.0,323370,200963,62.15,17993.03,29500
NYKAA,2026-07-13,330.1,328.4,7568346,4674663,61.77,24925.86,54931
ALKEM,2026-07-13,5669.5,5567.0,219164,135378,61.77,12229.34,22620
TATACONSUM,2026-07-13,1111.9,1098.6,1072732,658172,61.35,11769.57,28983
UPL,2026-07-13,594.75,591.75,711085,435928,61.3,4193.26,19184
BHARTIHEXA,2026-07-13,1604.7,1587.4,166332,101813,61.21,2647.55,14547
GODIGIT,2026-07-13,312.0,303.3,379859,231909,61.05,1159.74,8991
BANKBARODA,2026-07-13,250.95,250.65,18662940,11367644,60.91,46763.01,86827
POLICYBZR,2026-07-13,1580.4,1594.6,1853272,1126896,60.81,29492.17,59794
AWL,2026-07-13,190.0,189.38,2744960,1661248,60.52,5212.06,29509
ULTRACEMCO,2026-07-13,11711.0,11571.0,121301,73288,60.42,14058.49,20988
LUPIN,2026-07-13,2496.3,2492.6,672899,405269,60.23,16790.17,38976
GRASIM,2026-07-13,3213.6,3144.3,654390,392513,59.98,20671.78,39626
ZFCVINDIA,2026-07-13,2333.8,2321.3,59066,35137,59.49,1375.81,12178
TITAN,2026-07-13,4584.4,4601.5,770367,457610,59.4,35374.43,46224
PFIZER,2026-07-13,4731.4,4736.3,20979,12428,59.24,992.77,5916
AXISBANK,2026-07-13,1323.7,1319.4,3674483,2171564,59.1,48535.13,167092
COALINDIA,2026-07-13,429.3,430.2,5650932,3328651,58.9,24188.18,79204
LGEINDIA,2026-07-13,1564.7,1543.5,379922,223748,58.89,5887.23,24382
HDBFS,2026-07-13,755.45,756.25,498426,293327,58.85,3750.65,22443
ENDURANCE,2026-07-13,2686.4,2698.2,95612,56268,58.85,2570.74,15179
HINDALCO,2026-07-13,967.45,966.85,4070887,2387131,58.64,39200.41,149429
BAJAJFINSV,2026-07-13,1916.0,1908.1,1002460,586180,58.47,19028.57,57796
PHOENIXLTD,2026-07-13,2138.9,2154.0,1199255,700797,58.44,25679.69,70153
TRENT,2026-07-13,2902.8,2900.1,1111293,648081,58.32,32218.03,68130
TATASTEEL,2026-07-13,191.19,187.11,47597415,27747352,58.3,88965.77,253916
NMDC,2026-07-13,84.92,84.13,23088111,13442293,58.22,19354.06,54458
NH,2026-07-13,2027.3,2037.8,170207,99039,58.19,3460.04,16977
UNITDSPR,2026-07-13,1385.7,1373.4,804212,467925,58.18,11104.88,40226
GRINDWELL,2026-07-13,2058.6,2034.3,16915,9823,58.07,344.49,4125
MAXHEALTH,2026-07-13,1108.1,1106.2,1676994,971436,57.93,18579.02,50758
GLAXO,2026-07-13,2438.2,2420.5,34949,20190,57.77,845.75,6106
NTPC,2026-07-13,344.55,351.75,8226337,4748494,57.72,28706.61,202554
IRCTC,2026-07-13,503.25,502.05,843555,486728,57.7,4221.29,33517
DIVISLAB,2026-07-13,6836.0,6938.5,274183,158142,57.68,18898.64,26241
PIRAMALFIN,2026-07-13,2166.9,2172.8,268579,154734,57.61,5857.78,18520
APLAPOLLO,2026-07-13,1835.9,1828.7,424716,244428,57.55,7741.63,27947
