metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.07,96.3,-0.24,Yahoo Finance
GOLD,GC=F,4035.0,3997.0,0.95,Yahoo Finance
SILVER,SI=F,58.64,57.63,1.75,Yahoo Finance
CRUDE_WTI,CL=F,80.09,78.14,2.5,Yahoo Finance
CRUDE_BRENT,BZ=F,85.79,83.3,2.99,Yahoo Finance
COPPER,HG=F,6.38,6.23,2.3,Yahoo Finance
NAT_GAS,NG=F,2.91,2.9,0.52,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.82,101.28,-0.46,Yahoo Finance
BITCOIN,BTC-USD,64653.94,62239.12,3.88,Yahoo Finance
US_SP500,^GSPC,7543.59,7515.34,0.38,Yahoo Finance
US_NASDAQ,^IXIC,26107.01,25873.18,0.9,Yahoo Finance
US_DOW,^DJI,52508.27,52498.64,0.02,Yahoo Finance
US_VIX,^VIX,16.5,17.16,-3.85,Yahoo Finance
US_5Y_YIELD,^FVX,4.32,4.36,-0.96,Yahoo Finance
US_10Y_YIELD,^TNX,4.59,4.61,-0.52,Yahoo Finance
US_30Y_YIELD,^TYX,5.09,5.1,-0.08,Yahoo Finance
NIKKEI,^N225,68353.91,67242.73,1.65,Yahoo Finance
HANG_SENG,^HSI,24706.76,24213.72,2.04,Yahoo Finance
SHANGHAI,000001.SS,3956.84,3913.79,1.1,Yahoo Finance
KOSPI,^KS11,7353.44,6806.93,8.03,Yahoo Finance
TAIWAN,^TWII,45509.99,45380.52,0.29,Yahoo Finance
ASX200,^AXJO,8830.7,8808.5,0.25,Yahoo Finance
FTSE,^FTSE,10498.3,10497.3,0.01,Yahoo Finance
DAX,^GDAXI,25114.25,25067.09,0.19,Yahoo Finance
EURO_STOXX50,^STOXX50E,6271.02,6269.97,0.02,Yahoo Finance
EM_ETF,EEM,65.67,64.5,1.81,Yahoo Finance
INDIA_ETF,INDA,48.73,48.79,-0.12,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
