symbol,close,perf_1m,pct_change_oi,change_in_oi,tot_volume,tot_turnover,latest_oi,in_oi_spurt,fno_score
POLYCAB,8862.0,-7.6875,30.73,19420.0,141.0,929.302625,63230.0,True,6
FEDERALBNK,349.0,8.841415874005934,20.18,12062.0,40.0,290.78325,59771.0,True,6
JIOFIN,242.98,0.32204789430223,16.17,20893.0,637.0,2885.20216,129256.0,True,5
POWERINDIA,32075.0,-7.684558929342351,13.13,6543.0,1.0,8.3625,49820.0,True,5
HAVELLS,1187.3,-0.0336785383514432,10.14,4414.0,2.0,11.75,43525.0,True,5
GVT&D,4387.4,-10.461224489795926,13.45,3774.0,,,31834.0,True,4
BSE,3581.8,-14.311004784688992,9.8,10292.0,2.0,14.72,105045.0,True,3
SONACOMS,704.85,16.52339229624732,8.51,2057.0,4.0,33.565,24167.0,True,3
OBEROIRLTY,1894.8,13.569887317190112,8.44,2877.0,1.0,6.4841,34079.0,True,3
ICICIBANK,1444.3,7.622950819672129,7.11,17351.0,14.0,139.61276,244039.0,True,3
ADANIGREEN,1513.9,1.6244881519769112,6.58,3932.0,1.0,9.3738,59767.0,True,3
TORNTPHARM,4763.0,6.435754189944134,5.86,3026.0,8.0,42.437875,51643.0,True,3
SUPREMEIND,3433.7,-3.728937112737264,5.8,1248.0,2.0,12.307575,21529.0,True,3
CUMMINSIND,5448.0,-5.3838138242445295,5.29,1882.0,28.0,278.5317,35597.0,True,3
TECHM,1572.9,8.103092783505161,4.97,3547.0,479.0,3963.9264,71320.0,True,3
AXISBANK,1328.5,-2.6097793416904853,4.16,7234.0,8.0,9.4045625,174071.0,True,3
MCX,2747.5,-4.766031195840554,4.12,3625.0,2.0,12.6981,88036.0,True,3
APLAPOLLO,1795.4,-2.529858849077085,3.69,905.0,2.0,12.5776,24553.0,True,3
VMM,110.33,-5.765288691492996,3.65,482.0,1.0,5.49505,13207.0,True,3
OFSS,11771.0,23.32111052907281,3.63,1187.0,2.0,23.588,32677.0,True,3
RBLBANK,368.1,-0.5672609400324057,3.6,986.0,2.0,23.256875,27394.0,True,3
ASTRAL,1377.8,-11.905370843989772,3.36,1146.0,1.0,5.8395,34058.0,True,3
LUPIN,2443.2,7.502090025080301,3.26,751.0,1.0,10.576975,23062.0,True,3
MUTHOOTFIN,2989.5,-5.320665083135392,3.1,1284.0,6.0,49.100865,41368.0,True,3
DRREDDY,1211.2,-5.07836990595611,3.1,2405.0,2.0,15.43125,77598.0,True,3
MANAPPURAM,325.45,2.021943573667708,2.95,706.0,8.0,77.7792,23951.0,True,3
KALYANKJIL,574.4,51.55672823218996,2.82,2975.0,7.0,30.48192,105350.0,True,3
AUROPHARMA,1533.4,9.528571428571436,2.81,958.0,1.0,8.5569,34078.0,True,3
IREDA,121.64,-3.6591161096150833,2.75,882.0,1.0,5.42819,32028.0,True,3
VEDL,253.05,-15.367892976588626,2.62,3420.0,1.0,2.96125,130647.0,True,3
INFY,1096.5,-4.569190600522194,2.51,14055.0,641.0,2205.4082,559121.0,True,3
MFSL,1538.0,-4.608323512993857,2.51,702.0,2.0,12.7584,27967.0,True,3
HINDALCO,944.15,-4.147208121827413,2.5,2995.0,18.0,100.92033,119896.0,True,3
360ONE,1113.7,-3.991379310344824,2.07,450.0,148.0,764.0705,21788.0,True,3
LODHA,1188.75,28.520460565435965,1.98,953.0,2.0,14.544375,48139.0,True,3
IOC,141.69,-3.612244897959185,1.77,1012.0,5.0,34.471125,57124.0,True,3
LICI,433.1,5.505481120584658,1.73,577.0,1.0,6.0501,33428.0,True,3
VOLTAS,1342.4,1.2139033401191388,1.73,679.0,2.0,10.292625,39354.0,True,3
INDIGO,5248.5,7.630629152653605,1.69,1464.0,5.0,23.96547,86454.0,True,3
CHOLAFIN,1804.9,7.40895024994049,1.34,460.0,1.0,11.184375,34402.0,True,3
HDFCBANK,819.6,4.056370215197111,1.31,9585.0,7.0,16.146,729219.0,True,3
SOLARINDS,18467.0,9.278655541748032,1.28,399.0,5.0,46.363,31097.0,True,3
UNITDSPR,1375.8,5.50613496932515,1.24,444.0,143.0,778.06872,35986.0,True,3
HEROMOTOCO,4909.9,-2.7357369255150625,1.23,946.0,1.0,7.2333,76674.0,True,3
ONGC,247.29,0.5243902439024358,1.22,987.0,4.0,22.2264,80619.0,True,3
TCS,2269.0,2.716161158895428,1.17,4856.0,177.0,577.3756275,415456.0,True,3
RELIANCE,1327.2,-0.4351087771942951,1.15,5673.0,36.0,183.2613,494245.0,True,3
MANKIND,2484.2,5.593811102609875,1.12,243.0,1.0,6.41225,21650.0,True,3
PERSISTENT,5183.9,2.651485148514844,1.03,814.0,28.0,160.7988125,79316.0,True,3
TATAPOWER,377.25,-6.215040397762586,0.9,756.0,1.0,5.48825,83849.0,True,3
MPHASIS,2394.2,2.4958260199494724,0.82,227.0,23.0,145.54353,27622.0,True,3
SAIL,163.04,-10.31409868529622,0.81,420.0,2.0,15.416,51732.0,True,3
SUZLON,51.99,-10.945529290853033,0.77,516.0,3.0,19.84248,66831.0,True,3
DIXON,14329.0,16.259634888438136,0.67,905.0,53.0,332.891535,135255.0,True,3
MARUTI,13803.0,0.7518248175182481,0.63,909.0,18.0,109.700955,144021.0,True,3
LT,3814.5,-9.180733792052578,0.5,1074.0,9.0,53.06819,216170.0,True,3
WIPRO,176.0,-4.3478260869565215,0.36,718.0,137.0,579.8952,198209.0,True,3
TITAN,4638.1,6.917934532042424,0.3,245.0,21.0,170.817675,82330.0,True,3
SBIN,1044.3,2.68436578171091,0.29,659.0,2.0,15.495,223647.0,True,3
NTPC,341.85,-3.853185206018841,0.27,380.0,1.0,5.13825,141574.0,True,3
ULTRACEMCO,11727.0,3.0492091388400704,0.24,176.0,3.0,17.61999,73601.0,True,3
NMDC,83.22,-5.592739648326723,0.14,106.0,1.0,5.6781,75192.0,True,3
TATAELXSI,3503.2,-15.014191795444082,0.08,69.0,1.0,4.38875,88690.0,True,3
GMRAIRPORT,110.54,2.3897739903668143,0.05,15.0,1.0,7.85943,32149.0,True,3
HINDZINC,518.35,-8.142831827042341,0.0,-1.0,5.0,31.868375,55906.0,True,3
EICHERMOT,7563.5,0.0396799153495139,0.0,2.0,8.0,52.38597,84315.0,True,3
ICICIGI,1612.2,-8.971825419230978,-0.06,-29.0,6.0,10.6192125,47870.0,True,3
ADANIPOWER,214.45,-3.6612758310871545,-0.19,-148.0,2.0,15.43327,79365.0,True,3
VBL,463.35,-14.384700665188472,-0.33,-235.0,4.0,23.97663,72214.0,True,3
PRESTIGE,1693.0,12.119205298013243,-0.34,-62.0,1.0,7.335,18182.0,True,3
ZYDUSLIFE,1143.7,6.8978409197121175,-0.42,-82.0,1.0,10.377,19677.0,True,3
TRENT,2842.4,-2.154905335628224,-0.52,-761.0,3.0,19.295955,145297.0,True,3
M&M,3179.2,1.087440381558023,-0.57,-887.0,1.0,6.26,154565.0,True,3
SIEMENS,3658.8,-0.0600928708003228,-0.77,-334.0,7.0,19.643435,43454.0,True,3
PAYTM,1348.0,21.60577356788453,-0.79,-563.0,17.0,167.982355,71202.0,True,3
DABUR,427.2,-1.7931034482758648,-0.81,-367.0,3.0,15.93375,45125.0,True,3
WAAREEENER,2840.7,-7.4389051808406705,-0.91,-733.0,2.0,9.94,80655.0,True,3
UPL,616.6,-0.3474747474747438,-1.12,-429.0,7.0,59.0374855,38280.0,True,3
BHEL,422.0,9.838625715773038,-1.24,-970.0,306.0,2861.3347875,77951.0,True,3
TATASTEEL,185.89,-5.53889933431577,-1.25,-1710.0,1.0,5.09025,136817.0,True,3
MARICO,844.0,4.06905055487053,-1.29,-292.0,1.0,10.0812,22596.0,True,3
LAURUSLABS,1529.8,11.177325581395346,-1.44,-527.0,1.0,13.21325,36571.0,True,3
ABB,7506.0,6.907847884916679,-1.63,-905.0,20.0,49.5220375,55588.0,True,3
RECLTD,355.1,-0.6713286713286649,-1.84,-1011.0,2.0,10.973025,54822.0,True,3
TMPV,335.6,-15.14538558786346,-2.02,-2798.0,44.0,16.33328,138197.0,True,3
SRF,2874.7,4.500345341524582,-2.04,-718.0,30.0,128.89456,35166.0,True,3
GODREJPROP,2102.1,20.12,-2.1,-979.0,2.0,13.546,46585.0,True,3
HINDUNILVR,2143.8,-2.603243832629128,-2.11,-2623.0,2.0,6.58095,124572.0,True,3
HDFCLIFE,563.65,-2.1440972222222263,-2.7,-2194.0,3.0,18.77898,81411.0,True,3
GRASIM,3109.7,-1.279365079365085,-3.82,-2774.0,1.0,7.722,72591.0,True,3
SUNPHARMA,1932.6,6.538037486218297,-4.02,-4145.0,1.0,6.846,103102.0,True,3
LTM,4075.6,0.7564894932014811,-5.55,-3049.0,1.0,6.1782,54973.0,True,3
HCLTECH,1203.9,2.9854576561163464,-5.64,-10687.0,169.0,451.36476,189546.0,True,3
KEI,4906.5,-9.640883977900552,9.41,2126.0,,,24722.0,True,2
ANGELONE,328.95,-6.000857265323618,8.43,2527.0,,,32487.0,True,2
JSWENERGY,541.2,-4.042553191489354,8.01,3139.0,,,42342.0,True,2
ICICIPRULI,497.15,0.7192058346839454,7.57,3309.0,,,47025.0,True,2
DALBHARAT,1823.2,6.006163149020289,7.35,1553.0,,,22694.0,True,2
JSWSTEEL,1237.3,-3.335937500000004,7.28,5719.0,,,84305.0,True,2
AMBER,7804.5,-0.0064061499039077,6.64,2220.0,,,35659.0,True,2
MOTILALOFS,967.1,2.171042205905665,6.62,736.0,,,11849.0,True,2
ADANIENSOL,1722.6,15.247206797350628,6.42,2742.0,,,45475.0,True,2
ALKEM,5563.0,4.029920523609163,6.18,1087.0,,,18682.0,True,2
POLICYBZR,1574.0,-1.625,5.78,2518.0,,,46048.0,True,2
DELHIVERY,492.15,9.015394838852584,5.69,1848.0,,,34320.0,True,2
NATIONALUM,339.9,-7.485029940119761,5.45,2769.0,,,53580.0,True,2
INDHOTEL,727.9,4.538273732586532,5.19,1932.0,,,39145.0,True,2
INDUSINDBK,1027.2,10.928725701943849,4.43,3509.0,,,82680.0,True,2
COFORGE,1508.4,0.930076948812318,4.36,3033.0,,,72628.0,True,2
YESBANK,23.61,-1.2133891213389087,3.85,2786.0,,,75217.0,True,2
EXIDEIND,435.2,11.977357519619195,3.83,1129.0,,,30579.0,True,2
PFC,404.85,-5.629370629370624,3.75,2552.0,,,70684.0,True,2
MAZDOCK,2342.8,-5.303152789005652,3.51,1795.0,,,52917.0,True,2
CGPOWER,905.0,-3.8257173219978746,3.43,1579.0,,,47650.0,True,2
GLENMARK,2235.5,5.051691729323308,3.43,1378.0,,,41537.0,True,2
NESTLEIND,1427.2,2.528735632183911,3.27,1318.0,,,41569.0,True,2
BHARTIARTL,1908.8,3.0113329735563927,3.21,6351.0,,,204179.0,True,2
JUBLFOOD,417.15,-1.6155660377358545,2.99,1028.0,,,35375.0,True,2
COLPAL,2042.4,-1.8076923076923035,2.87,846.0,,,30303.0,True,2
NBCC,97.25,-11.106032906764172,2.83,800.0,,,29103.0,True,2
COALINDIA,427.65,-5.156353958749168,2.78,2863.0,,,106020.0,True,2
PNB,105.77,-2.336103416435828,2.76,1905.0,,,70905.0,True,2
HINDPETRO,400.4,-1.5006150061500672,2.71,1073.0,,,40616.0,True,2
NHPC,79.2,5.600000000000004,2.42,852.0,,,36114.0,True,2
DMART,3951.9,-6.244217219045818,2.32,1984.0,,,87425.0,True,2
RADICO,4097.9,13.862183939983318,2.17,180.0,,,8467.0,True,2
COCHINSHIP,1402.2,-2.1356783919597926,2.16,856.0,,,40549.0,True,2
PIDILITIND,1566.1,-0.5713922925528538,1.89,382.0,,,20584.0,True,2
PAGEIND,39900.0,2.137463202355049,1.8,460.0,,,26026.0,True,2
TIINDIA,2888.6,-12.040194884287455,1.79,249.0,,,14158.0,True,2
SHREECEM,26515.0,6.272545090180361,1.73,318.0,,,18654.0,True,2
GODFRYPHLP,2109.9,-6.059661620658945,1.66,189.0,,,11548.0,True,2
AUBANK,1030.2,0.0679941719281248,1.45,543.0,,,37867.0,True,2
BDL,1254.8,1.4799838253133808,1.35,679.0,,,50915.0,True,2
IDFCFIRSTB,80.35,3.6774193548387024,1.28,842.0,,,66390.0,True,2
APOLLOHOSP,8826.0,5.190393897860676,1.21,444.0,,,37106.0,True,2
BANDHANBNK,213.25,-2.0980626205123465,1.21,579.0,,,48265.0,True,2
KOTAKBANK,389.95,-4.388868456540403,1.19,1946.0,,,165582.0,True,2
ASIANPAINT,2689.0,-2.7134587554269176,1.16,761.0,,,66152.0,True,2
PREMIERENE,1086.2,2.665406427221176,1.15,231.0,,,20271.0,True,2
HAL,4500.7,5.242604933941303,1.14,809.0,,,71508.0,True,2
CIPLA,1418.7,2.80434782608696,1.12,671.0,,,60486.0,True,2
RVNL,225.44,-6.919900908340211,1.03,446.0,,,43540.0,True,2
ITC,280.7,-3.853399554718274,0.74,1408.0,,,192911.0,True,2
INDUSTOWER,403.5,-2.0512198082291517,0.68,580.0,,,86123.0,True,2
