symbol,company,sector,industry,market_cap,cmp,previous_close,ema20,ema50,ema100,ema200,sma50,sma200,supertrend,ichimoku_signal,trend_label,trend_score,rsi14,macd,macd_signal,macd_hist,adx14,roc20,stoch_rsi,momentum_score,volume,avg_volume_10d,avg_volume_30d,relative_volume,delivery_pct,obv,cmf,volume_score,support1,support2,resistance1,resistance2,pivot,vwap,atr14,entry_low,entry_high,stop_loss,target1,target2,target3,risk_reward,rs_rank,return_1m,return_3m,dist_52w_high_pct,rs_vs_nifty_1m,rs_vs_sector_1m,pe,pb,peg,ev_ebitda,roe,roce,debt_equity,revenue_growth,profit_growth,operating_margin,fcf,fundamental_score,revenue_surprise,profit_surprise,eps_growth,margin_expansion,guidance,order_book_growth,earnings_score,promoter_holding,promoter_pledge,fii_holding,dii_holding,mf_holding,insider_buying,institution_score,news_count_7d,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,in_oi_spurt,oi_change_pct,fno_score,pcr,max_pain,liquidity_sweep,smart_money_score,technical_score,fundamental_score_final,earnings_score_final,news_score_final,institution_score,sector_score,macro_score,risk_score,value_z,momentum_z,quality_z,lowvol_z,growth_z,size_z,composite_factor_z,composite_factor_rank,earnings_within_21d,days_to_earnings,event_risk_score,tech_rating,analyst_rec,price_target_avg
RELIANCE,Reliance Industries Limited,Energy Minerals,Oil Refining/Marketing,17296615133118.998,1278.0,1272.2,,1316.3270790948131,,1374.2507402389074,1311.1519999999985,1411.6665000000016,,,Bearish,0.0,42.3942513105658,-6.9712070402740665,-5.523399605519796,-1.4478,14.085551006294503,-1.457321304649556,18.487621504834063,0,9817000.0,12680824.3,13515717.533333316,0.7828312671276735,58.85,,,33,1257.4,1236.8,1291.0,1304.0,1270.4,1270.4,24.660770037201672,1265.67,1290.33,1241.01,1302.66,1327.32,1351.98,0.67,32.0,-2.1214674121161097,-4.626865671641791,-20.71,-2.31,0.27,23.14374657054225,,,9.42281592120276,,,,15.00336391405993,-8.318252305321916,11.096072765804,,20,,,-8.318252305321916,,,,67,,,,,,,,0,,,,,,True,-0.65,3.0,,,,3.0,7,20,67,,,65.0,30,60,0.33,-0.58,-0.66,0.55,-0.23,-3.0,-0.12,36.0,False,82.0,0.0,Strong sell,1.08,1661.76
BHARTIARTL,Bharti Airtel Limited,Communications,Wireless Telecommunications,11844101424641.0,1898.2,1931.0,,1887.563908497964,,1896.59828717772,1877.195999999998,1951.3004999999985,,,Bullish,67.0,49.04472457086575,16.75222558619589,18.74623336962846,-1.994,22.034232399521663,-0.1892943527184724,32.11985113028887,0,4483600.0,5813406.799999995,6489683.400000003,0.7463790353988192,66.02,,,33,1882.46,1866.73,1909.46,1920.73,1893.73,1893.7333333333331,34.00070339359676,1881.2,1915.2,1847.2,1932.2,1966.2,2000.2,0.67,53.0,0.3701353637901861,2.883468834688349,-12.71,0.18,,43.31060792742473,7.757884048773558,,11.55343237251127,20.3215106088605,9.08236481301509,1.31098991926557,21.96002895045356,-20.523849590901182,31.7404423698221,18.426200358423117,40,,,-20.523849590901182,,,,67,,,,,,,,0,,,,,,True,0.45,3.0,,,,3.0,33,40,67,,,10.0,30,65,-0.09,-0.34,-0.03,0.62,-0.22,-3.0,-0.01,52.0,True,9.0,3.0,Sell,1.161765,2294.147059
HDFCBANK,HDFC Bank Limited,Finance,Major Banks,11436999782586.0,742.8,747.25,,788.3690326753009,,848.8682454809589,778.8570000000014,880.9594999999983,,,Bearish,0.0,33.69616633573581,-7.379176183621894,2.361821170045032,-9.741,23.831500483259298,-9.18760315422704,1.0658141036401504e-14,0,23837859.0,28301257.1,34371443.93333333,0.843010825135693,65.12,,,33,737.29,731.77,748.29,753.77,742.77,742.7666666666668,15.95908041884616,734.82,750.78,718.86,758.76,774.72,790.68,0.67,33.0,-3.906856403622257,-4.4384407564646855,-27.21,-4.1,-5.8,14.513481828839389,1.8868538008368403,1.2868816074861458,,13.7540298886995,6.82785576408465,0.9333100337634852,1.754463853655062,11.34558903513542,34.982694035678,,80,,,11.34558903513542,,,,67,,,,,,,,0,,,,,,True,1.01,3.0,,,,3.0,7,80,67,,,45.0,30,40,0.7,-0.82,0.13,0.51,-0.45,-3.0,0.01,54.0,False,85.0,0.0,Sell,1.085106,1030.914894
ICICIBANK,ICICI Bank Limited,Finance,Regional Banks,10282178936317.0,1432.9,1434.6,,1366.7699598270813,,1345.319833739395,1339.0,1347.3529999999998,,,Bullish,100.0,61.67193907847662,28.11546268691859,29.41509755123204,-1.2996,32.55046805994821,1.6601631784320745,29.667970326438013,60,10870914.0,13059561.600000031,13007412.533333331,0.8618520060994942,75.85,,,33,1418.86,1404.83,1443.46,1454.03,1429.43,1429.4333333333334,25.7876238133958,1420.01,1445.79,1394.22,1458.69,1484.48,1510.26,0.67,65.0,6.884976876025674,7.228915662650613,-4.12,6.69,4.99,18.522492244053776,2.701662290629893,2.5162502410039744,,15.796816290169,9.74115748257219,0.594743890036865,5.080821540326999,7.369882026370579,34.55734059748943,,80,,,7.369882026370579,,,,100,,,,,,,,0,,,,,,True,-0.69,3.0,,,,3.0,71,80,100,,,45.0,30,50,0.15,-0.13,0.24,0.71,-0.38,-3.0,0.12,66.0,False,85.0,0.0,Buy,1.04,1737.12
SBIN,State Bank of India,Finance,Regional Banks,9369538854753.0,1015.0,1012.6,,1026.7341860559816,,999.7379381673234,1006.994,1019.4782499999995,,,Bearish,33.0,45.50687780162333,1.6820671546051926,4.891212786690069,-3.2091,11.078250537992052,-2.1215043394406945,5.895857669626615,0,13797053.0,11137012.100000018,10903426.800000014,1.2971395404839934,60.88,,,100,1004.6,994.2,1021.6,1028.2,1011.2,1011.2,20.305772996354797,1004.85,1025.15,984.54,1035.31,1055.61,1075.92,0.67,24.0,-0.87890625,-6.995922481330455,-17.79,-1.07,-2.77,11.150243767398226,1.5716476619882924,2.345216504274275,,15.3805889022211,6.660692553910601,1.3396637584022402,6.975820605233501,4.743220354585112,28.129242852760616,,60,,,4.743220354585112,,,,67,,,,,,,,0,,,,,,True,1.0,3.0,,,,3.0,33,60,67,,,45.0,30,55,0.99,-0.3,-0.06,0.75,-0.41,-2.96,0.19,76.0,True,5.0,3.0,Sell,1.2375,1219.15
TCS,Tata Consultancy Services Limited,Technology Services,Information Technology Services,8154806842814.0,2254.3,2242.9,,2221.519920558492,,2629.8437001404345,2190.492000000003,2709.103999999994,,,Neutral,50.0,58.6714710109717,20.781735482571094,1.1511695174062575,19.6306,17.22934085459298,3.3371533348613425,77.92978042972818,80,3211699.0,5006789.0,4847977.6,0.5995248301768902,39.74,,,17,2218.16,2182.03,2277.36,2300.43,2241.23,2241.233333333333,59.38846364949755,2224.61,2283.99,2165.22,2313.69,2373.08,2432.47,0.67,18.0,9.37894226103834,-9.39308681672025,-32.71,9.19,5.02,16.378352065911553,7.439598106593736,15.264889003149364,10.506455058537508,47.9890914172003,44.2125262461657,0.104302536644988,7.695160610272186,1.067516881423239,24.8826393193624,16.264042536894856,80,,,1.067516881423239,,,,67,,,,,,,,0,,,,,,True,-2.32,3.0,,,,3.0,55,80,67,,,76.0,30,60,0.58,-1.04,1.21,0.23,-0.39,-2.81,0.12,66.0,False,80.0,0.0,Buy,1.534091,2419.767442
BAJFINANCE,Bajaj Finance Limited,Finance,Finance/Rental/Leasing,6304715539696.0,1012.8,1039.8,,984.099433148588,,950.2239156753692,964.0000000000006,970.9155000000012,,,Bullish,83.0,50.68256722090215,22.36627235433366,25.52722453432383,-3.161,33.50849624369792,-0.958341482495606,20.86029608298033,40,18416962.0,8834300.2,9334911.266666668,2.3928902027269547,67.15,,,100,999.34,985.87,1028.24,1043.67,1014.77,1014.7666666666668,24.63725802291388,1000.48,1025.12,975.84,1037.44,1062.07,1086.71,0.67,69.0,6.341873162536747,10.086956521739127,-8.14,6.15,4.45,33.18479685452162,5.524139858479915,2.4741402408780218,26.52979362830599,18.052322754331,5.88770366680906,3.2266451939674603,18.3647764826221,13.77022291806456,43.7265523464435,,60,,,13.77022291806456,,,,100,,,,,,,,0,,,,,,True,3.4,3.0,,,,3.0,69,60,100,,,45.0,30,80,-0.32,-0.01,-0.08,-0.42,-0.04,-2.52,-0.17,30.0,True,4.0,3.0,Neutral,1.472973,1088.540541
LICI,Life Insurance Corp. of India,Finance,Life/Health Insurance,5330075519836.0,421.3,421.4,,422.5077024882292,,421.7498184361909,419.43300000000016,422.5288749999992,,,Bearish,33.0,44.0068574047366,1.2889157268008944,4.138032174285174,-2.8491,21.337020929813328,-4.532064355313845,3.552713678800501e-15,0,862880.0,2169484.5,3735036.366666666,0.3584812803956921,36.08,,,17,417.26,413.23,424.66,428.03,420.63,420.6333333333334,9.232891047912094,416.68,425.92,407.45,430.53,439.77,449.0,0.67,56.0,-4.271756418995685,3.768472906403944,-10.07,-4.46,-6.16,9.276160070457424,0.7304738302678776,0.4909052283783373,,7.459755123494731,7.459755123494731,0.0,10.315815415255356,18.90051547336372,5.59249360662008,,60,,,18.90051547336372,,,,100,,,,,,,,0,,,,,,True,-3.81,3.0,,,,3.0,17,60,100,,,45.0,30,55,2.13,-0.28,-0.52,0.41,0.01,-2.33,0.35,88.0,True,11.0,3.0,Sell,1.23913,520.293478
LT,Larsen & Toubro Limited,Industrial Services,Engineering & Construction,5207478674103.0,3785.6,3792.4,,3954.6089553776046,,3906.35312808964,3986.647999999999,3960.997500000001,,,Bearish,0.0,34.32016697211809,-68.45643838537262,-55.33455751481871,-13.1219,28.14082466026337,-3.637520682194224,34.194097414213296,20,1994087.0,1990989.7000000072,2121849.866666668,1.0385977978937244,53.22,,,67,3735.4,3685.2,3820.4,3855.2,3770.2,3770.2,68.78068176041799,3751.21,3819.99,3682.43,3854.38,3923.16,3991.94,0.67,24.0,-9.359511552735546,-7.033398821218077,-14.74,-9.55,-6.97,32.388774811772755,4.076750163297235,4.672104898642719,20.071336400919485,16.8428484034919,10.4602183989046,1.1482918808525602,11.78560370784602,6.944825693110064,8.67037685198086,,40,,,6.944825693110064,,,,100,,,,,,,,0,,,,,,True,0.92,3.0,,,,3.0,21,40,100,,,24.0,30,55,-0.12,-0.38,-0.43,0.39,-0.07,-2.3,-0.12,35.0,True,2.0,3.0,Strong sell,1.344828,4422.896552
HINDUNILVR,Hindustan Unilever Limited,Consumer Non-Durables,Household/Personal Care,5039285959106.0,2145.0,2161.8,,2169.573907772767,,2261.0232525285837,2164.721999999997,2288.512270640955,,,Bearish,0.0,47.97206959988118,-8.036471465907198,-10.193301579958918,2.1568,10.243816963588912,0.6758659532526092,68.38422382615057,60,1603494.0,1472663.9,1580028.4,1.0842973145570791,62.99,,,100,2135.0,2125.0,2159.0,2173.0,2149.0,2149.0,36.55982191034261,2126.72,2163.28,2090.16,2181.56,2218.12,2254.68,0.67,15.0,-0.6944444444444444,-10.198442602361212,-20.77,-0.88,0.94,33.51719611856806,10.340534780641825,0.8198428682094385,33.041761469262404,21.5261715287189,21.0234057797946,0.0303247912349453,3.84341185976141,41.20266179494647,20.858315407265,,100,,,41.20266179494647,,,,67,,,,,,,,0,,,,,,True,1.57,3.0,,,,3.0,44,100,67,,,68.0,30,35,-0.2,-0.71,0.3,1.3,-0.47,-2.27,0.04,58.0,True,2.0,3.0,Sell,1.474359,2557.358974
