date,symbol,subject,details,category
04-Aug-2026 09:24:43,SYSTMTXC,Resignation,"This is to inform you that Mr. Ankit Gor, Director, Investment Banking - ECM who was a Senior Management Personnel of the Company has tendered his resignation with effect from August 04, 2026.",Resignation
04-Aug-2026 09:18:58,SYSTMTXC,Resignation of Director/KMP/SMP,Systematix Corporate Services Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
04-Aug-2026 08:57:53,CIPLA,General Updates,"Update on USFDA inspection at InvaGen manufacturing facility in Hauppauge, Long Island, New York, USA",General Updates
04-Aug-2026 08:57:24,UPL,Updates,UPL Limited has informed the Exchange regarding 'Leadership Transition and Expansion of Senior Leadership Roles'.,Updates
04-Aug-2026 08:25:46,KDDL,Analysts/Institutional Investor Meet/Con. Call Updates,KDDL Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
04-Aug-2026 07:16:08,PATELRMART,General Updates,"Patel Retail Limited has informed the Exchange about Intimation regarding Expansion of Distribution Network for ""Indian Chaska"" Brand Products.",General Updates
04-Aug-2026 01:39:27,JMFINANCIL,Shareholders meeting,"JM Financial Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 03, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
04-Aug-2026 00:56:25,JMFINANCIL,Shareholders meeting,"JM Financial Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 03, 2026",Shareholders meeting
03-Aug-2026 23:56:17,CLEANMAX,Analysts/Institutional Investor Meet/Con. Call Updates,Clean Max Enviro Energy Solutions Limited has informed the Exchange about Link of Recording,Analysts/Institutional Investor Meet/Con. Call Updates
03-Aug-2026 23:49:33,MGL,General Updates,Mahanagar Gas Limited has informed the Exchange about Business Responsibility and Sustainability Report for the financial year 2025-26,General Updates
03-Aug-2026 23:43:06,POWERGRID,Analysts/Institutional Investor Meet/Con. Call Updates,Power Grid Corporation of India Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
03-Aug-2026 23:38:55,MGL,Shareholders meeting,"Mahanagar Gas Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 25, 2026",Shareholders meeting
03-Aug-2026 23:38:22,PNGJL,General Updates,P N Gadgil Jewellers Limited has informed the Exchange about QIP,General Updates
03-Aug-2026 23:27:08,MGL,General Updates,Mahanagar Gas Limited has informed the Exchange about General Updates-Letter sent to Shareholders whose email address are not registered.,General Updates
03-Aug-2026 23:23:30,MGL,Record Date,Mahanagar Gas Limited has informed the Exchange that Record date for the purpose of Final Dividend  is 18-Aug-2026.,Record Date
03-Aug-2026 23:23:08,BHARTIARTL,Shareholders meeting,"Bharti Airtel Limited has informed the Exchange regarding Proceedings of 31st Annual General Meeting held on August 03, 2026",Shareholders meeting
03-Aug-2026 23:18:39,INDTERRAIN,Copy of Newspaper Publication,Indian Terrain Fashions Limited has informed the Exchange about Copy of Newspaper Publication on un-audited financial results for the quarter ended 30th June 2026,Copy of Newspaper Publication
03-Aug-2026 23:16:57,ZENTEC,Credit Rating,Zen Technologies Limited has informed the Exchange about Credit Rating,Credit Rating
03-Aug-2026 23:08:21,AUTOAXLES,Analysts/Institutional Investor Meet/Con. Call Updates,Automotive Axles Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
03-Aug-2026 23:02:39,KALPATARU,Shareholders meeting,"KALPATARU: Kalpataru Limited has informed the Exchange regarding Proceedings of 38th Annual General Meeting held on August 03, 2026.",Shareholders meeting
