symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-0.7575757575757576,1.2286531179970708,-0.97,1.32,-2.39,0.21,-0.09,3.62
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,2.7756281277408017,1.9655013564006687,-0.97,1.32,,3.75,0.65,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,-0.8185538881309686,-10.35758323057953,-0.97,1.32,-0.21,0.15,-11.68,-10.15
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,-2.343211578221916,0.2901833109207947,-0.97,1.32,-0.21,-1.37,-1.03,0.5
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,-1.148041847977027,5.140324963072382,-0.97,1.32,-0.21,-0.18,3.82,5.35
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,-0.5894736842105263,8.596660687180906,-0.97,1.32,10.24,0.38,7.28,-1.64
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-2.3360287511230906,7.987283926087819,-0.97,1.32,1.89,-1.37,6.67,6.1
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,0.4183064775624388,4.886246122026887,-0.97,1.32,-0.98,1.39,3.57,5.87
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,5.095946117676963,-5.485714285714286,-0.97,1.32,1.89,6.07,-6.81,-7.38
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,-0.2928327972732902,-2.0744931636020745,-0.97,1.32,-1.63,0.68,-3.39,-0.44
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,0.793103448275866,8.359592215013905,-0.97,1.32,10.24,1.76,7.04,-1.88
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-1.278772378516624,-1.278772378516624,-0.97,1.32,3.01,-0.31,-2.6,-4.29
TITAN,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,1.568871657861422,10.549445744145878,-0.97,1.32,1.4,2.54,9.23,9.15
MARUTI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,0.1665339222358989,2.451307116936977,-0.97,1.32,1.4,1.14,1.13,1.05
M&M,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,0.6842878120411213,10.99132349132349,-0.97,1.32,1.4,1.65,9.67,9.59
ADANIENT,Distribution Services,Wholesale Distributors,,unmapped,0.3040417726957208,-5.004694835680754,-0.97,1.32,,1.27,-6.32,
ADANIPOWER,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-1.3837505405275528,-9.800043946385411,-0.97,1.32,-2.39,-0.41,-11.12,-7.41
KOTAKBANK,Finance,Major Banks,NIFTY_BANK,industry,-0.4707379134860108,3.1105838935020307,-0.97,1.32,-0.21,0.5,1.79,3.32
ADANIPORTS,Transportation,Other Transportation,,unmapped,0.2949852507374631,-6.900328587075575,-0.97,1.32,,1.26,-8.22,
AXISBANK,Finance,Major Banks,NIFTY_BANK,industry,-2.771344141841692,-8.328313253012041,-0.97,1.32,-0.21,-1.8,-9.65,-8.12
HCLTECH,Technology Services,Information Technology Services,NIFTY_IT,industry,2.332580887885628,17.545375972342264,-0.97,1.32,10.24,3.3,16.23,7.31
ITC,Consumer Non-Durables,Tobacco,NIFTY_FMCG,industry,-2.3859649122807056,0.560274715344302,-0.97,1.32,-1.63,-1.42,-0.76,2.19
ULTRACEMCO,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,-3.584764749813293,0.9996522948539638,-0.97,1.32,-0.98,-2.61,-0.32,1.98
NTPC,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-1.4492753623188406,-2.158273381294964,-0.97,1.32,-2.39,-0.48,-3.48,0.23
HAL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,2.1299492385786727,13.17388173881739,-0.97,1.32,10.24,3.1,11.85,2.93
BAJAJ_AUTO,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,1.0362694300518134,14.705882352941176,-0.97,1.32,1.4,2.01,13.39,13.31
BAJAJFINSV,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-2.034146341463417,7.109333333333331,-0.97,1.32,1.89,-1.06,5.79,5.22
JSWSTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,-2.592422150636597,1.632522407170302,-0.97,1.32,-4.41,-1.62,0.31,6.04
ETERNAL,Technology Services,Internet Software/Services,NIFTY_IT,industry,1.4331210191082802,11.75438596491228,-0.97,1.32,10.24,2.4,10.43,1.51
BEL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,2.443890274314217,0.4400977995110052,-0.97,1.32,10.24,3.41,-0.88,-9.8
ONGC,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-0.8805031446540856,-5.220110656723592,-0.97,1.32,-2.39,0.09,-6.54,-2.83
NESTLEIND,Consumer Non-Durables,Food: Major Diversified,NIFTY_FMCG,industry,-1.5692711753118904,4.700377147646316,-0.97,1.32,-1.63,-0.6,3.38,6.33
