symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NIFTY,46106,45103146,45149252,734218.0519635001,71549563720868.34,2828749.895647,6660015,24207.75
BANKNIFTY,21421,1495102,1516523,374565.164466,2620308578555.4,594604.36002,822633,57783.75
HDFCBANK,33630,207242,240872,160421.641575,102103215370.0,175465.110275,850862,727.2
SAIL,16067,38630,54697,145463.21776,35640331052.0,155882.13828,55715,194.9
RELIANCE,19326,164760,184086,127418.7751,111567754380.0,142140.2689,450870,1298.0
BSE,16955,103423,120378,114338.54468,72591414248.0,132361.08716,125023,3325.6
HINDZINC,12843,141763,154606,98248.231305,111063640822.75,126427.2320325,56803,626.5
ICICIBANK,11443,76766,88209,115979.74633,78672079409.0,125518.96042,191070,1430.0
VBL,19384,99520,118904,106728.85821,56643995592.75,118213.8441375,85722,421.25
KOTAKBANK,11693,84884,96577,96954.7452,71484631180.0,107580.457,128952,416.7
SBIN,11273,103758,115031,89922.6348,84668844285.0,101075.22765,210806,1052.0
SHRIRAMFIN,10124,35901,46025,94270.28292,33944929788.0,100970.6808,50604,1117.5
ETERNAL,11979,26759,38738,95052.7606475,21972426371.5,99320.1393625,85721,327.0
ADANIENT,9048,55998,65046,88058.6879334,55152621228.06,98896.082214,74097,3112.0
DMART,15787,62034,77821,90787.08081,36630145573.5,96561.736545,48879,3826.9
BHARTIARTL,9327,54428,63755,85741.90306,50857115956.5,91923.232625,162089,1902.1
DIVISLAB,8587,92572,101159,77138.13425,83531414251.0,91140.27676,54165,9025.0
LAURUSLABS,4764,24316,29080,76175.174795,39819826393.0,83736.048725,31784,1887.0
LT,10779,54902,65681,77336.023975,40215075764.5,83105.48162,117498,4038.1
MCX,9140,65390,74530,68309.004465,49500062280.0,80325.077265,62898,3350.0
CDSL,10200,65420,75620,69711.159315,45682150627.75,80289.0705925,43438,1434.0
LICHSGFIN,13970,56872,70842,73479.7234,30439985920.0,79766.2826,52238,524.4
IDEA,6479,23134,29613,70528.0920525,27138390638.25,77329.417185,108052,15.06
AXISBANK,8828,62405,71233,69435.99475,49669671987.5,75664.339625,197329,1255.0
PAYTM,5186,33271,38457,64996.2969075,42279411677.5,75642.7036825,46093,1716.0
DIXON,9151,68373,77524,65529.82663,51481070616.0,74978.28279,114482,14735.0
TATASTEEL,13076,72758,85834,67697.32035,38738501917.5,74117.208275,134331,188.01
ASHOKLEY,7254,31144,38398,65046.5135,28507946950.0,70834.733,42511,179.05
ADANIPOWER,8149,42366,50515,61213.724585,33543702174.5,68034.52383,62734,207.2
VEDL,17710,80277,97987,58133.28246,27336687168.0,65918.06164,92036,286.5
OFSS,4332,28460,32792,51538.22494,35260086538.0,60134.39032,20099,11800.0
HINDALCO,7081,32067,39148,52526.79495,24299960370.0,56477.37865,85278,1053.0
POLYCAB,4434,20307,24741,50533.301575,23763303133.75,54970.8329125,30628,9060.0
INFY,10558,76075,86633,47798.19476,35459452332.0,54535.11808,263161,1120.0
ADANIPORTS,6150,21560,27710,50074.526315,17933121110.5,53018.38242,63334,1691.5
ADANIENSOL,4380,15498,19878,47661.5756475,17457134917.5,52070.8248225,34731,1570.5
KAYNES,6773,45163,51936,41387.180175,28640557971.0,52061.034885,34949,4032.0
MAZDOCK,7547,36684,44231,44925.761745,22431423190.5,50219.14365,33181,2625.0
HEROMOTOCO,5242,30599,35841,44683.529865,26836072296.0,48841.452825,39412,5595.0
PREMIERENE,6603,19790,26393,42914.065025,13475165964.0,45979.364665,21299,1005.0
ZYDUSLIFE,4147,12987,17134,42773.60196,13640253399.0,45383.48595,16239,1150.0
MIDCPNIFTY,1765,74917,76682,31951.609044,136247206014.0,44633.759183999995,49946,14948.05
GVT&D,7651,18617,26268,41374.23885,10439464392.5,44394.132775,33017,4340.0
CHOLAFIN,3349,14589,17938,39984.2241875,17916084100.0,43616.5651875,28846,1868.1
TCS,7324,56882,64206,37839.29409,30198203496.0,43027.06905,211272,2270.0
INDIGO,4755,33788,38543,37664.021235,27348282757.5,42944.89881,62714,5250.5
LUPIN,4123,23467,27590,39001.9459125,22735507782.75,42464.64374,29330,2185.0
FEDERALBNK,4455,18000,22455,38829.40875,16133292250.0,41547.95625,46847,345.3
LICI,6563,19623,26186,38918.61568,11807141906.0,40707.50474,55007,415.3
BAJAJ-AUTO,4166,27412,31578,37188.7572075,24833453702.25,40622.26923,37235,11724.0
JINDALSTEL,5119,21227,26346,37679.3703125,15885964631.25,40569.016625,31560,1175.4
AMBUJACEM,7451,23675,31126,37787.18088,12280219980.0,40182.94068,93256,419.2
BAJFINANCE,4470,23693,28163,36773.55585,19775087122.5,39748.377075,114923,1085.0
NMDC,5786,32005,37791,34512.90795,19645001482.5,38239.420275,67143,88.21
ANGELONE,4705,14597,19302,35372.5005,11445843700.0,38234.8125,23222,298.85
JSWSTEEL,3868,26893,30761,34905.9883275,24660929223.0,38220.0355575,73076,1341.0
ADANIGREEN,4270,16978,21248,34251.74838,14151428988.0,37926.71826,56640,1303.2
JIOFIN,6059,31320,37379,34846.990745,18896160801.5,37559.87751,150209,241.0
TATAPOWER,6226,38656,44882,33567.52581,21349452290.0,36548.94621,81105,364.0
HDFCLIFE,5331,40649,45980,32907.34051,25527826951.0,36536.13502,72688,553.0
COFORGE,3546,17385,20931,32224.66804,16151193290.25,36131.0309425,42348,1880.0
ITC,7021,56406,63427,33154.851555,27137300110.5,36086.069535,173615,270.25
ULTRACEMCO,5724,25672,31396,33772.11618,15328606220.0,35940.62838,52383,11717.0
MARUTI,4526,59570,64096,31057.25737,41256342976.5,35764.387135,77572,13520.0
CUMMINSIND,3186,13154,16340,33265.80572,13928023150.0,35627.63722,32103,5200.0
GLENMARK,3430,14457,17887,31543.9192875,13490868307.5,34797.7523625,36452,2438.3
SWIGGY,5960,19647,25607,31661.9916125,10840513906.5,34729.1344275,55186,286.55
BDL,5335,30870,36205,30533.067685,18368044306.5,34675.06575,30347,1363.0
CANBK,3614,12495,16109,31897.438875,11291922720.0,34002.759825,70735,129.45
HINDUNILVR,4992,39291,44283,30726.71139,24845544642.0,33322.73781,94937,2021.0
UNIONBANK,3438,21886,25324,29066.500155,19033461581.25,33302.4309675,31510,187.52
ICICIGI,6116,4703,10819,32139.9356525,2552497512.5,32478.6457775,23140,1596.9
BANKBARODA,4148,21888,26036,29818.9163025,16077368999.25,32259.285045,73911,242.5
M&M,4337,22079,26416,29907.1001,15493070940.0,32112.8095,87668,3398.2
CROMPTON,5490,18294,23784,28497.09803,10066857172.5,30515.714755,45222,238.25
PNB,2993,11329,14322,28267.3944,10935983360.0,30207.628,45934,116.7
HAL,3573,24445,28018,26487.539985,18704912071.5,29863.4607,66059,4865.5
TVSMOTOR,3334,22047,25381,26140.9376375,17629677723.0,29704.4023675,57824,4464.0
ASIANPAINT,4048,28821,32869,27032.66115,19639136377.5,29658.224925,54120,2626.5
INDUSINDBK,3834,15817,19651,27036.46974,11407395559.0,28906.30533,59609,1004.0
POLICYBZR,3537,27731,31268,23045.214815,18702698955.5,28191.76437,26770,1840.0
COCHINSHIP,4027,20303,24330,25009.3992,12893227888.0,28066.95808,21726,1547.0
KEI,2658,9820,12478,25734.375135,9627298129.75,27591.8814325,14592,5540.0
PNBHOUSING,3229,12128,15357,25237.18704,9823355880.0,27525.93584,19165,1185.0
PERSISTENT,3517,14347,17864,24948.996175,10449183053.75,27317.3267125,35149,5590.5
BEL,4293,20972,25265,25240.195365,12587376191.25,27191.8247775,112461,406.9
NTPC,4873,33105,37978,24693.9339,17286610650.0,26771.6904,110274,334.6
TITAN,2664,20992,23656,23920.67832,18985633609.25,26253.7519125,50242,5100.0
AMBER,3025,16323,19348,22890.38179,12541276688.0,25713.84867,22286,7466.0
SOLARINDS,2261,14213,16474,22848.4341,14862565105.5,25664.335155,26735,20097.0
HYUNDAI,3852,11556,15408,23871.089055,7363482073.75,25470.4847925,17563,2250.0
VOLTAS,5094,21301,26395,23464.5586875,10161588663.75,25468.145325,47142,1217.0
SBICARD,4560,13070,17630,24117.9712,7040995664.0,25383.68784,39908,660.1
LODHA,2953,14551,17504,22642.2559375,11744408325.0,25209.5891875,26368,1265.0
DRREDDY,3222,16175,19397,23858.9403125,12182133862.5,25203.5289375,42445,1182.0
GRASIM,2913,10746,13659,24025.22595,8969800090.0,25199.57685,48808,3299.9
MUTHOOTFIN,2420,17803,20223,21515.90815,16079384827.0,25089.91892,39558,3206.9
BHEL,2024,9081,11105,22378.8035625,10326919365.0,24788.0159625,40379,415.5
LTF,3088,12261,15349,22546.8882,9099263385.0,24644.04705,32136,322.2
NATIONALUM,2943,13972,16915,22106.7800625,10936233937.5,24327.4944375,33884,399.3
TMPV,4313,25774,30087,21911.51744,13623127872.0,24027.19616,96775,313.1
IDFCFIRSTB,2809,11436,14245,22397.47034,9328356292.5,23801.213765,55475,84.4
CIPLA,3619,24393,28012,21815.7608925,14911357147.75,23647.62237,39412,1402.7
NYKAA,2082,5495,7577,22059.243125,5977252593.75,23454.1128125,16821,340.0
MOTILALOFS,2527,14567,17094,20416.1984725,12116202602.75,23389.3295,12843,1040.0
ABCAPITAL,1696,6113,7809,21851.42198,7948234646.0,23241.66844,18774,410.0
UPL,2737,9858,12595,21777.2441495,8001494523.55,23197.311385,32972,589.3
MANAPPURAM,1949,4368,6317,21746.6442,4965356460.0,23140.2588,25824,365.4
GODREJPROP,3062,12820,15882,20735.9386,8970110506.5,22784.023665,33735,2035.1
TECHM,2157,10842,12999,20580.0492,10557283782.0,22210.44702,37270,1571.0
COALINDIA,3798,21836,25634,20582.20449,12224068411.5,22003.221105,96386,403.5
SIEMENS,2735,15947,18682,19431.2687275,11753057806.0,21954.2092875,32093,4043.0
MAHABANK,3657,7414,11071,20451.66045,4344694640.0,21831.12685,3914,85.6
INDUSTOWER,3150,11521,14671,20625.58014,7713352217.0,21758.13731,72343,377.7
BANKINDIA,2602,10501,13103,19930.99576,8185360924.0,21494.785,23242,145.95
ABB,1993,12218,14211,19105.6107625,11992146191.25,21361.697675,21536,7609.0
PFC,4224,15046,19270,19980.42956,7458435465.0,21118.68421,100261,364.1
AUBANK,1686,10429,12115,19031.3761,11931710160.0,20877.0777,31363,1113.5
ATHERENERG,3498,6223,9721,19538.148075,3637169242.5,20868.9405,3597,1494.6
EICHERMOT,2318,18641,20959,18861.7404,15631119960.0,20854.44,50245,8035.0
ONGC,3717,16090,19807,19500.150375,8706530745.0,20690.607825,53542,232.21
WIPRO,3551,20845,24396,18939.0936,11675759760.0,20320.6662,94464,177.35
DLF,2869,10513,13382,18697.21049,7015576121.5,20068.506705,60343,672.5
GMRAIRPORT,2722,6995,9717,18935.466345,5012659777.5,19743.02487,29716,98.85
POWERGRID,3639,15764,19403,18671.05566,8310683676.0,19543.42242,63013,265.2
SHREECEM,2821,11979,14800,17718.595825,7984423909.5,18780.39742,16443,24865.0
BIOCON,1675,6366,8041,17588.379,6804411825.0,18772.49725,30613,417.5
HINDPETRO,2247,6954,9201,17288.4757725,5506545300.75,18385.83603,27748,375.5
SAGILITY,3008,8076,11084,16319.1336,4644616920.0,17930.6628,4482,44.0
BANDHANBNK,2612,9390,12002,16553.68632,6205745844.0,17878.42476,42040,173.5
MOTHERSON,1578,9688,11266,16215.70992,10244290791.0,17710.67283,30725,165.0
BOSCHLTD,1321,9042,10363,16177.785965,11375737953.75,17704.1655025,14559,48895.0
SBILIFE,2398,12803,15201,16107.6759375,8825001112.5,17343.6620625,31612,1768.2
JUBLFOOD,2372,15024,17396,15056.17275,9932509287.5,17267.515625,26386,499.5
BHARATFORG,1527,7071,8598,15573.8775,7415139435.0,16916.37185,24828,2005.0
HDFCAMC,1948,7483,9431,15753.91542,6159966087.0,16844.32629,26910,2667.9
INDIANB,1685,8291,9976,15154.3305,7620425360.0,16766.1841,13952,889.0
APOLLOHOSP,1339,15387,16726,14846.3985125,17329154787.5,16723.0713875,28947,8766.5
RECLTD,2966,9231,12197,15264.3492225,4957754744.25,16204.557915,53513,322.2
NESTLEIND,2115,5860,7975,15523.4094,4386159195.0,16106.15135,24834,1451.5
TRENT,2144,15409,17553,14201.57196,10546387555.5,16071.510015,66011,2908.2
IOC,2156,12350,14506,14776.999575,8655288915.0,16041.519975,42654,139.48
