symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
KALYANKJIL,629.3,15,11.38053097345132,12.04,11.38,40.37,11.27,18.98,20.51710355543464,598.52,660.76,False,0,Strong buy,Retail Trade
ATHERENERG,1495.3,15,23.27287716405605,23.93,23.27,44.09,55.68,5.66,54.94080535040929,1412.89,1570.06,False,1,Strong buy,Consumer Durables
ETERNAL,328.5,14,11.092323300642546,11.75,13.99,69.05,6.76,12.16,7.637761403185143,317.04,344.92,False,0,Buy,Technology Services
GUJTHEM,412.2,14,14.26195426195426,14.92,12.46,52.77,,16.21,17.73896975123865,385.59,432.81,False,0,Buy,Health Technology
TATACAP,376.0,14,6.515580736543909,7.18,6.52,57.47,,7.92,8.304844708520305,363.54,394.8,False,0,Strong buy,Finance
PGIL,2294.8,14,14.448157199142203,15.11,14.45,51.19,,16.97,85.35027149235358,2166.77,2409.54,False,0,Buy,Consumer Non-Durables
ORIENTCER,45.29,14,10.46341463414634,11.12,10.46,52.23,,25.06,2.238790769155829,41.93,47.55,False,0,Strong buy,Non-Energy Minerals
ORIENTBELL,377.2,14,15.847665847665835,16.51,15.85,63.34,,8.7,14.045426863135717,356.13,396.06,False,0,Buy,Producer Manufacturing
AUSOMENT,147.25,14,10.714285714285714,11.37,10.71,59.54,,20.88,7.301436982701246,136.3,154.61,False,0,Buy,Finance
MAHSEAMLES,642.05,14,11.302765016902129,11.96,11.3,59.3,,7.47,17.1594533792417,616.31,674.15,False,2,Strong buy,Non-Energy Minerals
BURNPUR,14.69,14,139.6411092985318,140.3,139.64,71.26,,45.61,1.278890779736066,12.77,15.42,False,0,Buy,Non-Energy Minerals
TITAN,5139.3,14,8.195789473684213,8.86,8.2,56.74,8.34,5.19,81.57730102194502,5016.93,5396.26,False,0,Strong buy,Consumer Durables
ARCHIDPLY,103.04,14,22.82751221838122,23.49,22.83,65.46,,21.1,6.34893712681513,93.52,108.19,False,0,Buy,Producer Manufacturing
PIXTRANS,1863.6,14,4.018754186202277,4.68,4.02,44.86,,12.09,77.21381497692195,1747.78,1956.78,False,0,Buy,Producer Manufacturing
VOLTAMP,11228.5,14,22.328140320296328,22.99,22.33,43.82,,14.56,384.3477190848248,10651.98,11789.92,False,0,Buy,Producer Manufacturing
UNOMINDA,1280.0,14,9.965635738831615,10.63,9.97,65.26,17.44,7.97,27.272684104329358,1239.09,1344.0,False,0,Strong buy,Producer Manufacturing
INDGN,567.35,14,11.67207951973231,12.33,9.87,59.97,,11.22,15.957706641386949,543.41,595.72,False,0,Buy,Health Technology
RRKABEL,2830.1,14,2.912727272727269,3.57,2.91,52.81,,5.43,97.71627962814912,2683.53,2971.6,False,0,Buy,Producer Manufacturing
THELEELA,553.8,14,15.85774058577405,16.52,15.86,66.96,,9.3,18.93808870223132,525.39,581.49,False,0,Buy,Consumer Services
SBCL,1044.2,14,40.68036375884137,41.34,40.68,45.0,,5.83,48.69606371470709,971.16,1096.41,False,0,Strong buy,Non-Energy Minerals
