symbol,company,sector,industry,nse_sector,sector_match_basis,market_cap,cmp,previous_close,ema20,ema50,ema100,ema200,sma20,sma50,sma100,sma200,supertrend,ichimoku_signal,trend_label,trend_score,rsi14,macd,macd_signal,macd_hist,adx14,roc20,stoch_rsi,stoch_rsi_d,williams_r,cci20,momentum_score,volume,avg_volume_10d,avg_volume_30d,relative_volume,delivery_pct,value_traded,turnover_cr,float_pct,obv,cmf,volume_score,support1,support2,resistance1,resistance2,pivot,vwap,atr14,bb_upper,bb_lower,high_1m,low_1m,high_3m,low_3m,high_6m,low_6m,high_52w,low_52w,high_all,nearest_overhead,nearest_overhead_ref,overhead_supply_pct,headroom_to_52w_high_pct,dist_52w_low_pct,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,entry_low,entry_high,stop_loss,target1,target2,target3,risk_reward,rs_rank,return_1m,return_3m,dist_52w_high_pct,volatility_w,volatility_m,beta_1y,rs_vs_nifty_1m,rs_vs_sector_1m,pe,pb,peg,ev_ebitda,roe,roce,debt_equity,revenue_growth,profit_growth,operating_margin,fcf,fundamental_score,revenue_surprise,profit_surprise,eps_growth,margin_expansion,guidance,order_book_growth,earnings_score,promoter_holding,promoter_pledge,fii_holding,dii_holding,mf_holding,insider_buying,institution_score,news_count_7d,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,in_oi_spurt,oi_change_pct,fno_score,pcr,max_pain,atm_iv,liquidity_sweep,smart_money_score,technical_score,fundamental_score_final,earnings_score_final,news_score_final,sector_score,macro_score,risk_score,value_z,momentum_z,quality_z,lowvol_z,growth_z,size_z,composite_factor_z,composite_factor_rank,earnings_within_21d,days_to_earnings,event_risk_score,tech_rating,analyst_rec,price_target_avg
RELIANCE,Reliance Industries Limited,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,17770254000306.0,1302.5,1313.1,,1308.9886080451092,,1356.948328834985,1310.7899999999986,1303.029999999998,1324.8789999999988,1392.050500000001,,,Bearish,0.0,49.18307893076137,-1.842977390659144,-0.8654867329610141,-0.9775,14.862660942281522,-1.0258358662613982,78.14106499960694,55.246038686930895,-45.31249999999992,-20.14436178829996,20,9721454.0,11438155.2,10892594.366666649,0.8821139803001325,54.58,12662193835.0,1266.22,48.6367,,,33,1297.74,1292.97,1312.04,1321.57,1307.27,1307.2666666666669,20.89294155027466,1340.3975598454597,1281.1824401545375,1337.0,1270.1,1345.9,1249.8,1473.4,1249.8,1611.8,1249.8,1611.8,1337.0,1m high,2.65,23.75,4.22,1337.0,1271.0,1249.8,,,,False,10340913.15,0.94,3.393,,1297.28,1307.72,1260.55,1611.8,1653.75,1695.69,7.37,48.0,-0.9505703422053232,-0.153315446531238,-19.19,1.764836979616235,1.570353904117534,0.8565913,2.1,4.78,23.587425593216963,,,9.680843970291075,,,,15.00336391405993,-8.318252305321916,11.096072765804,,20,,,-8.318252305321916,,,,67,,,,,,,,0,,,,,,True,0.78,3.0,,,,,3.0,15,20,67,,6.0,50,40,-0.08,-0.32,0.09,1.04,-0.05,-2.35,0.13,65.0,False,43.0,0.0,Sell,1.083333,1655.791667
BHARTIARTL,Bharti Airtel Limited,Communications,Wireless Telecommunications,,unmapped,11606716948759.0,1869.0,1862.8,,1909.2719560030544,,1904.077973080405,1918.6599999999985,1919.421999999998,1882.5819999999997,1939.3989999999976,,,Bearish,0.0,43.36062175951563,-18.48692203593987,-8.793275085672764,-9.6936,23.501503177756057,-3.956834532374101,41.871538958678265,27.761151010580893,-68.5052399338114,-116.43883048712108,0,3700992.0,6317942.399999997,6632477.066666671,0.5794657680444718,69.67,6917154048.0,691.72,50.7312,,,33,1860.06,1851.13,1873.46,1877.93,1864.53,1864.5333333333333,36.12988083668812,2003.3910191134016,1833.9289808865951,2031.0,1811.9,2031.0,1768.6,2031.0,1740.5,2174.5,1740.5,2174.5,2031.0,1m high,8.67,16.35,7.38,2005.8,1811.9,1811.9,,,,False,6786619.0,0.545,5.765,,1859.97,1878.03,1793.84,2031.0,2106.16,2181.33,2.16,54.0,-5.606060606060606,2.4165707710011457,-14.05,1.858825189632477,1.7782594460254253,0.80721855,-2.56,,39.6374309685191,7.20596010396477,,10.72869757913146,20.5404798700854,9.48810774848296,1.24512607290667,19.630110459091863,-18.80047804538676,32.1100317065312,18.398016430316734,60,,,-18.80047804538676,,,,67,,,,,,,,0,,,,,,True,-0.1,3.0,,,,,3.0,7,60,67,,0.0,50,40,-0.15,-0.22,0.01,1.04,-0.07,-2.35,0.12,63.0,False,63.0,0.0,Sell,1.166667,2318.424242
HDFCBANK,HDFC Bank Limited,Finance,Major Banks,NIFTY_BANK,industry,10802401560536.0,706.65,700.8,,744.7125280997248,,818.3461500329839,721.9675000000007,757.6010000000015,765.5990000000024,843.2862499999983,,,Bearish,0.0,35.725287367343,-12.245819223042758,-11.9902585674626,-0.2556,29.28627330307125,-2.792489167067896,42.78155254549193,45.52456844241036,-80.24242424242429,-139.48287910551926,20,27770641.0,32641095.2,28674077.33333333,0.8781393738247449,59.74,19624123462.65,1962.41,99.624,,,33,703.56,700.48,711.16,715.68,708.08,708.0833333333334,12.489738284771528,739.67646030257,704.2585396974313,741.95,698.5,843.0,698.5,856.8,698.5,1020.5,698.5,1020.5,741.95,1m high,5.0,44.41,1.17,739.75,698.5,698.5,,,,False,26986296.1,1.027,3.361,,703.53,709.77,692.26,739.75,754.14,768.54,2.3,33.0,-6.180297397769526,-6.273625571987542,-30.75,2.24974292285114,1.36523061000675,1.1602966,-3.13,-5.56,13.80715123094959,1.7950258997864208,1.206887427937492,,13.7540298886995,6.82785576408465,0.9333100337634852,1.754463853655062,11.34558903513542,34.982694035678,,80,,,11.34558903513542,,,,67,,,,,,,,0,,,,,,True,-0.99,3.0,,,,,3.0,15,80,67,,39.0,50,50,0.51,-0.63,0.06,0.77,-0.14,-2.35,0.11,62.0,False,46.0,0.0,Sell,1.125,1005.977273
ICICIBANK,ICICI Bank Limited,Finance,Regional Banks,NIFTY_BANK,industry,10248221894531.0,1430.0,1426.5,,1409.7291772923747,,1366.6881145797422,1424.0549999999998,1423.2000000000005,1358.5310000000018,1356.0409999999988,,,Bullish,100.0,51.57867157776312,4.057268204148613,3.897261958252371,0.16,15.919125552523106,0.704225352112676,52.62631023223822,64.21241225587677,-38.4,90.94616639477393,80,10503351.0,8717664.200000037,10124685.533333335,1.2342603862778,56.81,15019791930.0,1501.98,97.1723,,,100,1422.66,1415.33,1444.66,1459.33,1437.33,1437.3333333333333,22.340308548431803,1448.5121032627767,1399.597896737223,1460.0,1391.5,1480.0,1243.1,1480.0,1187.6,1480.0,1187.6,1500.0,1460.0,1m high,2.1,3.5,20.41,1455.0,1391.5,1366.1,,,,False,9156033.1,1.14,3.118,,1424.41,1435.59,1407.66,1480.0,1502.34,1524.68,2.24,73.0,-1.5151515151515151,13.762927605409706,-3.38,1.6469359048004557,1.427122326233131,0.970772,1.53,-0.9,18.485005170630817,2.696194483635108,2.502043056456273,,15.796816290169,9.74115748257219,0.594743890036865,5.080821540326999,7.369882026370579,34.55734059748943,,80,,,7.369882026370579,,,,100,,,,,,,,0,,,,,,True,0.5,3.0,,,,,3.0,92,80,100,,39.0,50,50,-0.03,0.04,0.24,0.89,-0.12,-2.35,0.2,74.0,False,46.0,0.0,Buy,1.054348,1749.608696
SBIN,State Bank of India,Finance,Regional Banks,NIFTY_BANK,industry,9422153490967.0,1023.4,1020.9,,1041.749208523664,,1012.1640333486212,1054.755,1042.7239999999997,1031.859,1039.4520000000002,,,Bearish,17.0,41.3921504016051,-3.2724335504360624,1.328144507398745,-4.6006,13.494786928483803,-2.412510727567471,2.584902154551061,15.22861426583482,-88.1553398058252,-126.192452775231,0,7371804.0,7496056.200000018,9449785.400000015,1.0033937306124066,48.22,7544304213.599999,754.43,44.7923,,,67,1017.66,1011.93,1032.56,1041.73,1026.83,1026.8333333333333,18.477455471382303,1092.4658724375042,1017.044127562496,1124.5,1017.3,1124.5,965.15,1124.5,933.9,1234.7,803.65,1234.7,1124.5,1m high,9.88,20.65,27.34,1124.5,1017.3,1000.8,,,,False,9479285.55,0.778,6.594,,1018.78,1028.02,1004.92,1124.5,1142.98,1161.45,5.47,58.0,-2.310042000763644,4.428571428571427,-17.11,1.815611853204836,1.836394583906876,0.88201565,0.74,-1.69,10.957642725598529,1.518895413661608,2.2182184947002943,,15.092639252993202,6.764459533435691,1.31899282266467,6.557984119640567,4.927771998139533,28.40123439848117,,60,,,4.927771998139533,,,,100,,,,,,,,0,,,,,,True,0.24,3.0,,,,,3.0,20,60,100,,39.0,50,40,0.63,-0.1,-0.11,0.93,-0.08,-2.35,0.26,80.0,False,63.0,0.0,Sell,1.225,1264.731707
TCS,Tata Consultancy Services Limited,Technology Services,Information Technology Services,NIFTY_IT,industry,8484414958496.001,2320.1,2348.0,,2308.5362551745907,,2561.049296163026,2338.4550000000004,2266.868000000003,2296.8090000000025,2613.5509999999936,,,Neutral,50.0,49.77956586034591,7.94843713834598,9.392383531008203,-1.4439,13.421229519629232,0.7862728062554261,62.203767417909866,73.82385165318227,-50.96525096525111,-10.381090207428022,40,1892786.0,2408467.1,3225155.8666666667,0.7808609112979916,46.89,4391452798.599999,439.15,28.210400000000003,,,33,2306.26,2292.43,2343.76,2367.43,2329.93,2329.9333333333325,60.80139979351786,2453.5316435903173,2223.3783564096834,2472.9,2243.9,2495.0,1976.8,2614.0,1976.8,3350.0,1976.8,4592.25,2472.9,1m high,6.59,44.39,17.37,2472.8999,2243.8999,1976.8,,,,False,2664910.55,0.71,4.207,,2304.9,2335.3,2259.3,2472.9,2533.7,2594.5,2.51,54.0,-5.805692014128537,2.527729904105344,-30.74,2.804998192925499,2.44268433058996,1.0403764,-2.76,-4.01,16.856414243056108,7.656750018679023,15.98018608916791,10.951396426107266,47.9890914172003,44.2125262461657,0.104302536644988,7.695160610272186,1.067516881423239,24.8826393193624,16.738768171871424,80,,,1.067516881423239,,,,67,,,,,,,,0,,,,,,True,-0.46,3.0,,,,,3.0,43,80,67,,15.0,50,50,0.36,-0.44,1.27,0.65,-0.12,-2.35,0.34,86.0,False,41.0,0.0,Sell,1.590909,2440.069767
BAJFINANCE,Bajaj Finance Limited,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,6580836582031.0,1049.0,1055.9,,1053.2553464559785,,984.9106331582828,1081.3699999999994,1062.1500000000008,993.0280000000006,977.2612500000012,,,Neutral,50.0,41.3038358982517,-2.4154564689706604,5.198579122107155,-7.614,16.19161621374082,-4.200913242009133,1.9929986433329816,2.178447171665122,-80.33240997229912,-177.29251045589987,0,6626755.0,4784161.2,7631996.833333333,1.381831079157597,67.78,6951465995.0,695.15,43.735,,,67,1041.56,1034.13,1058.06,1067.13,1050.63,1050.6333333333334,22.45431461002074,1111.6826442265208,1051.057355773478,1166.0,1034.8,1176.4,866.5,1176.4,787.9,1176.4,787.9,1176.4,1166.0,1m high,11.15,12.14,33.14,1113.0,1034.8,975.3,,,,False,5312836.1,1.247,4.016,,1043.39,1054.61,1023.57,1113.0,1138.43,1163.85,2.52,80.0,-9.879725085910652,20.022883295194507,-10.83,1.9005145987635568,1.8071198653752851,1.6837479,-6.83,-7.4,32.20755296284925,,2.0196461339820644,16.968502372016257,,,,17.7963262169719,16.05202209157313,43.7952675381863,,40,,,16.05202209157313,,,,100,,,,,,,,0,,,,,,True,3.19,3.0,,,,,3.0,33,40,100,,23.0,50,65,-0.29,0.24,0.74,0.41,-0.01,-2.35,0.22,75.0,False,54.0,0.0,Sell,1.455882,1170.30303
LT,Larsen & Toubro Limited,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,5488536074043.0,3975.0,3981.0,,4005.1825991282312,,3935.546838169489,4049.415000000001,3985.21,4004.3809999999967,3983.0680000000016,,,Bearish,17.0,43.71866959666537,4.420682177285926,19.48456546117769,-15.0639,15.718442435876083,-2.88297092597117,0.2285075957340024,5.8686513137194405,-89.14590747330952,-149.73559445662727,0,940768.0,1213027.000000006,1494534.0000000007,0.768252204349621,51.72,3739552800.0,373.96,84.84089999999999,,,33,3957.44,3939.87,4010.14,4045.27,3992.57,3992.566666666668,55.70947339188818,4125.89995995938,3972.9300400406223,4125.3,3956.7,4272.3,3720.0,4272.3,3288.1,4440.0,3288.1,4440.0,4125.3,1m high,3.78,11.7,20.89,4125.2998,3956.7,3720.0,,,,False,1282203.3,0.733,3.303,,3961.07,3988.93,3919.29,4125.3,4181.01,4236.72,2.7,49.0,-0.8035536035136709,0.3787878787878788,-10.47,1.3256543530090497,1.232892989533954,1.378803,2.25,2.31,32.97386976358358,,7.296200365184462,18.958700025986214,,,,9.778357823020736,4.526142374057053,8.47399986344388,,20,,,4.526142374057053,,,,67,,,,,,,,0,,,,,,True,1.63,3.0,,,,,3.0,13,20,67,,90.0,50,55,-0.19,-0.17,0.04,0.72,-0.14,-2.35,0.05,54.0,False,62.0,0.0,Sell,1.344828,4458.964286
LICI,Life Insurance Corp. of India,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,5167523005371.0,416.9,408.25,,416.4591128518428,,419.6400526286448,413.12000000000097,421.1890000000003,414.8762499999999,417.162499999999,,,Neutral,50.0,50.87300671297998,-0.4883269021869409,-0.7572005343247887,0.2689,11.486179334388089,-1.2670219064535282,18.147171110117032,25.147774822416316,-52.69320843091343,22.609875466395245,40,5101486.0,8816908.1,15077387.533333331,0.4996553039851369,61.24,2126809513.4,212.68,10.0007,,,33,412.94,408.97,418.94,420.97,414.97,414.9666666666667,9.218736383361982,429.3450855158625,396.89491448413946,428.15,385.9,450.2,385.9,450.2,360.75,468.475,360.75,611.0,428.15,1m high,2.7,12.37,15.56,428.15,391.1,385.9,,,,False,14286858.75,0.357,4.383,,414.6,419.2,407.68,468.48,477.69,486.91,5.59,59.0,6.352040816326525,5.304369790351099,-11.01,2.082544755021454,2.126349719596165,1.1365081,9.4,8.83,8.777876970758658,,0.3691605552102205,,,,,10.528036912872963,23.284584754517933,5.81197705184635,,40,,,23.284584754517933,,,,67,,,,,,,,0,,,,,,True,-0.33,3.0,,,,,3.0,43,40,67,,23.0,50,50,1.47,-0.18,0.01,0.63,-0.13,-2.35,0.36,87.0,False,64.0,0.0,Buy,1.1875,536.541667
HINDUNILVR,Hindustan Unilever Limited,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,4642792425781.0,1962.0,1975.0,,2079.590682883884,,2207.8308498597657,2031.3800000000017,2095.3920000000003,2155.899999999999,2229.255466507105,,,Bearish,0.0,33.66782292535768,-35.0317660380781,-31.057561726282657,-3.9742,35.852046313140725,-2.630272952853598,33.839864978714324,25.50637542384688,-98.19121447028432,-142.17385376075725,20,1638341.0,1131406.8000000005,1646175.6666666672,1.479021138739237,66.22,3214425042.0,321.44,37.735600000000005,,,67,1954.96,1947.93,1973.96,1985.93,1966.93,1966.9333333333332,31.397902399875733,2109.68945281348,1953.0705471865235,2099.4,1959.9,2239.3,1959.9,2408.0,1959.9,2631.48547263,1959.9,2987.97501195,2099.4,1m high,7.0,34.12,0.11,2099.3999,1959.9,1959.9,,,,False,1144115.35,1.431,5.2,,1954.15,1969.85,1930.6,2099.4,2130.8,2162.2,4.38,33.0,-7.413524609504031,-5.975942876311872,-25.44,1.2694247364236635,1.229333478940092,0.43515915,-4.36,0.04,30.827826119747723,,0.8055235462169533,30.335135091675923,,,,3.8261794518833687,38.524122740193526,20.9554946213879,,60,,,38.524122740193526,,,,67,,,,,,,,0,,,,,,True,3.68,3.0,,,,,3.0,21,60,67,,33.0,50,30,0.11,-0.58,0.33,1.28,-0.09,-2.35,0.21,75.0,False,55.0,0.0,Strong sell,1.418919,2458.5
