symbol,company,sector,industry,country,currency,fundamental_currency_code,type,typespecs,number_of_employees,total_shares_outstanding_fundamental,float_shares_percent_current,close,open,high,low,change_pct,change_abs,gap,vwap,value_traded,price_52_week_high,price_52_week_low,high_all,high_1m,low_1m,high_3m,low_3m,high_6m,low_6m,volume,average_volume_10d_calc,average_volume_30d_calc,average_volume_90d_calc,rel_volume,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,perf_1y,perf_5y,perf_all,volatility_d,volatility_w,volatility_m,ATR,beta_1_year,beta_3_year,sma20,sma50,sma100,sma200,ema50,ema200,RSI,RSI7,momentum,awesome_osc,CCI20,stoch_k,stoch_d,stoch_rsi_k,stoch_rsi_d,macd,macd_signal,ADX,adx_plus_di,adx_minus_di,williams_r,ROC,UO,BBPower,bb_upper,bb_lower,recommend_all,recommend_ma,recommend_other,tech_rating,ma_rating,osc_rating,candle_patterns,market_cap,pe,price_earnings_growth_ttm,pb,price_sales_current,price_free_cash_flow_ttm,enterprise_value_ebitda_ttm,enterprise_value_fq,price_to_cash_f_operating_activities_ttm,roe,return_on_assets,return_on_invested_capital,gross_margin,operating_margin,net_margin,pre_tax_margin,debt_to_equity,total_debt_to_total_equity_fq,current_ratio,quick_ratio,div_yield,dividends_yield,dividend_payout_ratio_ttm,recommendation_mark,price_target_1y,price_target_average,number_of_analyst_opinions_fq,eps_ttm
RELIANCE,Reliance Industries Limited,Energy Minerals,Oil Refining/Marketing,India,INR,INR,stock,common,,13532500000.0,48.629099999999994,1309.5,1323.1,1324.2,1301.9,-0.9455370650529501,-12.5,0.08320726172465272,1311.8666666666668,13370678559.0,1611.8,1249.8,1611.8,1333.0,1271.0,1345.9,1249.8,1473.4,1249.8,10210522,12491156.999999998,11101325.166666647,14174358.633333342,0.8370775060120367,2.4086963322123998,-0.7954545454545454,3.1914893617021276,-8.098813951856277,-16.788460316451676,-3.9251650770359503,18.716428187392292,8103.782077103512,1.712881173669249,1.9476877023686003,1.4226901485966643,21.630648581614373,0.83482224,1.0101416,1309.2599999999989,1303.277999999998,1324.601999999999,1390.022000000001,1309.4989034664773,1356.1319217394184,51.008116792008366,52.0385424881888,-0.2999999999999545,6.5520588235315245,25.3450915051447,66.34744623655918,66.98090900039828,79.14329814809113,80.63772380226712,0.11167757280099977,-0.5618319313523698,13.551428325980302,18.558747667478038,17.02931474369158,-37.903225806451616,-0.5694760820045558,53.31274043207856,13.253423018942385,1336.1467551035598,1282.3732448964379,0.13333333333333333,0.26666666666666666,0.0,Buy,Buy,Neutral,,17890016640625.0,23.71419102826688,,,1.5930320420638358,,9.746088025574604,,,,,,25.4599284986043,11.096072765804,6.65390386045207,10.3864904212171,,,,,0.453857791225416,0.45385779122541603,0.0,1.083333,1655.833333,1655.833333,,55.2201
BHARTIARTL,Bharti Airtel Limited,Communications,Wireless Telecommunications,India,INR,INR,stock,common,91130.0,6238153415.0,50.74249999999992,1854.0,1845.0,1855.5,1830.4,0.7608695652173914,14.0,0.2717391304347826,1846.633333333333,11072937132.0,2174.5,1740.5,2174.5,2005.8,1811.9,2031.0,1768.6,2031.0,1740.5,5972458,6747285.399999997,6628239.9666666705,7814551.688888889,0.9364522851901336,-1.3829787234042554,-4.3491719548057555,0.9254218835057159,0.7061379684953829,-12.332135426517882,-1.7488076311605723,187.07131823416063,7826.083818462069,1.37128496503496,1.258061137127913,1.6216379862832446,34.98188704796066,0.81528974,0.95199996,1908.2149999999988,1919.465999999998,1882.2559999999994,1936.8044999999977,1904.4944122888633,1902.9484372158392,42.2098223360152,40.897950961838646,-81.0,-66.98617647058586,-112.15325347479028,26.649166042168115,27.569737708307755,46.307030839101905,43.030758023711066,-21.91000271518078,-13.396529913085226,26.089798822779002,11.708268260531165,29.83585091156851,-70.55944055944062,-4.776579352850539,44.26854422203735,-76.20013172603922,1999.6369946183236,1816.793005381674,-0.4,-0.8,0.0,Sell,Strong sell,Neutral,,11488834617188.0,39.31931354501574,,7.148127358347075,5.216742895814716,18.250359797649665,10.63449616440331,13373608858198.5,10.394966535583782,20.5404798700854,5.32214006549162,9.48810774848296,43.0973877217514,32.1100317065312,13.1401008773943,21.8365611706104,1.24512607290667,,0.570058118141257,0.570058118141257,1.30293159609121,1.3029315960912053,0.0,1.166667,2318.424242,2318.424242,,47.1524
HDFCBANK,HDFC Bank Limited,Finance,Major Banks,India,INR,INR,stock,common,211206.0,15414200000.0,99.624,710.5,712.1,713.0,707.05,-0.2246875438842891,-1.6000000000000227,0.0,710.1833333333333,8654167095.0,1020.5,698.5,1020.5,739.75,698.5,843.0,698.5,848.9,698.5,12180390,31564121.0,27779137.433333334,33661136.12222222,0.3868397211902283,-1.7357029251089076,-3.069577080491132,-3.915072012982628,-15.91715976331361,-28.48515349773528,-26.56330749354005,-9.056,30101.912858661,0.8415246446503141,1.2607742678155398,1.3078351775022816,11.847529439420354,1.1567376,1.0693173,719.9975000000006,754.1490000000016,763.7790000000024,840.4684999999981,742.1420914907494,816.2263975509566,39.061133965931965,42.454409755356735,-18.5,-22.090735294119213,-93.9445387662694,27.27272727272727,21.99326599326596,83.8618797942118,61.087677971145375,-11.214051358791608,-11.783825224586492,25.597825428876703,20.869016393801193,22.324951231781643,-70.9090909090909,-2.336769759450172,43.39234136603531,-11.109363761036548,737.6390270030331,702.3559729969681,-0.4454545454545455,-0.8,-0.09090909090909091,Sell,Strong sell,Neutral,,10992597548783.0,13.882375928096913,1.2263477988502969,1.804805634753063,3.5438092910703625,,,15833395198155.6,,13.7540298886995,1.67621507569694,6.82785576408465,,34.982694035678,25.4789617292066,21.8931978684133,0.9333100337634851,,,,1.82289840846947,1.8228984084694664,0.0,1.125,1005.977273,1005.977273,,51.18
ICICIBANK,ICICI Bank Limited,Finance,Regional Banks,India,INR,INR,stock,common,124324.0,7177220000.0,97.17229999999999,1427.5,1428.0,1434.4,1422.6,0.30213603147835544,4.2999999999999545,0.33726812816188545,1428.1666666666667,11470120952.5,1480.0,1187.6,1500.0,1454.0,1391.5,1480.0,1271.3,1480.0,1187.6,8035111,9203324.900000036,9899678.400000004,13814651.766666675,0.8997355597824778,0.3303345515884204,-1.6195727084769125,13.745019920318725,9.807692307692308,6.220700945010782,1.1693834160170091,98.0163629347659,22332.14216495104,0.8294671727822426,1.2627235152700795,1.2916796176027512,21.22659257492334,0.966912,0.8397411,1423.95,1424.7120000000004,1360.0460000000014,1356.5344999999986,1410.9336234828882,1367.8499201869354,50.796538574468755,49.21124363173901,12.5,2.570882352937815,31.215161649936928,56.640000000000015,58.91555555555556,43.29311969625286,46.206270051069254,2.889693412431143,3.5891332538138334,15.674099570760132,21.217538779816966,15.960419865284122,-42.4,0.33738665916918215,46.4967735568245,0.03952621018152058,1448.1731707256467,1399.7268292743533,0.24545454545454548,0.4,0.09090909090909091,Buy,Buy,Neutral,doji,10213190619141.0,18.452688728024818,2.4962549442331357,2.6914808569154665,4.522388207954717,,,10455588268388.9,,15.796816290169,1.9781250638936703,9.74115748257219,,34.55734059748943,24.576229932956462,24.9460622690272,0.594743890036865,,,,0.84328882642305,0.8432888264230498,0.0,1.054348,1751.021739,1751.021739,,77.36
SBIN,State Bank of India,Finance,Regional Banks,India,INR,INR,stock,common,245131.0,9230620000.0,44.7923,1005.9,1020.8,1021.7,1000.6,-1.003838204901097,-10.200000000000045,0.46255289833677116,1009.4000000000002,10280299005.9,1234.7,805.6,1234.7,1113.3,1000.6,1124.5,993.0,1124.5,933.9,10220001,7650272.3000000175,9351602.466666685,12776615.855555516,1.3599303481534424,-3.3903188628505636,-6.869734283862599,2.1218274111675104,-9.65511047242681,2.308787632221311,23.955637707948238,133.36040443940155,5511.126978035219,2.1087347591445154,1.7965453077157576,1.5712280531838347,18.308112115630667,0.8965335,1.1086235,1047.4450000000002,1041.5339999999999,1030.7285,1039.8560000000004,1039.3769510439513,1012.1404788158401,36.11065069733172,25.23550614627979,-33.60000000000002,-18.849117647058392,-186.2456816903696,6.811537190602823,7.516391803599482,2.584902154551058,2.584902154551059,-7.241215931982197,-1.410059902560435,13.799642773252362,17.529934751573613,27.194507459006747,-91.41004862236636,-4.017175572519085,40.517414487607496,-45.643637826108375,1087.0868200893558,1007.8031799106445,-0.5121212121212121,-0.9333333333333333,-0.09090909090909091,Strong sell,Strong sell,Neutral,,9387538672852.0,10.770268533984325,2.207789021907111,1.4929225098712249,2.323310735045494,,,14389120122580.602,,15.092639252993202,1.08799744440529,6.764459533435691,,28.401234398481172,21.354986219011355,16.2840427460297,1.31899282266467,,,,1.70599803343166,1.7059980334316618,0.0,1.225,1263.047619,1263.047619,,93.396
TCS,Tata Consultancy Services Limited,Technology Services,Information Technology Services,India,INR,INR,stock,common,584519.0,3618090000.0,28.210400000000003,2270.0,2290.1,2299.9,2260.1,-1.4756944444444444,-34.0,-0.603298611111115,2276.6666666666665,5215440770.0,3350.0,1976.8,4592.25,2472.9,2243.9,2495.0,1976.8,2614.0,1976.8,2297551,2533707.2,3146585.2666666666,4406737.922222222,0.9346384325206438,-3.0742954739538857,-4.421052631578948,4.415823367065317,-9.493241896256128,-29.393468118195955,-26.70562784540376,-41.25258799171843,1414.9745557687495,1.942391929560643,2.1311484181467706,2.263159025746603,59.64049267910469,1.0427408,1.1580292,2323.2350000000006,2274.4960000000033,2292.274000000002,2605.379999999993,2306.8541132926534,2555.6210286218657,44.59986225280263,37.06612074296753,-14.099999999999909,-16.433823529414894,-90.65173281389342,34.83483483483473,50.636350636350535,30.339324119248023,46.66954123982035,0.2833170404537668,6.900525715330048,12.367939551347503,20.333712931971842,25.22294907149465,-83.20463320463327,-1.141015590976388,57.01023429216904,-77.74329789889998,2419.9715758129214,2226.4984241870798,-0.603030303030303,-0.9333333333333333,-0.2727272727272727,Strong sell,Strong sell,Sell,,8324856950724.0,16.492418573224157,15.680727746781459,7.491410948839009,3.0218603132295865,16.3773129391613,10.736007438982707,6987640915987.9,15.243807613237314,47.9890914172003,28.407061977696003,44.2125262461657,30.7907300468718,24.8826393193624,18.0523383322639,24.0891179914377,0.104302536644988,,2.23725008194035,2.2330383480826,2.82498152896693,2.824981528966926,47.22498710394583,1.590909,2440.069767,2440.069767,,137.639
BAJFINANCE,Bajaj Finance Limited,Finance,Finance/Rental/Leasing,India,INR,INR,stock,common,155369.0,6221354471.0,43.735,1060.0,1064.0,1070.0,1054.3,-0.04714757190004715,-0.5,0.33003300330033003,1061.4333333333334,3802071600.0,1176.4,787.9,1176.4,1107.0,1034.8,1176.4,868.5,1176.4,787.9,3586860,4999537.0,7082364.5,8733815.6,0.706755598000641,-0.8789975687301375,-4.761904761904762,19.63882618510158,13.709504398197806,7.265735681036222,12.526539278131635,40.790821246009656,74547.88837532236,1.4891397135540212,1.7674218502978434,1.630442022202559,21.45091412802808,1.6863637,1.0406698,1078.3849999999998,1065.3110000000008,996.1120000000005,977.6372500000014,1053.792805398233,986.4024401302235,45.72472574424981,40.28515828077871,-17.0,-27.977352941176377,-83.48736167454463,30.055401662049906,26.116189596799114,21.550072523301235,12.128159362074777,-3.5503288297661584,2.129200834069329,16.719284980359223,18.91303313651124,26.804629907637832,-65.09695290858721,-2.5197719330513233,48.51410764453256,-12.98429877887861,1109.5717455820682,1047.1982544179314,-0.02121212121212121,-0.13333333333333333,0.09090909090909091,Neutral,Sell,Neutral,spinning_top_black,6602627431641.0,32.54528707399447,2.028444668139008,,7.673803791703596,,17.024689465964943,,,,,,59.75380029723241,43.7952675381863,23.5626552050604,32.0039420547659,,,,,0.565770862800566,0.5657708628005658,0.0,1.455882,1170.30303,1170.30303,,32.57
LT,Larsen & Toubro Limited,Industrial Services,Engineering & Construction,India,INR,INR,stock,common,437442.0,1375870000.0,84.84089999999999,3999.0,3962.0,4004.9,3960.9,0.8804016043994877,34.90000000000009,-0.05297545470598393,3988.2666666666664,5025475317.0,4440.0,3288.1,4440.0,4125.3,3956.7,4272.3,3720.0,4272.3,3288.1,1256683,1207760.100000006,1465448.7000000007,1978223.3999999997,1.0308780325262077,-0.8946494510668859,-1.0173015519417814,1.8879461897118375,3.074980024228682,-2.2249388753056234,11.30594522378089,136.04060913705584,7098.171217392571,1.110858643237648,1.1641662016820593,1.2013574160389866,53.22092348586278,1.3837942,1.1847869,4040.7700000000004,3976.8399999999992,4003.705999999997,3982.723000000002,4003.392241640478,3936.4594970013104,47.87046177125172,44.77962863162298,-91.0,-4.445882352940316,-112.6793875353232,13.44404903123771,10.889021134699115,8.951397811782412,3.1361376677501354,-1.8459500120648045,11.99560948618614,14.550633494131974,17.287927225068394,19.225403397440566,-74.91103202846969,-2.9133284777858703,46.88843925313372,-61.25446533563263,4126.322956699419,3955.217043300582,-0.04242424242424242,-0.26666666666666666,0.18181818181818182,Neutral,Sell,Buy,,5456684908447.0,33.172957279137286,7.265226794179282,,1.8801695557951388,,18.84867857657489,,,,,,12.942366252812898,8.47399986344388,6.18101171676993,9.93655310507828,,,,,0.958144225920323,0.9581442259203228,0.0,1.344828,4458.964286,4458.964286,,120.55
LICI,Life Insurance Corp. of India,Finance,Life/Health Insurance,India,INR,INR,stock,common,84565.0,12649995000.0,10.0007,411.5,418.7,419.6,410.25,-0.9269290959431858,-3.8500000000000227,0.8065486938726293,413.78333333333336,1108932832.5,468.475,360.75,611.0,428.15,392.15,450.2,385.9,450.2,360.75,2694855,7536485.3,15283370.266666668,7944608.111111111,0.32266572967638923,-1.555023923444976,4.587622315414922,3.743854783814452,0.243605359317905,-3.742690058479532,-6.440061388052064,-5.6192660550458715,-5.6192660550458715,2.2790981109079884,1.657296860177379,2.0282508322279442,8.881971677490691,1.1388202,1.4355037,415.1125000000011,420.6340000000003,414.91574999999983,416.73474999999894,416.222848887841,419.5167947364413,46.81021463019841,44.17203657042954,-10.350000000000023,-0.24955882352981007,-22.861981371719278,36.45589383294302,32.13706472183902,40.570609976713435,30.634323661721737,-0.7048176749520394,-0.6960235559317953,10.637764431759694,17.815362500412245,21.88525325987919,-77.98594847775178,-2.94811320754717,49.564318786400996,0.4901542221291493,424.8497930014747,405.37520699852746,-0.5575757575757576,-0.9333333333333333,-0.18181818181818182,Strong sell,Strong sell,Sell,,5252910472412.0,8.664179355881958,0.37558073877909387,,0.5286601223152969,,,,,,,,,5.81197705184635,6.04511300285868,5.4431437946215,,,,,2.40818783865141,2.408187838651415,0.0,1.1875,536.541667,536.541667,,47.4944
HINDUNILVR,Hindustan Unilever Limited,Consumer Non-Durables,Household/Personal Care,India,INR,INR,stock,common,24989.0,2349590000.0,37.735600000000005,1960.0,1972.0,1974.2,1958.0,-0.679031113813727,-13.400000000000091,-0.07094354920442338,1964.0666666666664,1397591720.0,2625.87378974,1950.4,2987.97501195,2097.0,1950.4,2239.3,1950.4,2408.0,1950.4,713057,1252556.6000000006,1668110.466666667,1789406.6333333338,0.5612995604423283,-2.053870371295783,-5.909461859728285,-7.534085012029997,-10.510455666149202,-15.590008613264427,-25.369371882243268,-28.607668210668457,3100.7180639836106,0.8273748723186949,1.157411832200225,1.2060280378966228,30.471660742749997,0.44048664,0.9007593,2018.8900000000017,2087.5500000000006,2152.385999999999,2225.0349107567054,2070.8998191480987,2203.0554363826786,34.67099141772124,31.096538648555494,-70.0,-86.13441176470906,-127.63897722220503,10.750771689462452,10.955202575168679,40.68659299642224,37.69089719337311,-35.496918641958246,-32.56283522132799,38.46447478151059,8.546605748693123,29.28391130443706,-90.54187192118236,-3.1716233573757555,40.06641648805055,-60.7630651967072,2094.662050255671,1943.1179497443322,-0.5363636363636364,-0.8,-0.2727272727272727,Strong sell,Strong sell,Sell,,4638093243164.0,30.796401220543085,0.8048709701795117,,6.985692283771947,,30.304431513649135,,,,,,43.5863440503812,20.9554946213879,15.7893150932594,21.1814867267303,,,,,2.07700101317123,2.077001013171226,0.0,1.434211,2408.702703,2408.702703,,63.6438
