symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,233.53,194.05,182.0,,,,False,226213.55,0.189,4.184,,4431
21STCENMGM,43.92,37.36,31.51,,,,False,3771.5,0.65,6.431,,2149
360ONE,1208.0,1037.1,1037.1,,,,False,755688.4,2.053,6.39,,1739
3BBLACKBIO,1588.9,1283.2,1099.5,,,,False,18673.05,0.1,4.512,,110
3IINFOLTD,26.27,21.7,18.01,,,,False,258453.3,0.098,5.07,,5291
3MINDIA,35095.0,31500.0,31500.0,,,,False,4000.1,0.329,3.968,,6016
3PLAND,34.88,28.51,28.51,,,,False,7701.0,0.023,3.988,,4571
5PAISA,377.05,307.2,307.2,,,,False,41340.95,0.161,6.524,,2190
63MOONS,945.0,739.1,677.0,,,,False,487233.05,0.335,4.552,,5251
A2ZINFRA,17.12,14.52,12.0,,,,False,200588.35,0.055,3.688,,3888
AAATECH,98.4,83.8,83.8,,,,False,55200.45,0.077,4.174,,1452
AADHARHFC,488.0,440.15,440.15,,,,False,320318.8,0.075,3.612,,589
AAKASH,9.98,8.18,8.06,,,,False,114416.85,0.271,4.165,,2068
AAREYDRUGS,103.99,75.35,73.41,,,,False,236190.1,0.057,6.87,,1270
AARNAV,34.8,28.32,25.62,,,,False,11719.1,0.024,3.589,,142
AARON,142.0,115.0,111.15,,,,False,12817.65,0.147,3.519,,1980
AARTECH,53.48,46.87,44.85,,,,False,39546.8,0.145,3.213,,794
AARTIDRUGS,444.0,409.95,401.0,444.0,409.95,20.0,False,138960.05,0.741,2.386,-0.912,5701
AARTIIND,543.0,459.55,459.55,,,,False,555507.4,0.141,5.771,,6022
AARTIPHARM,957.3,765.0,650.8,,,,True,675247.7,2.318,4.857,,905
AARTISURF,554.9,487.0,374.3,554.9,487.0,20.0,False,16292.55,0.074,2.782,-7.344,1537
AARVI,155.38,134.5,134.5,,,,False,16319.2,0.102,5.348,,2215
AASTHA,88.79,71.72,70.0,,,,False,843230.4,1.861,4.166,,58
AATMAJ,19.7,18.05,16.7,,,,False,2500.0,0.8,4.162,,798
AAVAS,1342.6,1234.2,1234.2,,,,False,135565.7,0.131,3.577,,1970
ABAN,15.74,14.04,14.04,,,,False,18338.8,0.145,3.713,,5987
