identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY29-09-2026PE23100.00,Index Options,NIFTY,29-Sep-2026,Put,23100,117.6,2387073,162064.3536525,233684.0,23053.95,-3.0103092783505154
OPTIDXNIFTY29-09-2026PE23000.00,Index Options,NIFTY,29-Sep-2026,Put,23000,77.0,2059133,91535.66881549999,294030.8461538461,23053.95,-6.1547836684948205
OPTIDXNIFTY29-09-2026CE23100.00,Index Options,NIFTY,29-Sep-2026,Call,23100,105.65,1806312,146539.770468,263803.0,23053.95,-19.71884498480243
OPTIDXNIFTY29-09-2026PE23050.00,Index Options,NIFTY,29-Sep-2026,Put,23050,95.65,1762760,98228.91962,156978.0,23053.95,-4.158316633266533
OPTIDXNIFTY29-09-2026CE23200.00,Index Options,NIFTY,29-Sep-2026,Call,23200,62.75,1288869,64139.276916,270085.0,23053.95,-26.133019423190113
OPTIDXNIFTY29-09-2026CE23150.00,Index Options,NIFTY,29-Sep-2026,Call,23150,82.05,998248,64263.213248,134789.0,23053.95,-23.210107627515207
OPTIDXNIFTY29-09-2026CE23300.00,Index Options,NIFTY,29-Sep-2026,Call,23300,34.6,900533,25591.346794,227614.0,23053.95,-33.010648596321396
OPTIDXNIFTY29-09-2026PE22900.00,Index Options,NIFTY,29-Sep-2026,Put,22900,48.5,875824,24507.74508,129158.0,23053.95,-10.10194624652456
OPTIDXNIFTY29-09-2026CE23050.00,Index Options,NIFTY,29-Sep-2026,Call,23050,133.05,794339,79673.3932085,85610.0,23053.95,-17.076971019009036
OPTIDXNIFTY29-09-2026CE23000.00,Index Options,NIFTY,29-Sep-2026,Call,23000,164.4,750364,91679.848702,106804.0,23053.95,-14.106583072100314
OPTIDXNIFTY29-09-2026PE23150.00,Index Options,NIFTY,29-Sep-2026,Put,23150,144.3,747485,62171.31739,65492.0,23053.95,-0.5513439007580979
OPTIDXNIFTY29-09-2026PE23200.00,Index Options,NIFTY,29-Sep-2026,Put,23200,174.65,728212,74030.03192,98902.0,23053.95,0.08595988538681948
OPTIDXNIFTY29-09-2026CE23250.00,Index Options,NIFTY,29-Sep-2026,Call,23250,47.0,679159,25966.286046999998,163316.0,23053.95,-29.216867469879517
OPTIDXNIFTY29-09-2026PE22800.00,Index Options,NIFTY,29-Sep-2026,Put,22800,30.6,671837,11982.884732,149567.0,23053.95,-14.044943820224718
OPTIDXNIFTY29-09-2026CE23500.00,Index Options,NIFTY,29-Sep-2026,Call,23500,10.15,639656,5334.411212,248521.0,23053.95,-44.38356164383562
OPTIDXNIFTY29-09-2026PE22950.00,Index Options,NIFTY,29-Sep-2026,Put,22950,60.95,632121,22524.367593000003,77472.0,23053.95,-8.138658628485306
OPTIDXNIFTY29-09-2026CE23400.00,Index Options,NIFTY,29-Sep-2026,Call,23400,18.45,595353,9163.673376,186852.0,23053.95,-40.19448946515397
OPTIDXNIFTY29-09-2026CE24000.00,Index Options,NIFTY,29-Sep-2026,Call,24000,2.05,484992,702.9959040000001,255395.0,23053.95,-45.333333333333336
OPTIDXNIFTY29-09-2026PE22850.00,Index Options,NIFTY,29-Sep-2026,Put,22850,38.05,438633,9710.895987,79464.0,23053.95,-12.528735632183908
OPTIDXNIFTY29-09-2026CE23350.00,Index Options,NIFTY,29-Sep-2026,Call,23350,25.25,432606,9040.383885,92584.0,23053.95,-36.477987421383645
