symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
ZENITHEXPO,2026-08-28,214.78,214.78,1,1,100.0,0.0,1
TAKE,2026-08-28,16.98,16.14,60299,60299,100.0,9.73,283
LAKSHMIMIL,2026-08-28,8298.0,8370.0,9,9,100.0,0.75,7
SIMPLXREA,2026-08-28,130.4,136.0,3,3,100.0,0.0,3
CRAVATEX,2026-08-28,332.6,328.3,25,25,100.0,0.08,6
SHERVANI,2026-08-28,321.45,306.5,219,219,100.0,0.67,44
SAYAJIIND,2026-08-28,117.49,116.97,904,904,100.0,1.06,10
TOKYOPLAST,2026-08-28,77.25,77.24,210,210,100.0,0.16,4
EMPOWER,2026-08-28,2.23,2.12,1655980,1655980,100.0,35.11,1077
UEL,2026-08-28,180.32,189.33,2841,2841,100.0,5.38,43
GANGESSECU,2026-08-28,117.71,116.81,194,194,100.0,0.23,5
GKB,2026-08-28,65.0,62.5,476,476,100.0,0.3,11
PARNAXLAB,2026-08-28,123.41,128.4,1555,1555,100.0,1.98,20
GRAVISSHO,2026-08-28,30.85,30.0,82,82,100.0,0.02,8
UPHOT,2026-08-28,1397.0,1464.9,16,16,100.0,0.23,4
VASUPRADA,2026-08-28,94.0,94.5,50,50,100.0,0.05,6
MUKESHB,2026-08-28,145.95,145.83,828,828,100.0,1.21,13
MSL,2026-08-28,147.0,147.0,10,10,100.0,0.01,1
INDOTHAI,2026-08-28,48.61,46.18,276690,276690,100.0,127.78,1006
MASKINVEST,2026-08-28,146.3,145.0,7,7,100.0,0.01,3
BLUECHIP,2026-08-28,2.1,2.14,11621,11621,100.0,0.25,15
SWARNSAR,2026-08-28,34.57,34.41,530,530,100.0,0.18,9
CALSOFT,2026-08-28,33.81,35.5,90695,90695,100.0,32.2,238
LADDERUP,2026-08-28,52.1,50.9,10,10,100.0,0.01,1
YOGI,2026-08-28,165.38,165.4,513,513,100.0,0.85,6
REGENCERAM,2026-08-28,33.0,33.0,501,500,99.8,0.17,10
NORBTEAEXP,2026-08-28,67.3,69.0,456,455,99.78,0.31,14
ACEINTEG,2026-08-28,17.38,17.44,404,403,99.75,0.07,11
KANCOTEA,2026-08-28,56.35,55.95,283,282,99.65,0.16,10
CFEL,2026-08-28,31.63,31.0,17757,17649,99.39,5.56,64
QUINT,2026-08-28,40.26,40.74,5809,5772,99.36,2.36,71
VIJSOLX,2026-08-28,696.0,690.0,255,253,99.22,1.76,18
SHBAJRG,2026-08-28,171.19,171.98,1673,1654,98.86,2.88,32
MEDICAPQ,2026-08-28,25.5,25.91,1313,1298,98.86,0.34,38
SAPPL,2026-08-28,288.0,286.45,406,401,98.77,1.16,21
ENKEIWHEL,2026-08-28,396.95,400.0,8474,8368,98.75,33.56,45
ARTNIRMAN,2026-08-28,39.7,39.84,1005,991,98.61,0.41,18
UDAYJEW,2026-08-28,143.28,137.96,1601,1575,98.38,2.26,32
SHILGRAVQ,2026-08-28,169.0,170.07,1773,1744,98.36,3.0,17
IPRINGLTD,2026-08-28,138.64,145.0,1192,1172,98.32,1.7,44
SHYAMTEL,2026-08-28,13.1,13.87,1595,1568,98.31,0.22,24
ARCL,2026-08-28,232.0,226.22,114,112,98.25,0.27,8
SRD,2026-08-28,39.62,40.24,6863,6741,98.22,2.75,66
BENARAS,2026-08-28,10200.0,10122.0,167,164,98.2,16.71,24
INFOMEDIA,2026-08-28,5.11,5.33,110,108,98.18,0.01,11
SURYALA,2026-08-28,382.15,378.6,266,261,98.12,1.01,16
SUKHJITS,2026-08-28,162.32,159.0,8220,8058,98.03,13.15,277
ODIGMA,2026-08-28,22.73,23.0,15757,15421,97.87,3.6,220
ADDIND,2026-08-28,86.7,84.0,88,86,97.73,0.07,17
PREMCO,2026-08-28,384.35,381.2,117,114,97.44,0.45,19
RVTH,2026-08-28,736.3,736.45,500,487,97.4,3.64,43
ATLASCYCLE,2026-08-28,96.28,96.11,3218,3134,97.39,3.09,88
BEEKAY,2026-08-28,427.25,424.2,6911,6698,96.92,29.46,50
JAIPURKURT,2026-08-28,26.33,26.78,4902,4747,96.84,1.32,26
SRIKPRIND,2026-08-28,20.65,20.99,5608,5425,96.74,1.18,24
GTPL,2026-08-28,53.95,53.54,383813,370985,96.66,207.19,514
ASIANHOTNR,2026-08-28,312.05,315.95,98958,95641,96.65,310.47,499
SAHLIBHFI,2026-08-28,75.0,76.84,1739,1676,96.38,1.33,125
AUSOMENT,2026-08-28,147.25,148.24,5076,4877,96.08,7.52,183
PRAXIS,2026-08-28,4.98,4.96,132169,126716,95.87,6.63,210
WIPL,2026-08-28,163.54,167.89,652,625,95.86,1.08,14
ELITECON,2026-08-28,11.78,11.2,1116613,1070022,95.83,125.06,3079
ORICONENT,2026-08-28,55.4,55.82,329836,315478,95.65,184.62,771
HRYNSHP,2026-08-28,99.86,99.9,22,21,95.45,0.02,5
MMWL,2026-08-28,14.97,14.81,9034,8612,95.33,1.35,109
RETAIL,2026-08-28,17.11,17.64,1474,1405,95.32,0.27,42
RNBDENIMS,2026-08-28,9.37,9.83,166097,158320,95.32,16.21,189
WEIZMANIND,2026-08-28,75.6,74.09,1916,1826,95.3,1.43,73
THEJO,2026-08-28,2093.6,2060.6,30486,29044,95.27,632.34,642
AMARJOTHI,2026-08-28,160.0,162.4,377,359,95.23,0.59,18
OSWALAGRO,2026-08-28,36.86,37.65,72768,68808,94.56,27.23,425
SURAJLTD,2026-08-28,214.0,209.89,1428,1350,94.54,3.01,39
OBCL,2026-08-28,56.16,55.4,774,730,94.32,0.43,29
CPEDU,2026-08-28,192.21,186.52,4888,4606,94.23,9.16,104
MAGNUM,2026-08-28,19.25,19.04,6773,6381,94.21,1.31,58
NAHARCAP,2026-08-28,255.75,258.44,3453,3253,94.21,8.93,38
SECURKLOUD,2026-08-28,17.8,17.4,11774,11077,94.08,2.06,90
HBPOR,2026-08-28,59.5,61.79,479,450,93.95,0.29,27
NTCIND,2026-08-28,136.42,133.47,1527,1432,93.78,2.05,73
CINELINE,2026-08-28,89.37,87.98,29265,27437,93.75,25.79,152
DAICHI,2026-08-28,331.9,344.05,6004,5628,93.74,20.18,130
WEWIN,2026-08-28,46.21,46.81,2307,2156,93.45,1.07,15
ITL,2026-08-28,367.2,368.4,2845,2658,93.43,10.56,70
PALASHSECU,2026-08-28,89.78,91.39,3854,3600,93.41,3.52,34
TARAPUR,2026-08-28,14.96,14.43,21412,19956,93.2,3.1,131
NICCOPAR,2026-08-28,90.23,87.04,6005,5596,93.19,5.35,109
VIVOBIOT,2026-08-28,18.8,18.11,13463,12545,93.18,2.47,107
PANSARI,2026-08-28,315.0,306.55,234,218,93.16,0.73,21
SHIVAUM,2026-08-28,445.0,445.0,5872,5467,93.1,26.2,41
NEAGI,2026-08-28,3306.0,3450.0,127,118,92.91,4.39,37
ANIKINDS,2026-08-28,46.5,46.06,8384,7784,92.84,3.87,72
KSR,2026-08-28,28.58,31.42,329368,305450,92.74,103.06,413
SRGHFL,2026-08-28,260.0,254.9,1365,1265,92.67,3.49,29
BEDMUTHA,2026-08-28,106.04,106.25,2412,2233,92.58,2.56,40
ZENITHSTL,2026-08-28,5.4,5.37,98522,91191,92.56,5.38,193
FMNL,2026-08-28,10.62,11.0,65746,60738,92.38,7.16,148
GLOBALE,2026-08-28,11.24,11.58,296,273,92.23,0.03,12
TNTELE,2026-08-28,8.91,8.95,15400,14192,92.16,1.38,45
VISACHROME,2026-08-28,37.21,39.07,159657,147112,92.14,61.89,208
GILLANDERS,2026-08-28,104.99,106.38,12239,11251,91.93,12.97,93
WEALTH,2026-08-28,864.15,848.3,1274,1171,91.92,10.83,147
WEL,2026-08-28,124.74,99.8,1368633,1253033,91.55,1365.9,5645
SHANTI,2026-08-28,6.11,6.31,24808,22699,91.5,1.54,54
RSSOFTWARE,2026-08-28,32.93,31.29,71139,65009,91.38,22.53,259
NIRAJ,2026-08-28,28.57,29.35,51519,46937,91.11,15.16,219
AIROLAM,2026-08-28,87.5,88.88,1901,1728,90.9,1.69,43
BRIGHTBR,2026-08-28,263.83,260.78,1113,1008,90.57,2.77,34
AKG,2026-08-28,9.24,9.16,2096,1897,90.51,0.19,61
PHOENXINTL,2026-08-28,30.31,30.13,2249,2032,90.35,0.68,39
ODYCORP,2026-08-28,7.1,7.98,105386,95217,90.35,7.92,230
DECCANCE,2026-08-28,575.15,568.75,23021,20798,90.34,131.78,357
RVHL,2026-08-28,39.78,39.39,21366,19241,90.05,8.44,80
CYBERMEDIA,2026-08-28,18.41,18.78,11469,10322,90.0,2.13,167
SKFINDIA,2026-08-28,1566.0,1571.3,129396,116411,89.96,2038.19,5883
PIONEEREMB,2026-08-28,21.98,21.95,5645,5075,89.9,1.24,36
BALKRISHNA,2026-08-28,17.13,16.89,16299,14649,89.88,2.76,210
TFL,2026-08-28,12.07,12.46,12439,11174,89.83,1.54,84
CIFL,2026-08-28,20.74,20.72,13146,11790,89.69,2.73,130
RADIOCITY,2026-08-28,6.57,6.56,40611,36312,89.41,2.67,128
NIRAJISPAT,2026-08-28,246.59,295.9,3053,2729,89.39,8.94,77
AKASH,2026-08-28,24.31,24.36,4053,3611,89.09,0.99,34
RACE,2026-08-28,101.59,100.55,5538,4933,89.08,5.58,68
EUROBOND,2026-08-28,151.24,150.32,21463,19110,89.04,32.3,193
UMESLTD,2026-08-28,5.14,5.3,29979,26676,88.98,1.56,157
EBIX,2026-08-28,21.5,21.69,108719,96679,88.93,23.6,302
WATERBASE,2026-08-28,48.76,49.89,33531,29814,88.91,16.55,327
MERCANTILE,2026-08-28,24.71,24.99,107,95,88.79,0.03,10
TRANSCOR,2026-08-28,25.95,24.7,4184,3708,88.62,1.03,59
SURYALAXMI,2026-08-28,57.14,58.05,14628,12958,88.58,8.53,83
MANAKSIA,2026-08-28,56.89,58.13,61674,54604,88.54,36.03,442
RUBFILA,2026-08-28,66.54,68.59,20442,18092,88.5,13.78,358
MAMATA,2026-08-28,403.5,400.05,82152,72661,88.45,330.03,1313
RHL,2026-08-28,166.54,168.0,2341,2067,88.3,3.92,26
DIGJAMLMTD,2026-08-28,52.0,51.31,3184,2811,88.29,1.66,64
BIMETAL,2026-08-28,618.5,648.5,2388,2106,88.19,15.31,113
BENGALASM,2026-08-28,6248.0,6339.5,462,407,88.1,29.06,62
RADAAN,2026-08-28,3.01,3.12,52812,46455,87.96,1.62,105
CCHHL,2026-08-28,12.86,12.89,7905,6953,87.96,1.02,38
VADILENT,2026-08-28,9795.0,10833.0,298,262,87.92,30.12,43
CHEMCRUX,2026-08-28,83.98,84.46,2359,2073,87.88,1.98,88
INNOVANA,2026-08-28,313.6,306.75,2852,2506,87.87,8.7,93
UNIINFO,2026-08-28,10.97,10.97,959,842,87.8,0.1,17
ABMKNO,2026-08-28,187.21,193.39,164,144,87.8,0.31,15
SHREYANIND,2026-08-28,124.61,124.97,6135,5384,87.76,7.63,78
ESSENTIA,2026-08-28,1.03,1.08,1512552,1326770,87.72,16.22,372
AVONMORE,2026-08-28,13.68,13.9,145925,127772,87.56,20.37,350
MAKERSL,2026-08-28,206.11,198.73,6128,5363,87.52,12.21,185
ALFREDHE,2026-08-28,2910.8,2855.0,8,7,87.5,0.23,6
OSWALGREEN,2026-08-28,20.9,20.74,153640,134322,87.43,31.87,459
SADBHAV,2026-08-28,8.47,8.89,558589,488332,87.42,49.43,377
SUMEETINDS,2026-08-28,12.99,12.68,1624681,1416206,87.17,208.1,1310
SMLT,2026-08-28,67.6,67.1,2189,1907,87.12,1.47,141
MANAKSTEEL,2026-08-28,90.28,94.79,244759,213160,87.09,230.35,1216
KREBSBIO,2026-08-28,56.21,59.17,10318,8984,87.07,6.0,139
