symbol,close,perf_1m,pct_change_oi,change_in_oi,tot_volume,tot_turnover,latest_oi,in_oi_spurt,fno_score
MFSL,1365.1,-14.020280909491726,69.25,16272.0,91912.0,79028.91068,39806.0,True,6
POLICYBZR,1452.3,-19.31666666666667,57.59,27699.0,153566.0,69811.15995,76699.0,True,6
LTF,285.9,-9.49667616334283,25.58,11242.0,77515.0,155844.036,55200.0,True,6
ICICIPRULI,466.2,-8.588235294117649,24.8,7830.0,42078.0,44273.6412075,39399.0,True,6
ICICIGI,1558.1,-3.343672456575688,18.9,6124.0,77037.0,47461.411465,38581.0,True,5
BAJFINANCE,995.0,-7.613741875580316,18.16,28041.0,133478.0,289828.0173,182528.0,True,5
SBILIFE,1764.4,0.1930721181147127,17.53,6713.0,77360.0,54043.7757,44853.0,True,5
CHOLAFIN,1695.4,-7.723289609753435,16.33,5679.0,41602.0,82052.4211875,40448.0,True,5
AXISBANK,1197.7,-3.1065447779305773,11.5,23097.0,121640.0,185565.6620625,224114.0,True,5
INDUSINDBK,920.2,-9.330968568331848,9.82,7928.0,54017.0,77569.27878,88705.0,True,3
PERSISTENT,5302.0,-6.769825918762089,9.75,6142.0,48250.0,83161.007975,69103.0,True,3
MCX,3424.0,4.072948328267477,9.31,8553.0,168228.0,96896.679975,100433.0,True,3
AUBANK,1008.1,-9.506283662477555,9.13,3651.0,26147.0,62739.6364,43626.0,True,3
PHOENIXLTD,2027.8,5.840597108408573,8.9,1461.0,13132.0,14661.915205,17907.0,True,3
SHREECEM,22605.0,-5.988771054273237,8.55,2459.0,22471.0,50717.0456375,31282.0,True,3
HDFCLIFE,525.85,-4.382216565142289,8.49,7052.0,133140.0,104386.79724,90202.0,True,3
BANDHANBNK,186.51,6.943807339449533,8.19,4552.0,43147.0,76591.72116,60156.0,True,3
IDFCFIRSTB,84.67,-1.4548417132216014,7.9,5891.0,40522.0,78488.07736,80504.0,True,3
BAJAJFINSV,1789.5,-10.743677988927132,7.31,4718.0,46747.0,22544.36616,69264.0,True,3
ABCAPITAL,398.6,-3.275109170305677,6.45,1410.0,7900.0,40756.55653,23277.0,True,3
HCLTECH,1255.3,-5.045385779122545,6.17,7156.0,35012.0,70962.11872,123265.0,True,3
PIDILITIND,1556.0,-6.265060240963855,6.13,1007.0,5334.0,18337.34415,17447.0,True,3
NAUKRI,1244.9,-7.490525377127143,6.13,2197.0,27727.0,35814.459505,38059.0,True,3
LICI,409.05,-3.045745437307411,5.77,3874.0,60937.0,57150.51216,71247.0,True,3
TORNTPHARM,4950.5,1.1338100102145046,5.69,2097.0,9744.0,20016.673275,38924.0,True,3
ADANIGREEN,1291.9,-0.2239728143342496,5.51,3254.0,13985.0,56784.51642,62338.0,True,3
BSE,3234.7,-2.4223227752639573,5.35,10085.0,236252.0,129507.7757,198366.0,True,3
CIPLA,1385.1,-3.537850825266396,5.24,2552.0,16195.0,25849.6982875,51253.0,True,3
ADANIENSOL,1353.3,-12.965464016978592,5.09,2783.0,11969.0,55582.172595,57459.0,True,3
JSWSTEEL,1288.9,-2.7978883861236734,4.99,4101.0,19065.0,88105.87836,86225.0,True,3
YESBANK,22.57,-0.1327433628318634,4.94,3237.0,18263.0,47761.37716,68795.0,True,3
