identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY08-09-2026PE23800.00,Index Options,NIFTY,08-Sep-2026,Put,23800,71.15,10772492,416346.043308,148416,23779.15,123.74213836477988
OPTIDXNIFTY08-09-2026PE23750.00,Index Options,NIFTY,08-Sep-2026,Put,23750,45.7,8248854,220207.281957,129404,23779.15,104.01785714285714
OPTIDXNIFTY08-09-2026CE23800.00,Index Options,NIFTY,08-Sep-2026,Call,23800,56.6,7544220,400635.8031,269738,23779.15,-71.06339468302659
OPTIDXNIFTY08-09-2026PE23700.00,Index Options,NIFTY,08-Sep-2026,Put,23700,27.25,6432837,111683.6995755,162831,23779.15,74.67948717948718
OPTIDXNIFTY08-09-2026CE23900.00,Index Options,NIFTY,08-Sep-2026,Call,23900,26.65,5736012,153088.424268,273322,23779.15,-78.47334410339256
OPTIDXNIFTY08-09-2026PE23850.00,Index Options,NIFTY,08-Sep-2026,Put,23850,102.85,5420929,291437.27443349996,56887,23779.15,135.35469107551486
OPTIDXNIFTY08-09-2026CE23850.00,Index Options,NIFTY,08-Sep-2026,Call,23850,39.4,5358341,205283.40205099998,197934,23779.15,-74.91244826488379
OPTIDXNIFTY08-09-2026CE24000.00,Index Options,NIFTY,08-Sep-2026,Call,24000,12.4,4402666,53915.047836000005,331482,23779.15,-82.04199855177407
OPTIDXNIFTY08-09-2026PE23900.00,Index Options,NIFTY,08-Sep-2026,Put,23900,140.0,4112508,301742.93697599997,55170,23779.15,133.91812865497076
OPTIDXNIFTY08-09-2026PE23600.00,Index Options,NIFTY,08-Sep-2026,Put,23600,8.35,3798587,26715.462370999998,155723,23779.15,5.031446540880503
OPTIDXNIFTY08-09-2026PE23650.00,Index Options,NIFTY,08-Sep-2026,Put,23650,15.1,3624938,39890.630221,120288,23779.15,36.65158371040724
OPTIDXNIFTY08-09-2026CE23950.00,Index Options,NIFTY,08-Sep-2026,Call,23950,18.15,3054953,54527.856096999996,163515,23779.15,-80.7222517259692
OPTIDXNIFTY08-09-2026CE23750.00,Index Options,NIFTY,08-Sep-2026,Call,23750,81.2,2997524,215550.452078,83305,23779.15,-65.424739195231
OPTIDXNIFTY08-09-2026CE24100.00,Index Options,NIFTY,08-Sep-2026,Call,24100,6.85,2517275,14022.4803875,224024,23779.15,-79.79351032448378
OPTIDXNIFTY08-09-2026PE23500.00,Index Options,NIFTY,08-Sep-2026,Put,23500,3.1,2308377,7382.189646,172885,23779.15,-34.04255319148936
OPTIDXNIFTY08-09-2026CE24050.00,Index Options,NIFTY,08-Sep-2026,Call,24050,8.75,2169729,17445.7060245,154086,23779.15,-82.30535894843275
OPTIDXNIFTY08-09-2026CE24200.00,Index Options,NIFTY,08-Sep-2026,Call,24200,4.6,2115235,6269.55654,235331,23779.15,-69.5364238410596
OPTIDXNIFTY08-09-2026CE24500.00,Index Options,NIFTY,08-Sep-2026,Call,24500,2.2,1978076,2340.063908,181811,23779.15,-20.0
OPTIDXNIFTY08-09-2026CE24300.00,Index Options,NIFTY,08-Sep-2026,Call,24300,3.45,1823551,3437.393635,184311,23779.15,-48.1203007518797
OPTIDXNIFTY08-09-2026PE23550.00,Index Options,NIFTY,08-Sep-2026,Put,23550,4.8,1781232,8255.119704,71913,23779.15,-20.66115702479339
