symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NIFTY,16598,69877901,69894499,256932.517452,108188982399444.05,1837940.8218925,15493030,23671.65
BANKNIFTY,5917,579295,585212,101651.733477,1006303973472.9,176873.248206,1100507,56887.8
GVT&D,11777,104191,115968,68986.209375,62624018230.0,84185.891675,50348,4728.0
HAL,7912,134908,142820,59466.25203,103992142393.5,80045.875965,82263,5043.0
POWERINDIA,6218,59317,65535,48291.574465,48706174932.25,56192.8237875,58141,31275.0
BEL,6396,68352,74748,37754.92014,41041158582.0,44682.88596,130403,414.1
SOLARINDS,2703,45294,47997,30266.016265,51695701314.5,41049.65441,46523,22380.0
IDEA,3336,15224,18560,37041.6399975,18102310287.0,40756.7103675,122127,15.4
RELIANCE,5570,51625,57195,36463.5152,34424757815.0,40386.64335,524002,1297.6
BSE,4410,54904,59314,30048.64056,38307850818.0,37114.34874,144076,3379.3
POLYCAB,2779,42539,45318,29284.053675,46025174698.75,36067.5506625,68156,8424.0
HDFCBANK,6858,66181,73039,31705.099595,32059371350.5,34982.5281,1015933,705.0
LAURUSLABS,1911,13979,15890,30828.18471,23001069487.5,34636.879585,45126,1901.0
ICICIBANK,2730,32885,35615,27154.7675,33441812320.0,30342.8307,213165,1410.2
DIVISLAB,2553,44965,47518,24016.71498,42877546460.0,30178.77958,68196,9439.5
BANDHANBNK,3531,25250,28781,21644.73792,15935556456.0,24674.98248,51915,171.05
SBIN,2353,29416,31769,17833.105125,22981543860.0,20224.543725,281499,1008.3
M&M,2737,25850,28587,17173.00258,16739438752.0,19262.8901,126402,3118.3
TCS,3157,34954,38111,16120.5110325,18284022695.25,18781.727985,230175,2259.1
INFY,3403,46949,50352,14868.10896,21060178204.0,17973.891,317887,1085.7
SWIGGY,3309,8685,11994,16843.9417075,4557592976.5,17856.2002225,90275,278.2
HDFCLIFE,2540,22742,25282,15262.46601,13961841102.0,17524.15203,82959,541.0
HINDALCO,2115,20454,22569,15126.28859,14971526017.0,17460.04876,103744,1022.2
HINDZINC,1740,25115,26855,12843.23663,19172807195.5,16976.646085,61725,601.55
