date,symbol,subject,details,category
07-Aug-2026 18:06:13,KIRLOSIND,Updates,Kirloskar Industries Limited has informed the Exchange regarding 'update of material subsidiary'.,Updates
07-Aug-2026 18:05:50,OSWALAGRO,Outcome of Board Meeting,"Oswal Agro Mills Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting
07-Aug-2026 18:05:46,RAYMONDREL,General Updates,Raymond Realty Limited has informed the Exchange about Acquisition.,General Updates
07-Aug-2026 18:05:19,QUICKHEAL,Resignation of Director/KMP/SMP,Quick Heal Technologies Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
07-Aug-2026 18:05:10,ASHOKAMET,Resignation of Director/KMP/SMP,Ashoka Metcast Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
07-Aug-2026 18:04:42,RAMCOCEM,Outcome of Board Meeting,"The Ramco Cements Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026",Outcome of Board Meeting
07-Aug-2026 18:04:35,ROLLT,Shareholders meeting,"Rollatainers Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on August 31, 2026",Shareholders meeting
07-Aug-2026 18:04:31,ASHOKAMET,Change in Director(s),Ashoka Metcast Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
07-Aug-2026 18:04:14,GOPAL,Press Release,"Gopal Snacks Limited has informed the Exchange regarding a press release dated August 07, 2026, titled ""Press release on financial results for the quarter ended 30th June 2026"".",Press Release
07-Aug-2026 18:03:40,JSWHL,Shareholders meeting,Countersigned copy of Scrutinizer's Report is being submitted.,Shareholders meeting
07-Aug-2026 18:03:39,PRIVISCL,Shareholders meeting,"Privi Speciality Chemicals Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 07, 2026",Shareholders meeting
07-Aug-2026 18:03:12,ANUHPHR,Outcome of Board Meeting,"Anuh Pharma Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting
07-Aug-2026 18:02:43,TARSONS,Analysts/Institutional Investor Meet/Con. Call Updates,Tarsons Products Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
07-Aug-2026 18:02:06,CELLO,Shareholders meeting,"Cello World Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 07, 2026",Shareholders meeting
07-Aug-2026 18:01:53,ARVSMART,Change in Auditors,Arvind SmartSpaces Limited has informed the Exchange regarding Change in Auditors of the company.,Change in Auditors
07-Aug-2026 18:01:46,PRAXIS,Outcome of Board Meeting,"Praxis Home Retail Limited has submitted to the Exchange about the outcome of the Board meeting regarding the unaudited financial results for the period ended Jun 30, 2026 and other matters.",Outcome of Board Meeting
07-Aug-2026 18:00:57,LICI,General Updates,Life Insurance Corporation Of India has informed the Exchange about the launch of new product.,General Updates
07-Aug-2026 18:00:46,NATIONALUM,General Updates,National Aluminium Company Limited has informed the Exchange about Business Responsibility and Sustainability Report for the financial year 2025-26.,General Updates
07-Aug-2026 18:00:34,RACLGEAR,Appointment,"RACL Geartech Limited has informed the Exchange regarding Appointment of  Mr Gursharan Singh as Chairman & Managing Director of the company w.e.f. August 23, 2027.",Appointment
07-Aug-2026 18:00:23,SULA,Analysts/Institutional Investor Meet/Con. Call Updates,Sula Vineyards Limited has informed the Exchange about Link of Recording,Analysts/Institutional Investor Meet/Con. Call Updates
