date,symbol,subject,details,category,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,classify_source
19-Sep-2026 23:04:57,CPEDU,General Updates,Career Point Edutech Limited has informed the Exchange about corrigondum to the Notice of 20th Annual General Meeting,General Updates,0.0,0,False,False,0,none
19-Sep-2026 23:21:34,SIS,Analysts/Institutional Investor Meet/Con. Call Updates,"SIS Limited has informed the exchange about the schedule of investor conference on September 22, 2026.",Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
19-Sep-2026 23:33:27,SFL,Shareholders meeting,"Sheela Foam Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
20-Sep-2026 10:14:13,CGPOWER,ESOP/ESOS/ESPS,CG Power and Industrial Solutions Limited has informed the Exchange regarding Allotment of 18250  Shares.,ESOP/ESOS/ESPS,0.0,0,False,False,0,none
20-Sep-2026 10:33:22,WELENT,Bagging/Receiving of orders/contracts,"Welspun Enterprises Limited has informed the Exchange about receiving of Letter of Award by Welspun Michigan Engineers Limited, Material Subsidiary of the Company",Bagging/Receiving of orders/contracts,0.0,0,False,False,0,none
20-Sep-2026 11:45:39,COFORGE,Press Release,"Coforge Limited has informed the Exchange regarding a press release dated September 20, 2026, titled """"Coforge Advances AI-Powered Vehicle Lifecycle Intelligence"""".",Press Release,0.0,0,False,False,0,none
20-Sep-2026 12:30:53,NETWEB,Shareholders meeting,"Netweb Technologies India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 19, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
20-Sep-2026 12:48:28,SANSERA,Analysts/Institutional Investor Meet/Con. Call Updates,Sansera Engineering Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
20-Sep-2026 13:05:02,MANYAVAR,Analysts/Institutional Investor Meet/Con. Call Updates,Vedant Fashions Limited has informed the Exchange about a schedule of meet with the Institutional Investor/Analyst vide the enclosed Letter.,Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
20-Sep-2026 13:25:01,ORIENTCEM,Updates,"Orient Cement Limited has informed the Exchange regarding 'Clarification With Respect To The Company Intimation Dated September 19, 2026 On Change In Key Managerial Personnel (""KMP"")'.",Updates,0.0,0,False,False,0,none
20-Sep-2026 13:43:34,HUBTOWN,Shareholders meeting,"Hubtown Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 18, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
20-Sep-2026 14:00:45,DALBHARAT,Copy of Newspaper Publication,Dalmia Bharat Limited has informed the Exchange about Copy of Newspaper Publication regarding Postal Ballot and remote e-voting.,Copy of Newspaper Publication,0.0,0,False,False,0,none
20-Sep-2026 14:02:42,JTLIND,Analysts/Institutional Investor Meet/Con. Call Updates,JTL INDUSTRIES LIMITED has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
20-Sep-2026 14:43:13,JAYBARMARU,Cessation,"Jay Bharat Maruti Limited has informed the Exchange regarding Cessation of Ms Shubha Singh as Company Secretary & Compliance Officer of the company w.e.f. September 19, 2026.",Cessation,0.0,0,False,False,0,none
20-Sep-2026 14:43:13,JAYBARMARU,Resignation,"Jay Bharat Maruti Limited has informed the Exchange regarding Resignation of Ms Shubha Singh as Company Secretary & Compliance Officer of the company w.e.f. September 19, 2026.",Resignation,0.0,0,False,False,0,none
20-Sep-2026 14:53:40,SHAHALLOYS,Shareholders meeting,"Shah Alloys Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 18, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
20-Sep-2026 14:53:55,JAYBARMARU,Resignation of Director/KMP/SMP,Jay Bharat Maruti Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP,0.0,0,False,False,0,none
20-Sep-2026 15:37:40,MAXHEALTH,Copy of Newspaper Publication,Max Healthcare Institute Limited has informed the Exchange about Copy of Newspaper Publication for Postal Ballot Notice,Copy of Newspaper Publication,0.0,0,False,False,0,none
20-Sep-2026 17:51:55,DMART,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Store Opening Intimation'.,Updates,0.0,0,False,False,0,none
20-Sep-2026 18:05:22,SPECTRUM,Outcome of Board Meeting,"Spectrum Electrical Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on September 20, 2026.",Outcome of Board Meeting,0.0,1,False,True,3,keyword
