symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,217.9,191.1,178.0,,,,False,205062.65,0.087,3.449,,4398
21STCENMGM,43.45,31.02,30.6,,,,True,7128.3,0.645,12.73,,2116
360ONE,1194.9,1065.0,1031.3,,,,False,1349823.85,0.031,4.119,,1705
3BBLACKBIO,1321.9,1125.0,1085.0,,,,False,11993.65,0.014,4.506,,76
3IINFOLTD,25.75,18.0,16.25,,,,False,1387479.45,0.087,6.126,,5257
3MINDIA,36880.0,34485.0,31010.0,36880.0,34485.0,20.0,False,3835.9,0.058,2.806,-2.847,5983
3PLAND,34.5,31.2,30.0,34.5,31.2,20.0,False,2909.35,0.158,2.598,-7.246,4537
5PAISA,400.0,344.0,299.0,,,,False,55720.65,0.047,4.759,,2156
63MOONS,957.95,662.0,596.65,,,,False,1712233.05,0.017,6.583,,5217
A2ZINFRA,17.95,12.0,12.0,,,,False,449979.7,0.085,6.125,,3855
AAATECH,96.8,85.0,85.0,,,,False,15801.45,0.073,4.32,,1418
AADHARHFC,545.2,487.1,449.8,,,,False,307990.6,0.031,4.51,,556
AAKASH,9.9,8.65,8.55,,,,False,128714.9,0.023,3.586,,2034
AAREYDRUGS,86.9,73.41,73.41,,,,True,31553.2,0.003,5.702,,1237
AARNAV,37.4,24.5,23.2,,,,False,170552.35,0.028,5.185,,109
AARON,154.8,111.15,111.15,,,,False,59777.55,0.033,4.805,,1946
AARTECH,50.0,44.85,39.98,50.0,44.85,20.0,False,19875.3,0.599,2.857,-5.24,760
AARTIDRUGS,435.25,392.0,365.0,,,,False,202766.75,0.051,3.596,,5667
AARTIIND,516.95,469.0,424.0,,,,False,1287521.65,0.017,3.567,,5988
AARTIPHARM,735.0,650.8,604.15,,,,False,131985.3,0.189,4.026,,871
AARTISURF,559.3,373.85,355.2,,,,False,65644.4,0.075,7.201,,1504
AARVI,168.4,145.25,125.3,168.4,145.25,20.0,False,71956.45,0.013,2.844,-7.886,2182
AASTHA,140.01,74.4,74.4,,,,False,5678604.9,0.025,5.964,,24
AATMAJ,19.95,16.7,16.7,,,,True,3400.0,5.294,6.691,,766
AAVAS,1544.9,1346.2,1247.6,,,,False,72179.0,0.039,4.241,,1937
ABAN,19.16,12.89,12.89,,,,True,66424.05,0.341,8.473,,5954
ABANSENT,29.0,25.05,25.05,29.0,25.05,20.0,False,6482.2,0.109,2.662,-8.276,76
ABB,7924.5,6715.5,6653.0,,,,False,486680.2,0.03,5.627,,5988
ABBOTINDIA,28940.0,26665.0,25200.0,,,,False,10111.55,0.025,5.137,,5958
ABCAPITAL,430.7,384.35,334.8,,,,False,3829280.75,0.038,4.193,,2209
ABCOTS,218.97,196.81,196.81,,,,False,18250.05,0.006,3.784,,1120
ABDL,676.45,580.0,538.15,,,,False,387518.1,0.026,4.467,,523
ABFRL,62.95,55.1,55.1,,,,False,4463750.0,0.048,4.493,,3222
ABINFRA,11.03,9.78,8.82,,,,False,1177087.55,0.012,3.165,,1737
ABLBL,100.04,91.9,91.9,,,,False,735576.55,0.044,4.161,,281
ABMINTLLTD,48.74,39.15,39.15,48.74,39.15,20.0,False,2123.35,0.427,2.571,-13.336,2496
ABMKNO,220.0,188.0,188.0,,,,False,2070.2,1.286,3.409,,75
ABREL,1471.2,1359.1,1155.0,1471.2,1359.1,20.0,False,110831.45,0.038,2.817,-3.949,7680
ABSLAMC,1179.7,973.3,973.3,,,,False,355640.65,0.008,5.536,,1195
ABSMARINE,237.0,213.05,213.05,,,,False,33675.0,1.396,3.144,,549
ACC,1413.9,1312.0,1297.0,,,,False,196742.9,0.092,3.197,,5985
ACCELYA,1180.0,1090.0,1085.9,,,,False,8074.05,0.0,3.582,,5985
ACCENTMIC,530.0,482.2,433.05,530.0,482.2,20.0,False,73700.0,0.706,2.692,-4.858,650
ACCORD,211.0,190.95,55.65,,,,False,15700.0,0.127,22.19,,1990
ACCURACY,5.41,4.62,4.62,,,,False,49153.65,0.089,4.081,,1995
ACE,1149.0,957.8,850.5,,,,False,795809.6,0.022,4.455,,4901
ACEINTEG,21.88,18.81,18.75,,,,False,3958.25,0.001,4.032,,2239
ACI,604.25,520.05,508.5,,,,False,426234.25,0.029,3.759,,919
ACL,50.18,46.34,46.34,50.18,46.34,20.0,False,15243.6,0.003,2.192,-5.939,3885
ACMESOLAR,398.65,344.7,295.9,,,,False,2176019.25,0.032,3.793,,431
ACSTECH,46.5,39.15,31.71,,,,False,226003.55,0.753,3.848,,76
ACUTAAS,3700.0,3025.0,2902.0,,,,False,379504.65,0.017,4.387,,1214
ADANIENSOL,1789.0,1618.1,1445.0,,,,False,1951868.05,0.056,3.743,,2722
ADANIENT,3219.7,2972.7,2865.2,,,,False,1138803.15,0.057,4.017,,5987
ADANIGREEN,1631.5,1350.0,1350.0,,,,False,2714193.65,0.028,6.329,,2012
ADANIPORTS,1859.7,1650.0,1650.0,,,,False,2017343.95,0.03,5.608,,4611
ADANIPOWER,228.94,206.71,206.71,,,,False,24254323.2,0.04,4.53,,4188
ADFFOODS,330.75,256.05,256.05,,,,False,214543.15,0.332,5.77,,3924
ADL,82.85,66.0,66.0,,,,False,1189.4,0.067,3.842,,1446
ADOR,1597.0,1302.3,1085.5,,,,False,84356.65,0.05,3.719,,5985
ADROITINFO,10.99,8.36,8.36,,,,False,27783.8,0.004,4.436,,2671
ADSL,129.75,111.51,111.51,,,,False,170831.65,0.104,4.999,,4697
ADVAIT,2418.0,2050.0,1916.9,,,,False,37306.05,0.048,3.809,,137
ADVANCE,138.0,106.5,93.77,,,,False,444730.05,0.553,5.552,,207
ADVANIHOTR,53.7,49.75,49.75,53.7,49.75,20.0,False,24616.65,0.106,2.736,-5.81,4718
ADVENTHTL,155.0,140.0,120.02,,,,False,160147.95,0.041,3.275,,184
ADVENZYMES,343.0,304.25,297.0,,,,False,253029.1,0.052,3.432,,2477
AEGISLOG,1434.5,1164.4,720.0,,,,False,1490601.2,0.055,3.962,,5982
AEGISVOPAK,311.49,262.4,182.5,,,,False,2083854.75,0.113,3.761,,297
