symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
NIFTY,11372205,9593289,1778916,18.54,123190212,668257.75761,191668705994112,3654490.53862,23779
ICICIPRULI,29382,25052,4330,17.28,18286,16014.53841,6778747485,1013.20485,470
KEI,47949,41596,6353,15.27,73380,48452.36651,59605687580,11679.5508,4704
SOLARINDS,44752,39637,5115,12.9,102839,60306.42365,110255139320,22052.2682,21950
MANAPPURAM,38716,34642,4074,11.76,37630,52959.5928,33207045270,6842.4027,325
WIPRO,113046,104006,9040,8.69,44610,45211.0368,19444010190,2847.2769,172
LTM,40236,37045,3191,8.61,31401,25811.26723,18851049268,4280.41768,4448
PAYTM,56324,51949,4375,8.42,32263,35973.18978,36615457891,6847.47891,1664
INFY,314490,290883,23607,8.12,204306,81384.40264,84579124956,14249.40956,1087
BRITANNIA,36651,33905,2746,8.1,17682,9165.68562,10634518071,963.93071,5042
RVNL,46483,43002,3481,8.09,31774,12328.61225,12325502670,2209.77545,210
VMM,21509,20027,1482,7.4,8713,10648.78949,3537283480,580.3898,104
BOSCHLTD,19959,18608,1351,7.26,49287,25236.12694,58897064257,5674.64257,48025
CGPOWER,35275,32942,2333,7.08,50517,25489.60492,37630764324,6932.83324,895
SBIN,279052,260925,18127,6.95,179145,103383.06645,129545435872,15099.73372,1005
POLYCAB,69471,65394,4077,6.23,71329,54950.24445,71194620873,9549.08373,8261
MIDCPNIFTY,98085,92364,5721,6.19,119156,25735.66753,210156894608,16133.43608,14650
TECHM,49820,47029,2791,5.93,26781,35090.17068,22280912520,3488.4132,1564
HAVELLS,35871,33871,2000,5.9,13692,15341.69155,6539023205,946.33205,1150
KPITTECH,28776,27211,1565,5.75,11469,6302.20335,4684598511,798.89511,562
COCHINSHIP,26905,25445,1460,5.74,11775,10507.32628,6298202956,1239.86956,1506
GODREJCP,56751,53811,2940,5.46,20038,13862.59505,7579211320,1091.4632,861
TATAELXSI,32939,31242,1697,5.43,11425,7750.6273,4470206742,672.06742,3497
PIDILITIND,15519,14725,794,5.39,8586,11425.5766,5788386025,538.16025,1575
KOTAKBANK,156316,148536,7780,5.24,44090,46168.2568,33332806360,3938.9636,422
NAM-INDIA,17976,17107,869,5.08,10940,24926.68081,5878333350,1009.0835,1195
GODREJPROP,41836,39839,1997,5.01,29464,24034.54677,16769520937,3540.17937,1922
ZYDUSLIFE,21464,20448,1016,4.97,26562,23084.00667,26048541582,4230.75582,1156
PERSISTENT,49465,47129,2336,4.96,32191,28994.14747,20111351677,3681.39177,5540
INDIANB,20876,19891,985,4.95,9352,9636.7294,7463922790,1103.0279,869
ALKEM,18156,17300,856,4.95,4660,8052.0887,2265651840,267.0809,5242
DMART,58488,55766,2722,4.88,18453,14181.16516,9228962797,1129.60297,3710
