symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-2.6913970007892587,-6.171993911719932,-0.07,-3.51,0.0,-2.62,-2.66,-6.17
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,0.5131004366812276,-5.5692307692307645,-0.07,-3.51,,0.58,-2.06,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,7.413364526977635,0.8650281477413249,-0.07,-3.51,-1.89,7.48,4.38,2.76
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,-2.1726450860309097,-5.306986591390264,-0.07,-3.51,-1.89,-2.1,-1.8,-3.42
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,-0.8600000000000023,-5.823121497102695,-0.07,-3.51,-1.89,-0.79,-2.31,-3.93
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,-2.9466941203385995,-7.379590410899087,-0.07,-3.51,-6.31,-2.88,-3.87,-1.07
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-0.0387972841901155,-6.766781255654077,-0.07,-3.51,0.0,0.03,-3.26,-6.77
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-1.0239429444727413,-4.783141386914967,-0.07,-3.51,0.0,-0.95,-1.27,-4.78
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-1.3308457711442845,-5.9402418781124045,-0.07,-3.51,0.0,-1.26,-2.43,-5.94
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,1.201761201761204,-3.663708086785008,-0.07,-3.51,0.0,1.27,-0.15,-3.66
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,2.157181571815716,-1.6283924843423825,-0.07,-3.51,2.44,2.23,1.88,-4.07
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,0.3585271317829501,-8.587819947043245,-0.07,-3.51,-6.31,0.43,-5.08,-2.28
