symbol,company,sector,industry,nse_sector,sector_match_basis,market_cap,cmp,previous_close,ema20,ema50,ema100,ema200,sma20,sma50,sma100,sma200,supertrend,ichimoku_signal,trend_label,trend_score,rsi14,macd,macd_signal,macd_hist,adx14,roc20,stoch_rsi,stoch_rsi_d,williams_r,cci20,momentum_score,volume,avg_volume_10d,avg_volume_30d,relative_volume,delivery_pct,value_traded,turnover_cr,float_pct,obv,cmf,volume_score,support1,support2,resistance1,resistance2,pivot,vwap,atr14,bb_upper,bb_lower,high_1m,low_1m,high_3m,low_3m,high_6m,low_6m,high_52w,low_52w,high_all,nearest_overhead,nearest_overhead_ref,overhead_supply_pct,headroom_to_52w_high_pct,dist_52w_low_pct,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,entry_low,entry_high,stop_loss,target1,target2,target3,risk_reward,rs_rank,return_1m,return_3m,dist_52w_high_pct,volatility_w,volatility_m,beta_1y,rs_vs_nifty_1m,rs_vs_sector_1m,pe,pb,peg,ev_ebitda,roe,roce,debt_equity,revenue_growth,profit_growth,operating_margin,fcf,fundamental_score,revenue_surprise,profit_surprise,eps_growth,margin_expansion,guidance,order_book_growth,earnings_score,promoter_holding,promoter_pledge,fii_holding,dii_holding,mf_holding,insider_buying,institution_score,news_count_7d,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,in_oi_spurt,oi_change_pct,fno_score,pcr,max_pain,atm_iv,liquidity_sweep,smart_money_score,technical_score,fundamental_score_final,earnings_score_final,news_score_final,sector_score,macro_score,risk_score,value_z,momentum_z,quality_z,lowvol_z,growth_z,size_z,composite_factor_z,composite_factor_rank,earnings_within_21d,days_to_earnings,event_risk_score,tech_rating,analyst_rec,price_target_avg
RELIANCE,Reliance Industries Limited,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,17381193502259.002,1305.3,1277.0,,1308.9513490767065,,1357.9049187141372,1310.074999999999,1303.105999999998,1325.4879999999987,1394.0660000000012,,,Bearish,17.0,50.35900573658345,-3.413814125737872,-0.3500075832505798,-3.0638,16.260209685772768,-0.4347826086956556,28.421149507805808,12.235198340589683,-40.45138888888887,-70.83180502911766,20,6219649.0,9779997.0,10686059.366666649,0.6112023118351718,86.98,8118507839.7,811.85,48.6367,,,33,1288.2,1271.1,1314.2,1323.1,1297.1,1297.1,20.41658140910974,1343.1677106777638,1276.9822893222336,1337.0,1270.1,1345.9,1249.8,1473.4,1249.8,1611.8,1249.8,1611.8,1337.0,1m high,2.43,23.48,4.44,1337.0,1270.1,1249.8,,,,False,11119138.0,0.561,3.586,,1300.2,1310.4,1284.88,1611.8,1632.22,1652.63,15.01,45.0,0.7953667953667919,-0.7376425855513342,-19.02,1.6890520913053702,1.5470741399372103,0.8797113,1.97,7.31,23.638131767236928,,,9.46889235853967,,,,15.00336391405993,-8.318252305321916,11.096072765804,,20,,,-8.318252305321916,,,,67,,,,,,,,0,,,,,,True,1.31,3.0,,,,,3.0,21,20,67,,2.0,50,50,-0.06,-0.31,0.08,0.82,-0.05,-2.36,0.1,60.0,False,45.0,0.0,Neutral,1.083333,1657.25
BHARTIARTL,Bharti Airtel Limited,Communications,Wireless Telecommunications,,unmapped,11738320710938.0,1861.8,1811.9,,1912.275694243095,,1904.695678833517,1927.5999999999983,1920.055999999998,1882.404,1941.4909999999977,,,Bearish,0.0,41.59984347174504,-17.146398146194088,-3.7707545352904352,-13.3756,21.494153861246986,-3.132154006243499,12.630681836147042,5.175789696156511,-74.26508509541006,-171.81883537024578,0,2334230.0,5842892.599999997,6526090.033333337,0.3716632557636243,81.67,4345869414.0,434.59,50.7312,,,33,1851.2,1840.6,1869.7,1877.6,1859.1,1859.1,38.34809510391892,2010.7961537572355,1844.4038462427616,2031.0,1811.9,2031.0,1768.6,2031.0,1740.5,2174.5,1740.5,2174.5,2031.0,1m high,9.09,16.8,6.97,2031.0,1811.9,1811.9,,,,False,7001011.65,0.334,5.698,,1852.21,1871.39,1792.73,2031.0,2100.07,2169.15,2.45,52.0,-5.444388014220419,1.7432646592709908,-14.38,2.2286574140859607,1.888120259829528,0.8164599,-4.27,,39.484734605237485,7.178200386068276,,10.833863980368967,20.5404798700854,9.48810774848296,1.24512607290667,19.630110459091863,-18.80047804538676,32.1100317065312,18.32714124663654,60,,,-18.80047804538676,,,,67,,,,,,,,0,,,,,,True,8.28,3.0,,,,,3.0,7,60,67,,0.0,50,60,-0.14,-0.26,0.02,0.64,-0.07,-2.36,0.04,52.0,False,65.0,0.0,Sell,1.166667,2318.424242
HDFCBANK,HDFC Bank Limited,Finance,Major Banks,NIFTY_BANK,industry,11095982578125.0,711.25,709.0,,748.0963696903789,,820.6549072400176,725.0275000000006,760.7960000000015,767.5980000000023,846.1264999999981,,,Bearish,0.0,35.088334616280065,-11.527374256146572,-11.856493572390502,0.3291,32.01812746324467,-1.2152777777777777,57.98302831179623,52.12254474084303,-69.0909090909091,-235.79698004596324,60,22073957.0,27829329.4,27635858.066666663,0.8052196559892402,53.36,15700101916.25,1570.01,99.624,,,33,702.35,693.45,716.3,721.35,707.4,707.4,12.377955136691911,739.4047206979718,710.6502793020294,756.85,698.5,843.0,698.5,871.7,698.5,1020.5,698.5,1020.5,756.85,1m high,6.41,43.48,1.83,741.95,698.5,698.5,,,,False,27877493.8,0.792,3.907,,708.16,714.34,692.31,756.85,775.79,794.73,2.41,35.0,-5.663505537502493,-4.459668211431264,-30.3,2.4872680896304744,1.3968101435477815,1.1665245,-4.49,-6.19,13.89703008987886,1.8067107779283829,1.240469483937465,,13.7540298886995,6.82785576408465,0.9333100337634852,1.754463853655062,11.34558903513542,34.982694035678,,80,,,11.34558903513542,,,,67,,,,,,,,0,,,,,,True,10.39,5.0,,,,,5.0,31,80,67,,19.0,50,50,0.53,-0.63,0.08,0.66,-0.14,-2.36,0.1,60.0,False,48.0,0.0,Sell,1.125,1012.227273
ICICIBANK,ICICI Bank Limited,Finance,Regional Banks,NIFTY_BANK,industry,10228057401534.0,1437.5,1454.0,,1408.163894921322,,1365.439319644344,1426.585,1420.2980000000002,1355.993000000002,1355.4799999999989,,,Bullish,100.0,54.002715880944336,5.00084132511256,3.723445086616721,1.2774,15.703376171591552,2.5320970042796005,70.2293153581211,78.11708731321585,-26.4,82.43911719938501,80,1569944.0,7782906.200000036,9880606.36666667,0.185563110042754,78.23,2256794500.0,225.68,97.1723,,,33,1434.1,1430.7,1443.8,1450.1,1440.4,1440.4,21.45198928862928,1456.9317477664968,1396.238252233503,1460.0,1391.5,1480.0,1232.2,1480.0,1187.6,1480.0,1187.6,1500.0,1460.0,1m high,1.57,2.96,21.04,1460.0,1391.5,1340.6,,,,False,9089318.8,0.173,3.549,,1432.14,1442.86,1409.57,1493.36,1521.28,1549.21,2.0,77.0,0.2231053475563024,17.837527666202142,-2.87,1.5336198839542332,1.4279005841118138,0.9816447,1.39,-0.31,18.581954498448813,2.7103353637940337,2.4955533548727558,,15.796816290169,9.74115748257219,0.594743890036865,5.080821540326999,7.369882026370579,34.55734059748943,,80,,,7.369882026370579,,,,100,,,,,,,,1,0.0,0.0,False,False,0.0,True,1.76,3.0,,,,,3.0,79,80,100,0.0,19.0,50,40,-0.04,0.06,0.25,0.92,-0.11,-2.36,0.22,76.0,False,48.0,1.0,Buy,1.054348,1749.608696
SBIN,State Bank of India,Finance,Regional Banks,NIFTY_BANK,industry,9655688581231.0,1041.0,1060.0,,1043.6346151511427,,1012.0268521003036,1059.8650000000002,1043.1439999999998,1032.5575,1038.8187500000004,,,Neutral,50.0,46.73188681090508,1.1754938470594425,3.618749852751526,-2.4433,15.319021301591434,-0.7247758916650686,27.00165238385443,24.232323309070228,-82.52252252252245,-74.53165374677224,0,1595959.0,6079849.200000018,9213545.033333352,0.2463420355018239,66.8,1661393319.0,166.14,44.7923,,,33,1037.44,1033.87,1047.94,1054.87,1044.37,1044.3666666666666,17.815400597410406,1091.9672288945387,1027.7627711054618,1124.5,1030.9,1124.5,961.1,1169.3,933.9,1234.7,803.0,1234.7,1124.5,1m high,8.02,18.61,29.64,1124.5,1031.3,1000.8,,,,False,9244927.2,0.173,6.137,,1036.55,1045.45,1023.18,1124.5,1142.32,1160.13,4.69,66.0,1.2547417566384682,9.148099606815205,-15.69,1.3321561017073524,1.7938916710890884,0.8893465,2.42,0.72,11.146087626879096,1.545016734045079,2.2760151564291884,,15.092639252993202,6.764459533435691,1.31899282266467,6.557984119640567,4.927771998139533,28.40123439848117,,60,,,4.927771998139533,,,,100,,,,,,,,0,,,,,,True,2.09,3.0,,,,,3.0,27,60,100,,19.0,50,50,0.64,-0.03,-0.09,0.84,-0.08,-2.36,0.25,79.0,False,65.0,0.0,Sell,1.225,1264.731707
TCS,Tata Consultancy Services Limited,Technology Services,Information Technology Services,NIFTY_IT,industry,8480796871094.0,2350.0,2399.3,,2305.689137574741,,2565.447379057688,2343.4,2256.4980000000032,2301.071000000002,2621.302999999993,,,Bullish,67.0,53.15224966804272,7.428367794390397,9.464659266441725,-2.0363,14.868284541313972,2.6649191786806465,74.51753526011214,48.76602556011505,-31.724581724581824,3.0214457696413346,60,1016643.0,2341425.9,3159023.2666666666,0.4201796222907806,69.77,2389111050.0,238.91,28.210400000000003,,,33,2329.0,2308.0,2367.0,2384.0,2346.0,2346.0,62.37026248242308,2462.770599395406,2224.0294006045942,2473.7,2243.9,2495.0,1976.8,2619.2,1976.8,3350.0,1976.8,4592.25,2473.7,1m high,5.26,42.55,18.88,2472.8999,2243.8999,1976.8,,,,False,2648786.65,0.391,4.227,,2334.41,2365.59,2274.5,3350.0,3425.5,3500.99,13.25,43.0,-1.4675052410901468,-1.7969076473046386,-29.85,2.593101914810975,2.4756198494174555,1.0035737,-0.3,-3.31,17.07364918373426,7.755425431617477,15.939350860660667,10.946512332906762,47.9890914172003,44.2125262461657,0.104302536644988,7.695160610272186,1.067516881423239,24.8826393193624,16.95448696344892,80,,,1.067516881423239,,,,67,,,,,,,,0,,,,,,True,-1.62,3.0,,,,,3.0,57,80,67,,38.0,50,60,0.39,-0.51,1.27,0.36,-0.12,-2.36,0.28,81.0,False,43.0,0.0,Neutral,1.590909,2435.069767
BAJFINANCE,Bajaj Finance Limited,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,6705355722656.0,1055.1,1057.0,,1053.375237137565,,983.5585247339454,1091.364999999999,1059.1430000000007,990.2690000000006,976.8357500000014,,,Bullish,67.0,42.90908910454008,1.5693988653074484,8.996982542228135,-7.4276,14.397915420519316,-2.323643769672296,2.5493442283294043,10.043064219617788,-92.6785714285716,-173.632902389021,0,779388.0,4056606.1,7561310.533333333,0.1805782025130228,71.37,822332278.8,82.23,43.735,,,33,1048.4,1041.7,1064.4,1073.7,1057.7,1057.7,22.373727510522787,1137.9568995105917,1044.7731004894072,1176.4,1051.0,1176.4,866.5,1176.4,787.9,1176.4,787.9,1176.4,1176.4,1m high,11.5,11.5,33.91,1166.0,1051.0,952.4,,,,False,5049835.65,0.156,6.402,,1049.51,1060.69,1032.73,1166.0,1188.37,1210.75,4.96,79.0,-3.643835616438365,19.625850340136047,-10.31,1.6762594562323048,1.851424876233262,1.6764627,-2.47,-1.78,32.39484187902978,,2.0655515295835123,17.28957148028526,,,,17.7963262169719,16.05202209157313,43.7952675381863,,40,,,16.05202209157313,,,,100,,,,,,,,0,,,,,,True,3.76,3.0,,,,,3.0,33,40,100,,14.0,50,65,-0.29,0.24,0.77,0.36,-0.01,-2.36,0.21,76.0,False,56.0,0.0,Sell,1.455882,1170.30303
LT,Larsen & Toubro Limited,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,5559874865112.0,4010.5,4044.9,,4008.644027055385,,3934.992010778409,4059.0750000000007,3993.92,4003.685999999997,3983.225500000002,,,Bullish,83.0,47.72448182570095,18.177325064257275,27.1158979216562,-8.9386,16.54795519670164,-0.7621309974513196,11.5395393629679,9.669739567393751,-76.89216342933693,-145.7113721343322,0,202503.0,1138711.300000006,1476057.7333333343,0.1614832636041645,68.47,812138281.5,81.21,84.84089999999999,,,33,3995.0,3979.5,4032.0,4053.5,4016.5,4016.5,55.24357353649244,4112.152222044873,4005.9977779551286,4125.3,3962.5,4272.3,3720.0,4272.3,3288.1,4440.0,3288.1,4440.0,4125.3,1m high,2.86,10.71,21.97,4125.2998,3976.0,3720.0,4125.2998,3976.0,20.0,False,1298334.8,0.156,2.921,-2.783,3996.69,4024.31,3955.26,4125.3,4180.54,4235.79,2.08,48.0,1.2011405788690075,0.2399460121472645,-9.67,1.3741471185606915,1.2330372999545105,1.3533396,2.37,4.22,33.26835338034011,,7.414962933298993,19.205121061003197,,,,9.778357823020736,4.526142374057053,8.47399986344388,,20,,,4.526142374057053,,,,67,,,,,,,,0,,,,,,True,2.66,3.0,,,,,3.0,40,20,67,,55.0,50,55,-0.19,-0.16,0.04,0.73,-0.14,-2.36,0.06,55.0,False,64.0,0.0,Neutral,1.357143,4451.888889
LICI,Life Insurance Corp. of India,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,5328178097778.0,415.8,418.0,,416.9185860377604,,419.8186589107223,411.072500000001,422.2940000000003,414.61999999999983,417.562499999999,,,Bearish,33.0,49.414272414198486,0.2111983141532505,-0.7972119120680679,1.0084,11.351115813115928,0.6535947712418273,51.31923416680163,62.23761444382703,-56.39269406392684,42.2390636352122,60,1056515.0,10633268.7,14819196.9,0.0954820470814431,57.1,439298937.0,43.93,10.0007,,,33,413.64,411.47,418.44,421.07,416.27,416.26666666666665,9.231810074364022,432.3294864984867,389.81551350151534,431.3,385.9,450.2,385.9,450.2,360.75,468.475,360.75,611.0,431.3,1m high,3.73,12.67,15.26,428.15,385.9,385.9,,,,False,18970017.35,0.056,5.032,,413.49,418.11,397.34,468.48,486.94,505.4,2.85,56.0,-1.7253604348853724,3.768405290741209,-11.24,2.3341077888829727,2.202763136989488,1.1607698,-0.56,0.13,8.754716345505997,,0.3815940093048696,,,,,10.528036912872963,23.284584754517933,5.81197705184635,,40,,,23.284584754517933,,,,67,,,,,,,,0,,,,,,True,-1.1,3.0,,,,,3.0,44,40,67,,14.0,50,40,1.5,-0.21,0.0,0.67,-0.13,-2.36,0.37,87.0,False,66.0,0.0,Sell,1.1875,536.541667
HINDUNILVR,Hindustan Unilever Limited,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,4723618424160.0,1995.0,1967.4,,2088.863056040621,,2212.6683410303926,2042.7800000000016,2103.014,2159.4169999999995,2233.357618163205,,,Bearish,0.0,38.28817894176508,-32.38529205831901,-29.199614766538875,-3.1857,33.29019414816378,-1.2718364923046492,16.925583924014326,9.11896738862711,-77.84911717495993,-115.13754828941649,20,316061.0,1042290.4000000004,1576521.6333333338,0.2786780407671371,76.5,630541695.0,63.05,37.735600000000005,,,33,1982.34,1969.67,2005.34,2015.67,1992.67,1992.6666666666667,32.34017083062511,2113.883687667706,1971.6763123322976,2138.0,1967.4,2239.3,1967.4,2408.0,1967.4,2707.3908675,1967.4,2987.97501195,2138.0,1m high,7.17,35.71,1.4,2099.3999,1967.4,1967.4,,,,False,1072708.1,0.297,4.753,,1986.91,2003.09,1951.23,2099.4,2143.17,2186.94,2.39,35.0,-5.878467635402902,-4.636711281070745,-26.31,1.3986874375927898,1.316796485888159,0.4081996,-4.71,0.49,31.346336956624214,,0.8199617910453483,30.86323700855929,,,,3.8261794518833687,38.524122740193526,20.9554946213879,,60,,,38.524122740193526,,,,67,,,,,,,,0,,,,,,True,5.81,3.0,,,,,3.0,15,60,67,,25.0,50,40,0.13,-0.57,0.35,1.14,-0.09,-2.36,0.19,73.0,False,57.0,0.0,Sell,1.418919,2458.5
