symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
TSFINV,456.85,14,11.97303921568628,16.38,11.97,67.42,,53.55,12.921777457615717,437.47,479.69,False,0,Buy,Finance
DVL,289.75,14,2.566371681415929,6.98,2.57,46.67,,29.73,11.832675957459594,272.0,304.24,False,0,Buy,Consumer Non-Durables
GILLANDERS,108.69,14,0.6388888888888867,5.05,0.64,94.58,,19.05,5.42914354087857,100.55,114.12,False,0,Strong buy,Consumer Non-Durables
ADOR,1638.9,14,4.388535031847139,8.8,4.39,41.46,,8.06,59.55784578680715,1549.56,1720.85,False,0,Buy,Producer Manufacturing
YASHO,4234.1,14,0.6680932001902131,5.08,0.67,44.64,,17.95,225.1062094775096,3896.44,4445.8,False,0,Buy,Consumer Non-Durables
LGEINDIA,1725.4,14,1.7935103244837811,6.2,1.79,48.46,,9.14,42.79960572699387,1661.2,1811.67,False,0,Strong buy,Consumer Durables
RAMRAT,570.0,14,16.3265306122449,20.74,16.33,41.16,,5.69,25.41309700147092,531.88,598.5,False,0,Strong buy,Producer Manufacturing
ORIENTBELL,407.55,14,8.318936877076414,12.73,8.32,60.21,,6.72,16.456064731622792,382.87,427.93,False,0,Buy,Producer Manufacturing
DMCC,305.35,13,7.517605633802825,11.93,,55.2,,9.02,13.703177140087169,284.8,320.62,False,0,Strong buy,Process Industries
RELIABLE,147.7,13,4.190180586907448,8.6,11.31,71.61,,18.48,6.204915213194861,138.39,155.08,False,0,Buy,Technology Services
MAXESTATES,594.65,13,6.168541331905009,10.58,6.17,40.98,,10.95,26.64726976698877,554.68,624.38,False,0,Buy,Finance
AKUMS,819.55,13,8.98271276595744,13.39,7.57,50.25,,5.34,27.9161489734524,777.68,860.53,False,0,Buy,Health Technology
STAR,1184.9,13,20.09933103588081,24.51,18.69,54.83,,14.69,44.10742004267013,1118.74,1244.15,False,0,Buy,Health Technology
YATHARTH,1121.4,13,21.23243243243244,25.64,19.82,40.16,,5.58,41.84201791326692,1058.64,1177.47,False,0,Buy,Health Services
PVRINOX,1254.6,13,1.5048543689320315,5.91,1.5,41.08,,14.59,48.52726566082258,1181.81,1317.33,False,0,Buy,Consumer Services
EBGNG,669.0,13,13.794863071951015,18.2,20.91,47.3,,9.12,36.48956729195874,614.27,702.45,False,0,Buy,Technology Services
SUPRIYA,985.2,13,25.07299733401041,29.48,23.66,36.21,,10.13,39.09622452819412,926.56,1034.46,False,0,Buy,Health Technology
TEXMOPIPES,56.91,13,21.369161868202166,25.78,21.37,63.1,,13.34,3.1992533171598487,52.11,59.76,False,0,Buy,Producer Manufacturing
CASTROLIND,201.67,13,7.92571979021726,12.34,7.93,48.69,,9.49,3.447570078859946,196.5,211.75,False,0,Strong buy,Energy Minerals
MATRIMONY,535.4,13,3.448942131195058,7.86,10.57,77.1,,21.4,18.85382066956408,507.12,562.17,False,0,Buy,Technology Services
