symbol,company,sector,industry,country,currency,fundamental_currency_code,type,typespecs,number_of_employees,total_shares_outstanding_fundamental,float_shares_percent_current,close,open,high,low,change_pct,change_abs,gap,vwap,value_traded,price_52_week_high,price_52_week_low,high_all,high_1m,low_1m,high_3m,low_3m,high_6m,low_6m,volume,average_volume_10d_calc,average_volume_30d_calc,average_volume_90d_calc,rel_volume,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,perf_1y,perf_5y,perf_all,volatility_d,volatility_w,volatility_m,ATR,beta_1_year,beta_3_year,sma20,sma50,sma100,sma200,ema50,ema200,RSI,RSI7,momentum,awesome_osc,CCI20,stoch_k,stoch_d,stoch_rsi_k,stoch_rsi_d,macd,macd_signal,ADX,adx_plus_di,adx_minus_di,williams_r,ROC,UO,BBPower,bb_upper,bb_lower,recommend_all,recommend_ma,recommend_other,tech_rating,ma_rating,osc_rating,candle_patterns,market_cap,pe,price_earnings_growth_ttm,pb,price_sales_current,price_free_cash_flow_ttm,enterprise_value_ebitda_ttm,enterprise_value_fq,price_to_cash_f_operating_activities_ttm,roe,return_on_assets,return_on_invested_capital,gross_margin,operating_margin,net_margin,pre_tax_margin,debt_to_equity,total_debt_to_total_equity_fq,current_ratio,quick_ratio,div_yield,dividends_yield,dividend_payout_ratio_ttm,recommendation_mark,price_target_1y,price_target_average,number_of_analyst_opinions_fq,eps_ttm
RELIANCE,Reliance Industries Limited,Energy Minerals,Oil Refining/Marketing,India,INR,INR,stock,common,,13532500000.0,48.6367,1305.3,1285.0,1306.0,1280.0,2.2161315583398555,28.299999999999955,0.6264682850430697,1297.1000000000001,8118507839.7,1611.8,1249.8,1611.8,1337.0,1270.1,1345.9,1249.8,1473.4,1249.8,6219649,9779997.0,10686059.366666647,14786897.655555563,0.6112023118351718,0.07666947788085564,0.7953667953667919,-0.7376425855513342,-3.532628778360798,-17.055347270763175,-3.7389380530973484,26.509312223459478,8077.469832182675,2.265625,1.6890520913053702,1.5470741399372105,20.41658140910974,0.8797113,1.025728,1310.0749999999987,1303.105999999998,1325.4879999999987,1394.0660000000012,1308.9513490767065,1357.9049187141372,50.35900573658345,52.780773374616984,-16.700000000000045,-9.534117647056746,-70.83180502911766,28.059717661010776,13.677267682296423,28.421149507805808,12.235198340589685,-3.413814125737872,-0.3500075832505798,16.260209685772768,13.533558185871708,23.232091660025194,-40.45138888888887,-0.43478260869565566,48.679143714169804,-16.39380724433886,1343.1677106777638,1276.9822893222336,0.06666666666666667,0.13333333333333333,0.0,Neutral,Buy,Neutral,,17381193502259.002,23.638131767236928,,,1.550856458499362,,9.46889235853967,,,,,,25.4599284986043,11.096072765804,6.65390386045207,10.3864904212171,,,,,0.467144191840548,0.4669260700389105,0.0,1.083333,1657.25,1657.25,,55.2201
BHARTIARTL,Bharti Airtel Limited,Communications,Wireless Telecommunications,India,INR,INR,stock,common,91130.0,6238153415.0,50.7312,1861.8,1852.0,1867.0,1848.5,2.754015122247357,49.899999999999864,2.21314642088415,1859.1,4345869414.0,2174.5,1740.5,2174.5,2031.0,1811.9,2031.0,1768.6,2031.0,1740.5,2334230,5842892.599999997,6526090.033333337,7859123.4555555545,0.37166325576362436,-3.3333333333333357,-5.444388014220419,1.7432646592709908,-2.9807191245440356,-11.963306222810678,-1.4399152991000554,183.94193337347934,7859.429802164336,2.9807952393832786,2.2286574140859607,1.888120259829528,38.34809510391892,0.8164599,0.94192207,1927.5999999999985,1920.055999999998,1882.404,1941.4909999999977,1912.2756942430947,1904.695678833517,41.59984347174504,39.11717420311426,-72.40000000000009,-50.33264705882061,-171.81883537024578,12.148010708669434,6.5142018675643785,12.630681836147042,5.175789696156511,-17.146398146194088,-3.7707545352904352,21.494153861246986,14.365833721646647,30.57375674285179,-74.26508509541006,-3.132154006243499,34.880220735167484,-85.9123582362813,2010.7961537572353,1844.4038462427618,-0.3090909090909091,-0.8,0.18181818181818182,Sell,Strong sell,Buy,harami_bullish,11738320710938.0,39.484734605237485,,7.178200386068276,5.336954797326968,18.32714124663654,10.833863980368967,13373608858198.5,10.438699404503714,20.5404798700854,5.32214006549162,9.48810774848296,43.0973877217514,32.1100317065312,13.1401008773943,21.8365611706104,1.24512607290667,,0.570058118141257,0.570058118141257,1.27523910733262,1.3114754098360655,0.0,1.166667,2318.424242,2318.424242,,47.1524
HDFCBANK,HDFC Bank Limited,Finance,Major Banks,India,INR,INR,stock,common,211206.0,15411100000.0,99.624,711.25,705.05,712.45,698.5,0.31734837799717913,2.25,-0.5571227080394986,707.4,15700101916.25,1020.5,698.5,1020.5,756.85,698.5,843.0,698.5,871.7,698.5,22073957,27829329.4,27635858.066666666,33586358.02222222,0.8052196559892402,-2.112579135700526,-5.663505537502493,-4.459668211431264,-18.607312467814843,-28.40966280825365,-25.10004212299916,-9.682539682539682,30133.793836344314,1.9971367215461768,2.4872680896304744,1.3968101435477815,12.377955136691911,1.1665245,1.066301,725.0275000000006,760.7960000000015,767.5980000000023,846.1264999999981,748.0963696903789,820.6549072400176,35.088334616280065,34.418129709663276,-11.75,-22.79544117647208,-235.79698004596324,31.024277466703424,29.437088679840144,57.983028311796225,52.12254474084303,-11.527374256146572,-11.856493572390502,32.01812746324467,19.404819605305356,27.732382457380808,-69.0909090909091,-1.2152777777777777,42.78578279283552,-32.69039095367543,739.4047206979718,710.6502793020294,-0.35454545454545455,-0.8,0.09090909090909091,Sell,Strong sell,Neutral,,11095982578125.0,13.897030089878859,1.240469483937465,1.8067107779283829,3.584617093607614,,,15833395198155.6,,13.7540298886995,1.67621507569694,6.82785576408465,,34.982694035678,25.4789617292066,21.8931978684133,0.9333100337634851,,,,1.80555555555556,1.8335684062059237,0.0,1.125,1012.227273,1012.227273,,51.18
ICICIBANK,ICICI Bank Limited,Finance,Regional Banks,India,INR,INR,stock,common,124324.0,7176580000.0,97.1723,1437.5,1442.9,1446.7,1437.0,-1.1348005502063274,-16.5,-0.7634112792297049,1440.3999999999999,2256794500.0,1480.0,1187.6,1500.0,1460.0,1391.5,1480.0,1232.2,1480.0,1187.6,1569944,7782906.200000036,9880606.36666667,13982733.288888894,0.18556311004275403,2.0951704545454546,0.22310534755630243,17.837527666202142,5.011322960040902,6.9648039288637476,2.8181102925398824,97.56735012554564,22489.28501724492,1.1830201809324983,1.5336198839542332,1.4279005841118138,21.451989288629278,0.9816447,0.8602253,1426.585,1420.2980000000002,1355.993000000002,1355.4799999999989,1408.163894921322,1365.439319644344,54.002715880944336,54.52992399415013,25.5,5.55176470587935,82.43911719938501,74.61359015516317,72.25347618064596,70.2293153581211,78.11708731321585,5.00084132511256,3.7234450866167212,15.703376171591552,22.060161762542553,16.91250506755378,-26.400000000000002,2.5320970042796005,52.50517267769821,23.89880037637954,1456.9317477664968,1396.2382522335033,0.4,0.8,0.0,Buy,Strong buy,Neutral,harami_bearish,10228057401534.0,18.581954498448813,2.4955533548727553,2.7103353637940337,4.521117160116618,,,10455588268388.9,,15.796816290169,1.9781250638936703,9.74115748257219,,34.55734059748943,24.576229932956462,24.9460622690272,0.594743890036865,,,,0.771821498737019,0.8275862068965517,0.0,1.054348,1749.608696,1749.608696,,77.36
SBIN,State Bank of India,Finance,Regional Banks,India,INR,INR,stock,common,245131.0,9230620000.0,44.7923,1041.0,1051.3,1051.3,1040.8,-1.7924528301886793,-19.0,-0.8207547169811363,1044.3666666666666,1661393319.0,1234.7,803.0,1234.7,1124.5,1030.9,1124.5,961.1,1169.3,933.9,1595959,6079849.200000018,9213545.033333352,12805158.59999996,0.2463420355018239,0.4826254826254826,1.2547417566384682,9.148099606815203,-11.854360711261643,5.87876322213181,29.622711991034734,143.50877192982455,5706.922342315004,1.84473481936972,1.3321561017073524,1.7938916710890884,17.815400597410406,0.8893465,1.1674273,1059.8650000000002,1043.1439999999998,1032.5575,1038.8187500000004,1043.6346151511427,1012.0268521003035,46.73188681090508,41.530213161049915,-12.0,1.7100000000004911,-74.53165374677224,32.79279279279287,28.774605758275907,27.00165238385443,24.232323309070228,1.1754938470594425,3.618749852751526,15.319021301591434,23.90526362191743,19.52859218336686,-82.52252252252245,-0.7247758916650686,51.45840251878121,-9.136829909987227,1091.9672288945387,1027.7627711054618,-0.33636363636363636,-0.4,-0.2727272727272727,Sell,Sell,Sell,marubozu_black_bearish,9655688581231.0,11.146087626879096,2.2760151564291884,1.545016734045079,2.3951067758686695,,,14389120122580.602,,15.092639252993202,1.08799744440529,6.764459533435691,,28.401234398481172,21.354986219011355,16.2840427460297,1.31899282266467,,,,1.65862052483151,1.6367924528301887,0.0,1.225,1264.731707,1264.731707,,93.396
TCS,Tata Consultancy Services Limited,Technology Services,Information Technology Services,India,INR,INR,stock,common,584519.0,3618090000.0,28.210400000000003,2350.0,2355.0,2363.0,2325.0,-2.0547659734089185,-49.30000000000018,-1.8463718584587248,2346.0,2389111050.0,3350.0,1976.8,4592.25,2473.7,2243.9,2495.0,1976.8,2619.2,1976.8,1016643,2341425.9,3159023.2666666666,4488475.844444444,0.42017962229078065,1.9522776572668112,-1.4675052410901468,-1.7969076473046386,-9.615384615384615,-26.905132192846033,-23.948220064724918,-38.0927291886196,1468.3657295403352,3.1956989247311904,2.593101914810975,2.4756198494174555,62.37026248242308,1.0035737,1.1550895,2343.4,2256.4980000000032,2301.071000000002,2621.302999999993,2305.689137574741,2565.447379057688,53.152249668042714,54.776995264257295,70.0,-22.197058823533098,3.0214457696413346,63.78850410385101,41.10655985357524,74.51753526011214,48.76602556011505,7.428367794390397,9.464659266441725,14.868284541313972,26.15285296280142,21.314148329309752,-31.724581724581824,2.6649191786806465,56.76472537532163,33.25630425630243,2462.770599395406,2224.0294006045942,0.08787878787878788,0.26666666666666666,-0.09090909090909091,Neutral,Buy,Neutral,,8480796871094.0,17.07364918373426,15.939350860660669,7.755425431617477,3.0717000232568106,16.95448696344892,10.946512332906762,6987640915987.9,15.781034313263298,47.9890914172003,28.407061977696003,44.2125262461657,30.7907300468718,24.8826393193624,18.0523383322639,24.0891179914377,0.104302536644988,,2.23725008194035,2.2330383480826,2.77303754266212,2.7495769881556686,47.22498710394583,1.590909,2435.069767,2435.069767,,137.639
BAJFINANCE,Bajaj Finance Limited,Finance,Finance/Rental/Leasing,India,INR,INR,stock,common,155369.0,6221354471.0,43.735,1055.1,1065.0,1067.0,1051.0,-0.17975402081363206,-1.900000000000091,0.7568590350047304,1057.7,822332278.8,1176.4,787.9,1176.4,1176.4,1051.0,1176.4,866.5,1176.4,787.9,779388,4056606.1,7561310.533333333,8710705.388888888,0.1805782025130228,-2.0334261838440195,-3.6438356164383645,19.625850340136047,10.13569937369519,6.769884638737084,20.191376658882483,40.212624584717595,74202.817947927,1.522359657469077,1.6762594562323048,1.851424876233262,22.373727510522787,1.6764627,1.018526,1091.3649999999993,1059.1430000000007,990.2690000000006,976.8357500000014,1053.375237137565,983.5585247339454,42.90908910454008,28.323734367905743,-39.200000000000045,-6.785588235294199,-173.632902389021,16.931634749431357,27.861961680829022,2.5493442283294043,10.043064219617788,1.5693988653074484,8.996982542228135,14.397915420519315,20.086447956315347,29.095059791118835,-92.67857142857159,-2.3236437696722954,37.66787517107342,-39.78174708736924,1137.9568995105915,1044.7731004894072,-0.17878787878787877,-0.26666666666666666,-0.09090909090909091,Sell,Sell,Neutral,,6705355722656.0,32.39484187902978,2.0655515295835123,,7.814182663517882,,17.28957148028526,,,,,,59.75380029723241,43.7952675381863,23.5626552050604,32.0039420547659,,,,,0.557103064066852,0.5635390250774865,0.0,1.455882,1170.30303,1170.30303,,32.57
LT,Larsen & Toubro Limited,Industrial Services,Engineering & Construction,India,INR,INR,stock,common,437442.0,1375870000.0,84.84089999999999,4010.5,4038.0,4038.0,4001.0,-0.850453657692405,-34.40000000000009,-0.17058518133946676,4016.5,812138281.5,4440.0,3288.1,4440.0,4125.3,3962.5,4272.3,3720.0,4272.3,3288.1,202503,1138711.3000000059,1476057.7333333343,2006246.0666666667,0.16148326360416454,-1.8237454100367196,1.2011405788690077,0.23994601214726458,2.199174354008465,-1.9437652811735942,11.371841155234657,139.82658095380475,7118.8711346218815,1.097225693576608,1.3741471185606917,1.2330372999545103,55.24357353649244,1.3533396,1.1782398,4059.0750000000007,3993.92,4003.6859999999974,3983.225500000002,4008.6440270553853,3934.992010778409,47.72448182570095,38.493092420976076,-53.80000000000018,64.72794117647209,-145.7113721343322,36.832738539892276,36.59713136131544,11.5395393629679,9.669739567393753,18.177325064257275,27.115897921656202,16.54795519670164,16.853805918196233,19.893825096707058,-76.89216342933693,-0.7621309974513196,53.05263505257919,-52.68029088359617,4112.152222044873,4005.9977779551286,-0.045454545454545456,0.0,-0.09090909090909091,Neutral,Neutral,Neutral,,5559874865112.0,33.26835338034011,7.414962933298993,,1.9189198024358551,,19.205121061003194,,,,,,12.942366252812898,8.47399986344388,6.18101171676993,9.93655310507828,,,,,0.940361296708735,0.9429280397022334,0.0,1.357143,4451.888889,4451.888889,,120.55
LICI,Life Insurance Corp. of India,Finance,Life/Health Insurance,India,INR,INR,stock,common,84565.0,12649995000.0,10.0007,415.8,418.85,418.9,414.1,-0.5263157894736815,-2.1999999999999886,0.20334928229665616,416.26666666666665,439298937.0,468.475,360.75,611.0,431.3,385.9,450.2,385.9,450.2,360.75,1056515,10633268.7,14819196.9,7843265.944444444,0.0954820470814431,-1.4458402465039029,-1.7253604348853724,3.768405290741209,0.07220216606498468,-2.7368421052631553,-2.6001405481377295,-4.633027522935778,-4.633027522935778,1.159140304274319,2.3341077888829727,2.202763136989488,9.231810074364022,1.1607698,1.4115661,411.072500000001,422.2940000000003,414.61999999999983,417.562499999999,416.9185860377604,419.81865891072226,49.414272414198486,48.549708250676495,5.800000000000011,0.6911764705878909,42.2390636352122,60.90905244097197,65.63096581095714,51.31923416680163,62.23761444382703,0.21119831415325052,-0.7972119120680679,11.351115813115927,16.793875975102136,18.584125356940618,-56.39269406392684,0.6535947712418273,44.20188087537587,-0.061830686582538874,432.3294864984867,389.81551350151534,-0.24545454545454548,-0.4,-0.09090909090909091,Sell,Sell,Neutral,,5328178097778.0,8.754716345505997,0.38159400930486964,,0.537124284620333,,,,,,,,,5.81197705184635,6.04511300285868,5.4431437946215,,,,,2.37416904083571,2.3963575365444525,0.0,1.1875,536.541667,536.541667,,47.4944
HINDUNILVR,Hindustan Unilever Limited,Consumer Non-Durables,Household/Personal Care,India,INR,INR,stock,common,24989.0,2349590000.0,37.735600000000005,1995.0,1987.0,2003.0,1980.0,1.4028667276608675,27.59999999999991,0.9962386906577162,1992.6666666666667,630541695.0,2707.3908675,1967.4,2987.97501195,2138.0,1967.4,2239.3,1967.4,2408.0,1967.4,316061,1042290.4000000004,1576521.6333333338,1783650.8111111117,0.27867804076713715,-1.4328063241106719,-5.878467635402902,-4.636711281070745,-12.326961107448913,-14.082687338501293,-23.81391576643174,-26.17859859936088,3157.873743697604,1.7979797979797933,1.3986874375927898,1.3167964858881587,32.34017083062511,0.4081996,0.8848606,2042.7800000000018,2103.014,2159.4169999999995,2233.357618163205,2088.863056040621,2212.6683410303926,38.288178941765075,37.55031247611607,-40.0,-70.33000000000266,-115.13754828941649,11.933892158611272,9.902592158700548,16.925583924014326,9.11896738862711,-32.38529205831901,-29.199614766538875,33.29019414816378,10.831440512983988,29.66716172237561,-77.84911717495993,-1.2718364923046492,41.25318026359091,-60.37282151246245,2113.883687667706,1971.6763123322978,-0.3090909090909091,-0.8,0.18181818181818182,Sell,Strong sell,Buy,,4723618424160.0,31.346336956624214,0.8199617910453483,,7.116669589183704,,30.863237008559295,,,,,,43.5863440503812,20.9554946213879,15.7893150932594,21.1814867267303,,,,,2.03939514524473,2.055137844611529,0.0,1.418919,2458.5,2458.5,,63.6438
