trade_id,symbol,company,risk_sector,date_opened,taken,entry,stop,t1,t2,t3,structure_invalidation,horizon_days_t1,horizon_days_t2,score_at_open,qty,risk_rupees,status,last_price,last_checked,mfe_pct,mae_pct,gap_flag,hit_t1,hit_t2,reconfirmed_count,notes,date_closed,exit_price,exit_reason,pct_return,r_multiple,days_held
2026-07-28-CGCL,CGCL,Capri Global Capital Limited,NBFC & Capital Markets,2026-07-28,,247.0,229.77,281.47,298.7,315.93,225.67,16,22,84.1,40,689.0,closed,228.22,2026-07-28,4.82,-8.64,False,False,False,0,,2026-07-28,228.22,stop,-7.6,-1.09,0
2026-07-31-SATIN,SATIN,Satin Creditcare Network Ltd,NBFC & Capital Markets,2026-07-31,,260.25,240.18,300.39,320.46,340.53,246.05,12,22,80.1,38,763.0,closed,239.81,2026-07-31,3.74,-8.74,False,False,False,0,,2026-07-31,239.81,stop,-7.85,-1.02,0
2026-07-31-GATECHDVR,GATECHDVR,GACM Technologies Limited,NBFC & Capital Markets,2026-07-31,,0.53,0.5,0.67,0.7,0.74,0.53,17,22,85.5,18867,566.0,closed,0.53,2026-07-31,3.77,-9.43,False,False,False,0,,2026-07-31,0.53,stop,0.0,0.0,0
2026-07-31-GATECHDVR,GATECHDVR,GACM Technologies Limited,NBFC & Capital Markets,2026-07-31,,0.53,0.5,0.67,0.7,0.74,0.53,17,22,85.5,18867,566.0,closed,0.53,2026-08-01,3.77,-9.43,False,False,False,0,,2026-08-01,0.53,stop,0.0,0.0,0
2026-07-26-SREEL,SREEL,Sreeleathers Ltd.,Retail Trade,2026-07-26,,227.97,209.73,264.45,282.68,300.92,209.39,16,22,88.1,43,784.0,closed,212.61,2026-08-04,2.6,-8.32,False,False,False,2,,2026-08-04,212.61,stop,-6.74,-0.84,7
2026-08-03-MEDICO,MEDICO,Medico Remedies Ltd.,Health Technology,2026-08-03,,49.66,45.69,57.61,61.58,65.55,45.44,10,22,85.2,201,798.0,closed,49.06,2026-08-04,3.69,-9.99,False,False,False,2,,2026-08-04,49.06,stop,-1.21,-0.15,1
2026-08-01-GATECHDVR,GATECHDVR,GACM Technologies Limited,NBFC & Capital Markets,2026-08-01,,0.53,0.5,0.67,0.7,0.74,0.53,17,22,85.5,18867,566.0,closed,0.51,2026-08-05,11.32,-5.66,False,False,False,7,,2026-08-05,0.51,stop,-3.77,-0.67,3
2026-07-28-INDNIPPON,INDNIPPON,India Nippon Electricals Limited,Producer Manufacturing,2026-07-28,,1163.1,1070.05,1349.2,1442.24,1535.29,1024.01,13,22,85.5,8,744.0,closed,1124.3,2026-08-10,4.43,-9.46,False,False,False,7,,2026-08-10,1124.3,stop,-3.34,-0.42,9
2026-08-05-TALBROAUTO,TALBROAUTO,Talbros Automotive Components Limited,Producer Manufacturing,2026-08-05,,438.3,403.91,507.08,541.47,575.86,386.32,16,22,81.9,22,757.0,closed,422.05,2026-08-10,3.03,-7.93,False,False,False,5,,2026-08-10,422.05,stop,-3.71,-0.47,3
2026-08-07-RACLGEAR,RACLGEAR,RACL Geartech Ltd,Producer Manufacturing,2026-08-07,,1475.0,1357.0,1711.0,1829.0,1947.0,1320.03,14,22,80.8,6,708.0,closed,1387.6,2026-08-10,2.38,-9.83,False,False,False,6,,2026-08-10,1387.6,stop,-5.93,-0.74,1
2026-08-11-BTML,BTML,Bodhi Tree Multimedia Ltd.,Consumer Services,2026-08-11,,8.55,7.87,10.5,11.18,11.87,7.23,11,19,80.4,1169,795.0,closed,8.55,2026-08-11,7.02,-8.77,False,False,False,0,,2026-08-11,8.55,stop,0.0,0.0,0
2026-08-11-BTML,BTML,Bodhi Tree Multimedia Ltd.,Consumer Services,2026-08-11,,8.55,7.87,10.5,11.18,11.87,7.23,11,19,80.4,1169,795.0,closed,8.55,2026-08-12,7.02,-8.77,False,False,False,0,,2026-08-12,8.55,stop,0.0,0.0,1
2026-07-30-LODHA,LODHA,Lodha Developers Ltd.,Real Estate,2026-07-30,,1287.15,1188.22,1485.0,1583.93,1682.86,1065.56,17,22,91.4,7,693.0,closed,1209.0,2026-08-12,3.24,-7.94,False,False,False,9,,2026-08-12,1209.0,stop,-6.07,-0.79,9
2026-08-11-LLOYDSME,LLOYDSME,Lloyds Metals & Energy Ltd.,Non-Energy Minerals,2026-08-11,,2052.8,1927.52,2303.37,2428.65,2553.93,1870.09,16,22,88.0,4,501.0,closed,1893.6,2026-08-12,0.59,-8.54,False,False,False,1,,2026-08-12,1893.6,stop,-7.76,-1.27,1
2026-08-12-GANDHITUBE,GANDHITUBE,Gandhi Special Tubes Limited,Non-Energy Minerals,2026-08-12,,957.75,914.06,1045.14,1088.83,1132.52,874.13,16,22,80.5,10,437.0,closed,882.65,2026-08-13,1.17,-9.16,True,False,False,3,,2026-08-13,882.65,stop,-7.84,-1.72,1
2026-08-05-ICICIBANK,ICICIBANK,ICICI Bank Limited,Banks,2026-08-05,,1450.1,1401.49,1547.33,1595.94,1644.56,1387.95,17,22,82.5,6,292.0,closed,1417.0,2026-08-14,0.68,-3.39,False,False,False,3,,2026-08-14,1417.0,stop,-2.28,-0.68,7
2026-08-13-MEDICO,MEDICO,Medico Remedies Ltd.,Health Technology,2026-08-13,,47.86,44.03,56.88,60.71,64.54,45.38,11,22,86.3,208,797.0,closed,45.58,2026-08-14,2.09,-8.84,False,False,False,3,,2026-08-14,45.58,stop,-4.76,-0.6,1
