trade_id,symbol,company,risk_sector,date_opened,taken,entry,stop,t1,t2,t3,structure_invalidation,horizon_days_t1,horizon_days_t2,score_at_open,qty,risk_rupees,status,last_price,last_checked,mfe_pct,mae_pct,gap_flag,hit_t1,hit_t2,reconfirmed_count,notes
2026-08-05-UNIPARTS,UNIPARTS,Uniparts India Ltd.,Producer Manufacturing,2026-08-05,,732.95,677.34,844.17,899.78,955.39,664.68,17,22,93.5,13,723.0,partial,873.15,2026-08-30,20.04,0.0,False,True,False,10,
2026-08-05-SHRIPISTON,SHRIPISTON,SPR Auto Technologies Ltd,Producer Manufacturing,2026-08-05,,4402.7,4081.21,5045.69,5367.18,5688.68,4088.0,17,22,85.6,2,643.0,open,4572.2,2026-08-30,8.7,-4.33,False,False,False,1,
2026-08-05-UYFINCORP,UYFINCORP,U. Y. Fincorp Limited,NBFC & Capital Markets,2026-08-05,,19.25,17.71,22.33,23.87,25.41,16.6,13,22,83.5,519,799.0,open,19.86,2026-08-30,16.05,-1.4,False,False,False,4,
2026-08-05-TATACAP,TATACAP,Tata Capital Ltd.,NBFC & Capital Markets,2026-08-05,,371.9,351.32,413.05,433.63,454.2,347.19,17,22,80.4,26,535.0,open,375.7,2026-08-30,4.92,-4.52,False,False,False,2,
2026-08-06-KTKBANK,KTKBANK,Karnataka Bank Ltd.,Banks,2026-08-06,,306.8,286.94,346.52,366.37,386.23,274.26,17,22,84.8,32,636.0,open,330.35,2026-08-30,11.15,-3.1,False,False,False,11,
2026-08-07-SUPRAJIT,SUPRAJIT,Suprajit Engineering Limited,Producer Manufacturing,2026-08-07,,527.55,496.77,589.1,619.88,650.65,480.68,16,22,82.1,18,554.0,open,505.25,2026-08-30,6.01,-5.82,False,False,False,0,
2026-08-07-SJS,SJS,S.J.S. Enterprises Limited,Producer Manufacturing,2026-08-07,,2446.1,2257.95,2822.4,3010.55,3198.69,2213.98,17,22,87.4,4,753.0,open,2509.5,2026-08-30,5.84,-3.72,False,False,False,23,
2026-08-07-MANAKSTEEL,MANAKSTEEL,Manaksia Steels Ltd,Non-Energy Minerals,2026-08-07,,84.43,77.68,97.94,104.69,111.45,73.06,8,17,80.4,118,796.0,open,94.79,2026-08-30,12.27,-5.0,False,False,False,10,
2026-08-10-SKYGOLD,SKYGOLD,Sky Gold and Diamonds Limited,Consumer Durables,2026-08-10,,719.4,661.85,834.5,892.06,949.61,602.55,16,22,81.7,13,748.0,partial,811.4,2026-08-30,20.77,0.0,False,True,False,1,
2026-08-10-SREEL,SREEL,Sreeleathers Ltd.,Retail Trade,2026-08-10,,221.22,206.39,258.0,272.83,287.67,210.6,20,22,83.3,45,667.0,partial,249.48,2026-08-30,22.05,-3.44,False,True,False,15,
2026-08-10-STYLAMIND,STYLAMIND,Stylam Industries Limited,Non-Energy Minerals,2026-08-10,,3651.2,3359.1,4235.39,4527.49,4819.58,3275.97,14,22,83.0,2,584.0,open,3507.5,2026-08-30,3.09,-5.78,False,False,False,19,
2026-08-10-SAHYADRI,SAHYADRI,Sahyadri Industries Limited.,Non-Energy Minerals,2026-08-10,,349.85,321.86,405.83,433.81,461.8,293.27,16,22,80.5,28,784.0,open,343.6,2026-08-30,14.65,-5.02,False,False,False,5,
2026-08-12-DIVGIITTS,DIVGIITTS,Divgi TorqTransfer Systems Ltd.,Producer Manufacturing,2026-08-12,,1076.4,993.48,1242.23,1325.15,1408.06,919.5,16,22,82.7,9,746.0,partial,1175.15,2026-08-30,22.52,0.0,False,True,False,1,
2026-08-13-AJANTPHARM,AJANTPHARM,Ajanta Pharma Limited,Health Technology,2026-08-13,,3614.6,3420.26,4003.29,4197.63,4391.97,3342.43,17,22,82.3,2,389.0,open,3557.0,2026-08-30,5.02,-3.15,False,False,False,3,
2026-08-15-KENNAMET,KENNAMET,Kennametal India Limited,Producer Manufacturing,2026-08-15,,3513.3,3232.24,4075.43,4356.49,4637.56,3001.23,14,22,88.7,2,562.0,partial,4580.3,2026-08-30,38.33,-0.95,False,True,True,9,
2026-08-21-LODHA,LODHA,Lodha Developers Ltd.,Real Estate,2026-08-21,,1242.0,1164.16,1397.69,1475.53,1553.38,1150.1,16,22,81.7,8,623.0,open,1274.0,2026-08-30,5.23,-1.34,False,False,False,5,
2026-08-26-TMB,TMB,Tamilnad Mercantile Bank Limited,Banks,2026-08-26,,897.6,845.67,1001.46,1053.38,1105.31,823.6,16,22,80.0,11,571.0,open,886.05,2026-08-30,1.14,-2.36,False,False,False,2,
2026-08-28-CRISIL,CRISIL,CRISIL Limited,Technology Services,2026-08-28,,4732.7,4511.51,5175.09,5396.28,5617.47,4386.71,16,22,81.9,2,442.0,open,4732.7,2026-08-30,1.33,-0.89,False,False,False,5,
2026-08-28-SIGMA,SIGMA,Sigma Solve Ltd,Technology Services,2026-08-28,,47.25,44.22,53.98,57.01,60.03,45.68,6,12,80.1,211,639.0,open,47.25,2026-08-30,3.89,-1.59,False,False,False,5,
